
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","-0.0120"
"0.0500","0.0001","-0.0153"
"0.1000","0.0007","0.0151"
"0.1500","0.0010","-0.0005"
"0.2000","0.0022","0.0123"
"0.2500","0.0051","0.0175"
"0.3000","0.0073","0.0192"
"0.3500","0.0088","0.0325"
"0.4000","0.0109","0.0039"
"0.4500","0.0124","-0.0032"
"0.5000","0.0142","0.0207"
"0.5500","0.0156","0.0201"
"0.6000","0.0175","0.0327"
"0.6500","0.0189","0.0042"
"0.7000","0.0207","0.0039"
"0.7500","0.0226","0.0017"
"0.8000","0.0240","0.0312"
"0.8500","0.0258","-0.0208"
"0.9000","0.0273","0.0055"
"0.9500","0.0292","0.0150"
"1.0000","0.0305","-0.0004"
"1.0500","0.0324","0.0117"
"1.1000","0.0342","0.0187"
"1.1500","0.0357","0.0110"
"1.2000","0.0375","0.0224"
"1.2500","0.0390","0.0136"
"1.3000","0.0409","-0.0024"
"1.3500","0.0422","0.0058"
"1.4000","0.0441","0.0200"
"1.4500","0.0458","-0.0011"
"1.5000","0.0474","0.0025"
"1.5500","0.0492","0.0209"
"1.6000","0.0507","0.0207"
"1.6500","0.0525","0.0318"
"1.7000","0.0538","0.0384"
"1.7500","0.0558","0.0209"
"1.8000","0.0574","0.0084"
"1.8500","0.0591","0.0204"
"1.9000","0.0608","0.0065"
"1.9500","0.0624","0.0158"
"2.0000","0.0641","0.0061"
"2.0500","0.0655","0.0226"
"2.1000","0.0676","0.0066"
"2.1500","0.0691","0.0025"
"2.2000","0.0708","0.0283"
"2.2500","0.0724","0.0157"
"2.3000","0.0741","0.0204"
"2.3500","0.0757","0.0291"
"2.4000","0.0771","0.0184"
"2.4500","0.0792","0.0039"
"2.5000","0.0807","0.0083"
"2.5500","0.0824","0.0195"
"2.6000","0.0841","0.0404"
"2.6500","0.0858","0.0359"
"2.7000","0.0873","0.0256"
"2.7500","0.0889","0.0509"
"2.8000","0.0909","0.0218"
"2.8500","0.0924","0.0167"
"2.9000","0.0942","0.0269"
"2.9500","0.0957","0.0363"
"3.0000","0.0975","0.0216"
"3.0500","0.0990","0.0252"
"3.1000","0.1006","0.0397"
"3.1500","0.1026","0.0228"
"3.2000","0.1040","0.0442"
"3.2500","0.1059","0.0182"
"3.3000","0.1074","0.0431"
"3.3500","0.1092","0.0423"
"3.4000","0.1106","0.0317"
"3.4500","0.1123","0.0345"
