
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","-0.0144"
"0.0500","0.0001","-0.0112"
"0.1000","0.0006","0.0298"
"0.1500","0.0010","0.0581"
"0.2000","0.0020","0.0862"
"0.2500","0.0048","0.1561"
"0.3000","0.0072","0.1997"
"0.3500","0.0089","0.2447"
"0.4000","0.0105","0.2746"
"0.4500","0.0124","0.3934"
"0.5000","0.0138","0.5264"
"0.5500","0.0154","0.7106"
"0.6000","0.0174","0.8607"
"0.6500","0.0189","0.9519"
"0.7000","0.0207","1.1037"
"0.7500","0.0223","1.2780"
"0.8000","0.0241","1.5111"
"0.8500","0.0254","1.6865"
"0.9000","0.0271","1.9518"
"0.9500","0.0291","2.1027"
"1.0000","0.0306","2.2011"
"1.0500","0.0324","2.3731"
"1.1000","0.0339","2.3992"
"1.1500","0.0357","2.4090"
"1.2000","0.0371","2.4076"
"1.2500","0.0389","2.4191"
"1.3000","0.0407","2.4142"
"1.3500","0.0421","2.4328"
"1.4000","0.0440","2.4418"
"1.4500","0.0456","2.4541"
"1.5000","0.0474","2.4202"
"1.5500","0.0488","2.4673"
"1.6000","0.0506","2.4690"
"1.6500","0.0523","2.5050"
"1.7000","0.0538","2.4912"
"1.7500","0.0557","2.5227"
"1.8000","0.0573","2.5832"
"1.8500","0.0590","2.5806"
"1.9000","0.0603","2.6605"
"1.9500","0.0623","2.6793"
"2.0000","0.0640","2.7089"
"2.0500","0.0656","2.7422"
"2.1000","0.0674","2.7333"
"2.1500","0.0690","2.7629"
"2.2000","0.0707","2.7693"
"2.2500","0.0720","2.7622"
"2.3000","0.0741","2.7880"
"2.3500","0.0756","2.8064"
"2.4000","0.0773","2.8168"
"2.4500","0.0790","2.8920"
"2.5000","0.0806","2.9407"
"2.5500","0.0823","2.9394"
"2.6000","0.0837","2.9461"
"2.6500","0.0858","2.9467"
"2.7000","0.0872","2.9342"
"2.7500","0.0889","2.9449"
"2.8000","0.0906","2.9544"
"2.8500","0.0924","2.9602"
"2.9000","0.0939","2.9734"
"2.9500","0.0954","2.9675"
"3.0000","0.0975","2.9709"
"3.0500","0.0989","2.9794"
"3.1000","0.1007","2.9946"
"3.1500","0.1022","2.9906"
"3.2000","0.1040","3.0882"
"3.2500","0.1055","3.2898"
"3.3000","0.1070","3.5931"
"3.3500","0.1091","4.0756"
"3.4000","0.1106","4.3843"
"3.4500","0.1124","4.6810"
"3.5000","0.1138","4.8642"
"3.5500","0.1157","5.0660"
"3.6000","0.1171","5.1492"
"3.6500","0.1188","5.1914"
"3.7000","0.1208","5.2089"
"3.7500","0.1222","5.2238"
"3.8000","0.1240","5.2792"
"3.8500","0.1255","5.3291"
"3.9000","0.1274","5.3839"
"3.9500","0.1288","5.3809"
"4.0000","0.1305","5.3820"
"4.0500","0.1324","5.3883"
"4.1000","0.1339","5.3981"
"4.1500","0.1357","5.3997"
"4.2000","0.1372","5.3914"
"4.2500","0.1391","5.4214"
"4.3000","0.1404","5.4027"
"4.3500","0.1423","5.4468"
"4.4000","0.1440","5.4318"
"4.4500","0.1456","5.4579"
"4.5000","0.1474","5.4336"
"4.5500","0.1489","5.4577"
"4.6000","0.1507","5.4615"
"4.6500","0.1520","5.4647"
"4.7000","0.1540","5.4661"
"4.7500","0.1557","5.4771"
"4.8000","0.1573","5.4575"
"4.8500","0.1590","5.4661"
"4.9000","0.1606","5.4832"
"4.9500","0.1623","5.4939"
"5.0000","0.1637","5.4577"
"5.0500","0.1657","5.4853"
"5.1000","0.1673","5.4966"
"5.1500","0.1690","5.4799"
"5.2000","0.1707","5.4980"
"5.2500","0.1723","5.5077"
"5.3000","0.1739","5.5064"
"5.3500","0.1753","5.5168"
"5.4000","0.1774","5.5200"
"5.4500","0.1789","5.5138"
"5.5000","0.1806","5.4991"
"5.5500","0.1823","5.5063"
"5.6000","0.1840","5.5294"
"5.6500","0.1856","5.5122"
"5.7000","0.1870","5.5167"
"5.7500","0.1891","5.5130"
"5.8000","0.1905","5.5313"
"5.8500","0.1923","5.5720"
"5.9000","0.1940","5.6625"
"5.9500","0.1957","5.7617"
"6.0000","0.1972","5.8458"
"6.0500","0.1988","6.0035"
"6.1000","0.2008","6.1415"
"6.1500","0.2022","6.2182"
"6.2000","0.2040","6.2718"
"6.2500","0.2056","6.2634"
"6.3000","0.2074","6.2583"
"6.3500","0.2088","6.2587"
"6.4000","0.2104","6.2713"
"6.4500","0.2124","6.2561"
"6.5000","0.2139","6.2906"
"6.5500","0.2157","6.2798"
"6.6000","0.2173","6.3003"
"6.6500","0.2190","6.2728"
"6.7000","0.2204","6.2909"
"6.7500","0.2221","6.2901"
"6.8000","0.2241","6.3021"
"6.8500","0.2256","6.2815"
"6.9000","0.2274","6.3080"
"6.9500","0.2289","6.3074"
"7.0000","0.2307","6.3263"
"7.0500","0.2321","6.3215"
"7.1000","0.2339","6.3279"
"7.1500","0.2357","6.3372"
"7.2000","0.2372","6.3183"
"7.2500","0.2390","6.3449"
"7.3000","0.2406","6.3275"
"7.3500","0.2424","6.3415"
"7.4000","0.2437","6.3338"
"7.4500","0.2456","6.3466"
"7.5000","0.2474","6.3347"
"7.5500","0.2489","6.3406"
"7.6000","0.2507","6.3356"
"7.6500","0.2523","6.3520"
"7.7000","0.2540","6.3566"
"7.7500","0.2553","6.3380"
"7.8000","0.2573","6.3727"
"7.8500","0.2590","6.3382"
"7.9000","0.2606","6.3617"
"7.9500","0.2623","6.3381"
"8.0000","0.2639","6.3503"
"8.0500","0.2657","6.3707"
"8.1000","0.2670","6.3754"
"8.1500","0.2690","6.3721"
"8.2000","0.2707","6.3595"
"8.2500","0.2723","6.3766"
"8.3000","0.2740","6.3656"
"8.3500","0.2757","6.3701"
"8.4000","0.2773","6.3708"
"8.4500","0.2787","6.3638"
"8.5000","0.2807","6.3650"
"8.5500","0.2822","6.3648"
"8.6000","0.2839","6.3694"
"8.6500","0.2857","6.3819"
"8.7000","0.2874","6.3875"
"8.7500","0.2889","6.3724"
"8.8000","0.2903","6.4065"
"8.8500","0.2924","6.3842"
"8.9000","0.2939","6.3919"
"8.9500","0.2956","6.3795"
"9.0000","0.2973","6.3781"
"9.0500","0.2990","6.3822"
"9.1000","0.3006","6.3897"
"9.1500","0.3020","6.3957"
"9.2000","0.3041","6.3741"
"9.2500","0.3055","6.3726"
"9.3000","0.3073","6.3808"
"9.3500","0.3089","6.3925"
"9.4000","0.3107","6.3745"
"9.4500","0.3122","6.3899"
"9.5000","0.3138","6.3961"
"9.5500","0.3158","6.3650"
"9.6000","0.3172","6.4004"
"9.6500","0.3190","6.3966"
"9.7000","0.3206","6.3958"
"9.7500","0.3224","6.4172"
"9.8000","0.3238","6.4047"
"9.8500","0.3255","6.3921"
"9.9000","0.3274","6.3888"
"9.9500","0.3288","6.3796"
"10.0000","0.3307","6.3855"
"10.0500","0.3323","6.3840"
"10.1000","0.3341","6.4029"
"10.1500","0.3354","6.3977"
"10.2000","0.3372","6.4163"
"10.2500","0.3391","6.3963"
"10.3000","0.3405","6.3953"
"10.3500","0.3424","6.3981"
"10.4000","0.3439","6.4145"
"10.4500","0.3458","6.4189"
"10.5000","0.3471","6.4261"
"10.5500","0.3489","6.4723"
"10.6000","0.3507","6.5252"
"10.6500","0.3523","6.5166"
"10.7000","0.3540","6.5634"
"10.7500","0.3555","6.6280"
"10.8000","0.3574","6.6575"
"10.8500","0.3587","6.7280"
"10.9000","0.3606","6.8261"
"10.9500","0.3623","6.8895"
"11.0000","0.3639","6.9918"
"11.0500","0.3657","6.6026"
"11.1000","0.3672","6.2703"
"11.1500","0.3691","6.3428"
"11.2000","0.3704","6.3778"
"11.2500","0.3724","6.4028"
"11.3000","0.3740","6.4219"
"11.3500","0.3756","6.4797"
"11.4000","0.3773","6.5352"
"11.4500","0.3789","6.6844"
"11.5000","0.3807","6.8510"
"11.5500","0.3820","6.9473"
"11.6000","0.3841","7.0934"
"11.6500","0.3856","6.8888"
"11.7000","0.3874","6.9974"
"11.7500","0.3889","7.0753"
"11.8000","0.3906","7.1758"
"11.8500","0.3923","7.1572"
"11.9000","0.3937","7.2350"
"11.9500","0.3958","7.2782"
"12.0000","0.3972","7.2553"
"12.0500","0.3990","7.3514"
"12.1000","0.4006","7.3700"
"12.1500","0.4023","7.4480"
"12.2000","0.4038","7.4746"
"12.2500","0.4054","7.5555"
"12.3000","0.4074","7.5998"
"12.3500","0.4089","7.6117"
"12.4000","0.4107","7.7076"
"12.4500","0.4123","7.7859"
"12.5000","0.4141","7.8515"
"12.5500","0.4155","7.8566"
"12.6000","0.4171","8.0403"
"12.6500","0.4190","8.0531"
"12.7000","0.4205","8.1624"
"12.7500","0.4224","8.2810"
"12.8000","0.4239","8.1865"
"12.8500","0.4257","8.1388"
"12.9000","0.4271","8.1272"
"12.9500","0.4288","8.3081"
"13.0000","0.4307","8.2496"
"13.0500","0.4322","8.3096"
"13.1000","0.4341","8.3808"
"13.1500","0.4356","8.4167"
"13.2000","0.4374","8.5191"
"13.2500","0.4387","8.5294"
"13.3000","0.4406","8.7357"
"13.3500","0.4424","8.7713"
"13.4000","0.4439","8.9015"
"13.4500","0.4457","9.0684"
"13.5000","0.4473","9.1864"
"13.5500","0.4491","9.3507"
"13.6000","0.4504","9.4338"
"13.6500","0.4523","9.6719"
"13.7000","0.4540","9.7669"
"13.7500","0.4556","9.9459"
"13.8000","0.4574","10.1458"
"13.8500","0.4590","10.3212"
"13.9000","0.4607","10.5045"
"13.9500","0.4620","10.6346"
"14.0000","0.4639","10.9376"
"14.0500","0.4657","11.0792"
"14.1000","0.4673","11.2888"
"14.1500","0.4690","11.4546"
"14.2000","0.4706","11.6427"
"14.2500","0.4723","11.8141"
"14.3000","0.4737","11.9475"
"14.3500","0.4757","12.2245"
"14.4000","0.4773","12.3443"
"14.4500","0.4789","12.5620"
"14.5000","0.4806","12.7777"
"14.5500","0.4823","12.9737"
"14.6000","0.4840","13.1524"
"14.6500","0.4854","13.3160"
"14.7000","0.4874","13.5902"
"14.7500","0.4889","13.7173"
"14.8000","0.4906","13.9557"
"14.8500","0.4923","14.1500"
"14.9000","0.4940","14.3901"
"14.9500","0.4956","14.5310"
"15.0000","0.4970","14.7083"
"15.0500","0.4991","15.0345"
"15.1000","0.5006","15.1577"
"15.1500","0.5024","15.4375"
"15.2000","0.5040","15.6203"
"15.2500","0.5057","15.8764"
"15.3000","0.5072","16.0044"
