
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","0.0174"
"0.0500","0.0000","-0.0060"
"0.1000","0.0006","0.0131"
"0.1500","0.0009","-0.0160"
"0.2000","0.0021","-0.0104"
"0.2500","0.0047","0.0141"
"0.3000","0.0072","0.0025"
"0.3500","0.0089","0.0193"
"0.4000","0.0107","0.0071"
"0.4500","0.0123","-0.0025"
"0.5000","0.0141","0.0071"
"0.5500","0.0154","0.0140"
"0.6000","0.0173","-0.0027"
"0.6500","0.0191","0.0239"
"0.7000","0.0207","0.0281"
"0.7500","0.0224","0.0061"
"0.8000","0.0240","0.0287"
"0.8500","0.0257","0.0086"
"0.9000","0.0270","0.0108"
"0.9500","0.0290","0.0216"
"1.0000","0.0307","0.0422"
"1.0500","0.0323","0.0437"
"1.1000","0.0341","0.0395"
"1.1500","0.0356","0.0327"
"1.2000","0.0374","0.0353"
"1.2500","0.0388","0.0490"
"1.3000","0.0408","0.0337"
"1.3500","0.0423","0.0467"
"1.4000","0.0439","0.0404"
"1.4500","0.0457","0.0457"
"1.5000","0.0474","0.0610"
"1.5500","0.0490","0.0322"
"1.6000","0.0504","0.0572"
"1.6500","0.0525","0.0572"
"1.7000","0.0539","0.0584"
"1.7500","0.0556","0.0341"
"1.8000","0.0574","0.0507"
"1.8500","0.0591","0.0584"
"1.9000","0.0606","0.0506"
"1.9500","0.0620","0.0572"
"2.0000","0.0641","0.0399"
"2.0500","0.0656","0.0469"
"2.1000","0.0674","0.0701"
"2.1500","0.0690","0.0585"
"2.2000","0.0707","0.0433"
"2.2500","0.0722","0.0582"
"2.3000","0.0738","0.0661"
"2.3500","0.0758","0.0567"
"2.4000","0.0772","0.0562"
"2.4500","0.0791","0.0539"
"2.5000","0.0807","0.0837"
"2.5500","0.0824","0.0898"
"2.6000","0.0839","0.1100"
"2.6500","0.0855","0.1198"
"2.7000","0.0875","0.1088"
"2.7500","0.0889","0.1173"
"2.8000","0.0908","0.1003"
"2.8500","0.0923","0.1041"
"2.9000","0.0942","0.1195"
"2.9500","0.0955","0.1048"
"3.0000","0.0972","0.1074"
"3.0500","0.0992","0.1131"
"3.1000","0.1006","0.1086"
"3.1500","0.1024","0.1315"
"3.2000","0.1039","0.1249"
"3.2500","0.1058","0.1461"
"3.3000","0.1071","0.1255"
"3.3500","0.1089","0.1453"
"3.4000","0.1108","0.1508"
"3.4500","0.1123","0.1451"
"3.5000","0.1141","0.1625"
"3.5500","0.1156","0.1867"
"3.6000","0.1174","0.1925"
"3.6500","0.1187","0.2021"
"3.7000","0.1207","0.2057"
"3.7500","0.1224","0.2278"
"3.8000","0.1240","0.2389"
"3.8500","0.1257","0.2600"
"3.9000","0.1273","0.2821"
"3.9500","0.1291","0.2977"
