
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","0.0059"
"0.0500","0.0001","-0.0007"
"0.1000","0.0006","0.0171"
"0.1500","0.0010","0.0104"
"0.2000","0.0019","0.0347"
"0.2500","0.0046","0.0577"
"0.3000","0.0071","0.0429"
"0.3500","0.0089","0.0381"
"0.4000","0.0105","0.0585"
"0.4500","0.0123","0.0533"
"0.5000","0.0137","0.0508"
"0.5500","0.0154","0.0570"
"0.6000","0.0174","0.0559"
"0.6500","0.0188","0.0689"
"0.7000","0.0206","0.0414"
"0.7500","0.0222","0.0643"
"0.8000","0.0240","0.0638"
"0.8500","0.0254","0.0517"
"0.9000","0.0271","0.0572"
"0.9500","0.0290","0.0827"
"1.0000","0.0305","0.0573"
"1.0500","0.0323","0.0733"
"1.1000","0.0339","0.0630"
"1.1500","0.0357","0.0707"
"1.2000","0.0370","0.0868"
"1.2500","0.0388","0.0782"
"1.3000","0.0407","0.0929"
"1.3500","0.0422","0.0629"
"1.4000","0.0440","0.0763"
"1.4500","0.0455","0.0755"
"1.5000","0.0473","0.0730"
"1.5500","0.0486","0.0767"
"1.6000","0.0505","0.0876"
"1.6500","0.0523","0.0807"
"1.7000","0.0538","0.0702"
"1.7500","0.0556","0.0875"
"1.8000","0.0572","0.0814"
"1.8500","0.0590","0.0976"
"1.9000","0.0603","0.0997"
"1.9500","0.0623","0.0963"
"2.0000","0.0639","0.0757"
"2.0500","0.0655","0.0877"
"2.1000","0.0673","0.0872"
"2.1500","0.0689","0.0621"
"2.2000","0.0706","0.0704"
"2.2500","0.0719","0.0920"
"2.3000","0.0739","0.0882"
"2.3500","0.0756","0.0876"
"2.4000","0.0773","0.0842"
"2.4500","0.0790","0.0753"
"2.5000","0.0806","0.0790"
"2.5500","0.0822","0.0882"
"2.6000","0.0836","0.0873"
"2.6500","0.0856","0.0904"
"2.7000","0.0873","0.0836"
"2.7500","0.0889","0.0991"
"2.8000","0.0906","0.1039"
"2.8500","0.0922","0.1048"
"2.9000","0.0939","0.1046"
"2.9500","0.0953","0.1024"
"3.0000","0.0974","0.1125"
"3.0500","0.0988","0.1042"
"3.1000","0.1006","0.1102"
"3.1500","0.1023","0.1120"
"3.2000","0.1040","0.1413"
"3.2500","0.1055","0.1193"
"3.3000","0.1070","0.1171"
"3.3500","0.1090","0.1426"
"3.4000","0.1105","0.1142"
"3.4500","0.1123","0.1332"
"3.5000","0.1139","0.1316"
"3.5500","0.1157","0.1429"
"3.6000","0.1171","0.1333"
"3.6500","0.1187","0.1520"
"3.7000","0.1207","0.1267"
"3.7500","0.1221","0.1149"
"3.8000","0.1240","0.1261"
"3.8500","0.1255","0.1330"
"3.9000","0.1273","0.1268"
"3.9500","0.1287","0.1278"
"4.0000","0.1304","0.1288"
"4.0500","0.1324","0.1353"
"4.1000","0.1338","0.1453"
"4.1500","0.1357","0.1292"
"4.2000","0.1372","0.1396"
"4.2500","0.1390","0.1332"
"4.3000","0.1403","0.0953"
"4.3500","0.1422","0.1260"
"4.4000","0.1440","0.1249"
"4.4500","0.1454","0.1206"
"4.5000","0.1473","0.1522"
"4.5500","0.1489","0.1318"
"4.6000","0.1507","0.1304"
"4.6500","0.1520","0.1325"
"4.7000","0.1539","0.1214"
"4.7500","0.1557","0.1244"
"4.8000","0.1572","0.1301"
"4.8500","0.1590","0.1324"
"4.9000","0.1605","0.1383"
"4.9500","0.1624","0.1317"
"5.0000","0.1636","0.1103"
"5.0500","0.1656","0.1165"
"5.1000","0.1673","0.1142"
"5.1500","0.1689","0.1227"
"5.2000","0.1706","0.1148"
"5.2500","0.1722","0.1036"
"5.3000","0.1739","0.1094"
"5.3500","0.1752","0.1139"
"5.4000","0.1773","0.1229"
"5.4500","0.1789","0.1139"
"5.5000","0.1806","0.1360"
"5.5500","0.1822","0.1219"
"5.6000","0.1839","0.1195"
"5.6500","0.1856","0.1350"
"5.7000","0.1869","0.1311"
"5.7500","0.1890","0.1145"
"5.8000","0.1906","0.1124"
"5.8500","0.1923","0.1131"
"5.9000","0.1939","0.1147"
"5.9500","0.1956","0.1309"
"6.0000","0.1972","0.1248"
"6.0500","0.1987","0.1347"
"6.1000","0.2007","0.1206"
"6.1500","0.2022","0.1002"
"6.2000","0.2040","0.1189"
"6.2500","0.2055","0.1213"
"6.3000","0.2073","0.1224"
"6.3500","0.2088","0.1346"
"6.4000","0.2104","0.1561"
"6.4500","0.2124","0.1469"
"6.5000","0.2138","0.1471"
"6.5500","0.2157","0.1183"
"6.6000","0.2172","0.1296"
"6.6500","0.2190","0.1315"
"6.7000","0.2204","0.1364"
"6.7500","0.2221","0.1295"
"6.8000","0.2240","0.1375"
"6.8500","0.2255","0.1433"
"6.9000","0.2273","0.1244"
"6.9500","0.2289","0.1264"
"7.0000","0.2306","0.1490"
"7.0500","0.2320","0.1315"
"7.1000","0.2338","0.1300"
"7.1500","0.2357","0.1378"
"7.2000","0.2372","0.1595"
"7.2500","0.2390","0.1383"
"7.3000","0.2405","0.1445"
"7.3500","0.2423","0.1463"
"7.4000","0.2437","0.1455"
"7.4500","0.2455","0.1387"
"7.5000","0.2473","0.1588"
"7.5500","0.2488","0.1407"
"7.6000","0.2507","0.1372"
"7.6500","0.2522","0.1541"
"7.7000","0.2539","0.1438"
"7.7500","0.2553","0.1388"
"7.8000","0.2573","0.1593"
"7.8500","0.2590","0.1365"
"7.9000","0.2605","0.1571"
"7.9500","0.2623","0.1614"
"8.0000","0.2639","0.1623"
"8.0500","0.2656","0.1484"
"8.1000","0.2670","0.1444"
"8.1500","0.2690","0.1830"
"8.2000","0.2706","0.1804"
"8.2500","0.2722","0.1885"
"8.3000","0.2740","0.2062"
"8.3500","0.2756","0.1825"
"8.4000","0.2773","0.1782"
"8.4500","0.2786","0.2017"
"8.5000","0.2806","0.2020"
"8.5500","0.2823","0.2024"
"8.6000","0.2840","0.1930"
"8.6500","0.2856","0.1957"
"8.7000","0.2872","0.1891"
"8.7500","0.2889","0.1933"
"8.8000","0.2903","0.1940"
"8.8500","0.2923","0.2113"
"8.9000","0.2939","0.2075"
"8.9500","0.2956","0.2107"
"9.0000","0.2972","0.2105"
"9.0500","0.2989","0.2177"
"9.1000","0.3005","0.2053"
"9.1500","0.3020","0.2041"
"9.2000","0.3040","0.2083"
"9.2500","0.3055","0.1891"
"9.3000","0.3073","0.1951"
"9.3500","0.3089","0.2104"
"9.4000","0.3107","0.2117"
"9.4500","0.3121","0.1964"
"9.5000","0.3137","0.2044"
"9.5500","0.3157","0.2287"
"9.6000","0.3172","0.2168"
"9.6500","0.3190","0.2366"
"9.7000","0.3206","0.2494"
"9.7500","0.3223","0.2455"
"9.8000","0.3237","0.2467"
"9.8500","0.3254","0.2576"
"9.9000","0.3274","0.2385"
"9.9500","0.3289","0.2182"
"10.0000","0.3307","0.2635"
"10.0500","0.3322","0.2544"
"10.1000","0.3340","0.2671"
"10.1500","0.3354","0.2939"
"10.2000","0.3371","0.2759"
"10.2500","0.3390","0.2844"
"10.3000","0.3404","0.3249"
"10.3500","0.3423","0.3097"
"10.4000","0.3439","0.3196"
"10.4500","0.3457","0.3433"
"10.5000","0.3470","0.3680"
"10.5500","0.3488","0.3876"
"10.6000","0.3506","0.4221"
"10.6500","0.3521","0.4702"
"10.7000","0.3540","0.5095"
"10.7500","0.3556","0.5515"
"10.8000","0.3574","0.6250"
"10.8500","0.3586","0.6485"
"10.9000","0.3605","0.7120"
"10.9500","0.3623","0.8007"
"11.0000","0.3638","0.8182"
"11.0500","0.3657","0.9239"
"11.1000","0.3672","0.9928"
"11.1500","0.3690","1.0739"
"11.2000","0.3703","1.1005"
"11.2500","0.3723","1.2041"
