
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","-0.0005"
"0.0500","0.0001","0.0175"
"0.1000","0.0005","0.0152"
"0.1500","0.0009","0.0383"
"0.2000","0.0020","0.0651"
"0.2500","0.0047","0.0947"
"0.3000","0.0070","0.0777"
"0.3500","0.0089","0.0466"
"0.4000","0.0104","0.0716"
"0.4500","0.0121","0.0669"
"0.5000","0.0140","0.0962"
"0.5500","0.0155","0.0830"
"0.6000","0.0173","0.0951"
"0.6500","0.0188","0.0756"
"0.7000","0.0206","0.0929"
"0.7500","0.0220","0.1078"
"0.8000","0.0238","0.0965"
"0.8500","0.0257","0.1006"
"0.9000","0.0272","0.0965"
"0.9500","0.0290","0.1031"
"1.0000","0.0305","0.1289"
"1.0500","0.0323","0.1082"
"1.1000","0.0336","0.1267"
"1.1500","0.0356","0.1045"
"1.2000","0.0373","0.1178"
"1.2500","0.0388","0.1029"
"1.3000","0.0406","0.1090"
"1.3500","0.0422","0.1251"
"1.4000","0.0439","0.1219"
"1.4500","0.0452","0.1276"
"1.5000","0.0472","0.1380"
"1.5500","0.0489","0.1433"
"1.6000","0.0505","0.1387"
"1.6500","0.0523","0.1416"
"1.7000","0.0539","0.1415"
"1.7500","0.0556","0.1376"
"1.8000","0.0569","0.1426"
"1.8500","0.0589","0.1419"
"1.9000","0.0605","0.1370"
"1.9500","0.0623","0.1317"
"2.0000","0.0639","0.1456"
"2.0500","0.0655","0.1587"
"2.1000","0.0672","0.1377"
"2.1500","0.0686","0.1380"
"2.2000","0.0707","0.1322"
"2.2500","0.0722","0.1536"
"2.3000","0.0739","0.1289"
"2.3500","0.0756","0.1420"
"2.4000","0.0772","0.1528"
"2.4500","0.0788","0.1636"
"2.5000","0.0803","0.1484"
"2.5500","0.0823","0.1546"
"2.6000","0.0838","0.1427"
"2.6500","0.0856","0.1697"
"2.7000","0.0872","0.1323"
"2.7500","0.0890","0.1367"
"2.8000","0.0904","0.1691"
"2.8500","0.0919","0.1457"
"2.9000","0.0940","0.1444"
"2.9500","0.0955","0.1580"
"3.0000","0.0973","0.1461"
"3.0500","0.0988","0.1489"
"3.1000","0.1006","0.1495"
"3.1500","0.1021","0.1616"
"3.2000","0.1037","0.1641"
"3.2500","0.1057","0.1566"
"3.3000","0.1071","0.1601"
"3.3500","0.1089","0.1505"
"3.4000","0.1105","0.1677"
"3.4500","0.1123","0.1500"
"3.5000","0.1137","0.1562"
"3.5500","0.1154","0.1565"
"3.6000","0.1173","0.1609"
"3.6500","0.1188","0.1630"
"3.7000","0.1206","0.1729"
"3.7500","0.1222","0.1608"
"3.8000","0.1240","0.1510"
"3.8500","0.1253","0.1546"
"3.9000","0.1271","0.1680"
"3.9500","0.1290","0.1637"
"4.0000","0.1305","0.1636"
"4.0500","0.1323","0.1642"
"4.1000","0.1338","0.1766"
"4.1500","0.1356","0.1534"
"4.2000","0.1370","0.1662"
"4.2500","0.1388","0.1674"
"4.3000","0.1407","0.1682"
"4.3500","0.1421","0.1614"
"4.4000","0.1440","0.1620"
"4.4500","0.1455","0.1587"
"4.5000","0.1473","0.1630"
"4.5500","0.1486","0.1454"
"4.6000","0.1506","0.1490"
"4.6500","0.1522","0.1525"
"4.7000","0.1538","0.1564"
"4.7500","0.1556","0.1457"
"4.8000","0.1572","0.1537"
"4.8500","0.1589","0.1700"
"4.9000","0.1603","0.1478"
"4.9500","0.1623","0.1593"
"5.0000","0.1639","0.1522"
"5.0500","0.1654","0.1587"
"5.1000","0.1673","0.1486"
"5.1500","0.1689","0.1421"
"5.2000","0.1706","0.1568"
"5.2500","0.1719","0.1562"
"5.3000","0.1740","0.1322"
"5.3500","0.1755","0.1778"
"5.4000","0.1771","0.1822"
"5.4500","0.1789","0.1848"
"5.5000","0.1806","0.1744"
"5.5500","0.1822","0.1781"
"5.6000","0.1836","0.1931"
"5.6500","0.1857","0.1785"
"5.7000","0.1871","0.1650"
"5.7500","0.1889","0.1853"
"5.8000","0.1906","0.1771"
"5.8500","0.1923","0.1832"
"5.9000","0.1938","0.1715"
"5.9500","0.1953","0.1912"
"6.0000","0.1974","0.1743"
"6.0500","0.1988","0.1772"
"6.1000","0.2006","0.1565"
"6.1500","0.2022","0.1818"
"6.2000","0.2040","0.1737"
"6.2500","0.2054","0.1780"
"6.3000","0.2070","0.1709"
"6.3500","0.2090","0.1796"
