
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","0.0029"
"0.0500","0.0000","0.0039"
"0.1000","0.0005","0.0098"
"0.1500","0.0011","0.0344"
"0.2000","0.0018","0.0296"
"0.2500","0.0042","0.0232"
"0.3000","0.0067","-0.0016"
"0.3500","0.0085","0.0217"
"0.4000","0.0102","0.0065"
"0.4500","0.0121","0.0030"
"0.5000","0.0137","0.0120"
"0.5500","0.0155","0.0244"
"0.6000","0.0170","0.0132"
"0.6500","0.0188","0.0173"
"0.7000","0.0201","0.0324"
"0.7500","0.0221","0.0286"
"0.8000","0.0238","0.0295"
"0.8500","0.0254","0.0250"
"0.9000","0.0271","0.0433"
"0.9500","0.0287","0.0188"
"1.0000","0.0305","0.0408"
"1.0500","0.0319","0.0413"
"1.1000","0.0338","0.0544"
"1.1500","0.0354","0.0402"
"1.2000","0.0370","0.0301"
"1.2500","0.0388","0.0521"
"1.3000","0.0404","0.0506"
"1.3500","0.0421","0.0346"
"1.4000","0.0435","0.0209"
"1.4500","0.0455","0.0168"
"1.5000","0.0470","0.0254"
"1.5500","0.0487","0.0297"
"1.6000","0.0504","0.0275"
"1.6500","0.0521","0.0264"
"1.7000","0.0537","0.0544"
"1.7500","0.0552","0.0287"
"1.8000","0.0572","0.0374"
"1.8500","0.0587","0.0312"
"1.9000","0.0604","0.0463"
"1.9500","0.0621","0.0224"
"2.0000","0.0638","0.0665"
"2.0500","0.0653","0.0464"
"2.1000","0.0669","0.0562"
"2.1500","0.0689","0.0589"
"2.2000","0.0703","0.0458"
"2.2500","0.0722","0.0465"
"2.3000","0.0737","0.0478"
"2.3500","0.0755","0.0502"
"2.4000","0.0769","0.0650"
"2.4500","0.0786","0.0435"
"2.5000","0.0806","0.0626"
"2.5500","0.0820","0.0523"
"2.6000","0.0838","0.0626"
"2.6500","0.0853","0.0445"
"2.7000","0.0872","0.0624"
"2.7500","0.0886","0.0465"
"2.8000","0.0903","0.0696"
"2.8500","0.0922","0.0453"
"2.9000","0.0936","0.0526"
"2.9500","0.0955","0.0387"
"3.0000","0.0970","0.0615"
"3.0500","0.0989","0.0534"
"3.1000","0.1002","0.0362"
"3.1500","0.1020","0.0594"
"3.2000","0.1038","0.0545"
"3.2500","0.1054","0.0507"
"3.3000","0.1072","0.0572"
"3.3500","0.1086","0.0511"
"3.4000","0.1105","0.0509"
"3.4500","0.1118","0.0635"
"3.5000","0.1137","0.0509"
"3.5500","0.1155","0.0661"
"3.6000","0.1170","0.0787"
"3.6500","0.1188","0.0432"
"3.7000","0.1203","0.0598"
"3.7500","0.1222","0.0551"
"3.8000","0.1235","0.0446"
"3.8500","0.1255","0.0772"
"3.9000","0.1271","0.0806"
"3.9500","0.1287","0.0637"
"4.0000","0.1304","0.0755"
"4.0500","0.1320","0.0539"
"4.1000","0.1338","0.0593"
"4.1500","0.1351","0.0658"
"4.2000","0.1371","0.0550"
"4.2500","0.1387","0.0703"
