
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","0.0191"
"0.0500","0.0000","-0.0018"
"0.1000","0.0006","-0.0130"
"0.1500","0.0009","-0.0202"
"0.2000","0.0024","0.0079"
"0.2500","0.0049","0.0150"
"0.3000","0.0073","0.0136"
"0.3500","0.0089","0.0078"
"0.4000","0.0107","0.0126"
"0.4500","0.0122","0.0193"
"0.5000","0.0141","-0.0043"
"0.5500","0.0154","-0.0112"
"0.6000","0.0173","0.0194"
"0.6500","0.0191","0.0180"
"0.7000","0.0207","0.0126"
"0.7500","0.0225","0.0149"
"0.8000","0.0239","0.0048"
"0.8500","0.0258","0.0074"
"0.9000","0.0271","0.0152"
"0.9500","0.0290","0.0317"
"1.0000","0.0307","0.0146"
"1.0500","0.0323","0.0189"
"1.1000","0.0341","0.0211"
"1.1500","0.0356","0.0322"
"1.2000","0.0374","0.0150"
"1.2500","0.0388","0.0239"
"1.3000","0.0408","0.0303"
"1.3500","0.0424","0.0436"
"1.4000","0.0441","0.0238"
"1.4500","0.0457","0.0250"
"1.5000","0.0474","-0.0135"
"1.5500","0.0491","0.0233"
"1.6000","0.0504","0.0331"
"1.6500","0.0525","0.0257"
"1.7000","0.0540","0.0219"
"1.7500","0.0558","0.0093"
"1.8000","0.0574","-0.0054"
"1.8500","0.0591","0.0111"
"1.9000","0.0607","0.0239"
"1.9500","0.0622","0.0107"
"2.0000","0.0642","0.0405"
"2.0500","0.0656","0.0282"
"2.1000","0.0675","0.0110"
"2.1500","0.0690","0.0207"
"2.2000","0.0707","0.0064"
"2.2500","0.0722","0.0251"
"2.3000","0.0739","0.0274"
"2.3500","0.0758","0.0173"
"2.4000","0.0773","0.0219"
"2.4500","0.0791","0.0210"
"2.5000","0.0807","0.0139"
"2.5500","0.0825","0.0265"
"2.6000","0.0839","0.0328"
"2.6500","0.0855","0.0354"
"2.7000","0.0874","0.0555"
"2.7500","0.0889","0.0507"
"2.8000","0.0908","0.0140"
"2.8500","0.0923","0.0169"
"2.9000","0.0941","0.0185"
"2.9500","0.0955","0.0132"
"3.0000","0.0973","0.0219"
"3.0500","0.0991","0.0029"
"3.1000","0.1006","0.0237"
"3.1500","0.1025","0.0387"
"3.2000","0.1040","0.0098"
"3.2500","0.1057","0.0080"
"3.3000","0.1071","0.0142"
"3.3500","0.1090","0.0338"
"3.4000","0.1108","0.0071"
"3.4500","0.1123","0.0260"
"3.5000","0.1141","0.0275"
"3.5500","0.1156","0.0348"
"3.6000","0.1174","0.0212"
"3.6500","0.1188","0.0155"
"3.7000","0.1207","0.0251"
"3.7500","0.1224","0.0246"
"3.8000","0.1240","0.0366"
"3.8500","0.1258","0.0053"
"3.9000","0.1274","0.0132"
"3.9500","0.1291","-0.0030"
"4.0000","0.1304","0.0258"
"4.0500","0.1323","0.0272"
"4.1000","0.1341","0.0136"
"4.1500","0.1357","0.0086"
"4.2000","0.1374","0.0414"
"4.2500","0.1390","0.0301"
"4.3000","0.1407","0.0184"
"4.3500","0.1421","0.0326"
"4.4000","0.1441","0.0172"
"4.4500","0.1457","0.0258"
"4.5000","0.1473","0.0419"
"4.5500","0.1491","0.0140"
"4.6000","0.1507","0.0258"
"4.6500","0.1524","0.0251"
"4.7000","0.1538","0.0419"
"4.7500","0.1558","0.0344"
"4.8000","0.1573","0.0345"
"4.8500","0.1590","0.0304"
"4.9000","0.1607","0.0147"
"4.9500","0.1624","0.0183"
"5.0000","0.1640","0.0213"
"5.0500","0.1654","0.0438"
"5.1000","0.1675","0.0393"
"5.1500","0.1690","0.0148"
"5.2000","0.1708","0.0425"
"5.2500","0.1724","0.0503"
"5.3000","0.1741","0.0316"
