
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","0.0100"
"0.0500","0.0001","-0.0126"
"0.1000","0.0007","-0.0025"
"0.1500","0.0010","0.0021"
"0.2000","0.0027","0.0051"
"0.2500","0.0056","0.0372"
"0.3000","0.0076","0.0338"
"0.3500","0.0092","0.0612"
"0.4000","0.0111","0.0542"
"0.4500","0.0124","0.0488"
"0.5000","0.0143","0.0672"
"0.5500","0.0159","0.0768"
"0.6000","0.0176","0.0588"
"0.6500","0.0194","0.0729"
"0.7000","0.0210","0.0913"
"0.7500","0.0227","0.0742"
"0.8000","0.0240","0.0700"
"0.8500","0.0261","0.0772"
"0.9000","0.0277","0.0635"
"0.9500","0.0294","0.0713"
"1.0000","0.0311","0.0824"
"1.0500","0.0326","0.0804"
"1.1000","0.0343","0.0856"
"1.1500","0.0358","0.0857"
"1.2000","0.0379","0.0807"
"1.2500","0.0393","0.0802"
"1.3000","0.0410","0.0895"
"1.3500","0.0426","0.0756"
"1.4000","0.0444","0.1140"
"1.4500","0.0460","0.0758"
"1.5000","0.0475","0.0677"
"1.5500","0.0495","0.0651"
"1.6000","0.0510","0.0530"
"1.6500","0.0527","0.0728"
"1.7000","0.0544","0.0633"
"1.7500","0.0562","0.0922"
"1.8000","0.0576","0.1007"
"1.8500","0.0591","0.0874"
"1.9000","0.0611","0.0720"
"1.9500","0.0626","0.0837"
"2.0000","0.0645","0.0777"
"2.0500","0.0660","0.0511"
"2.1000","0.0677","0.0835"
"2.1500","0.0692","0.0865"
"2.2000","0.0708","0.0604"
"2.2500","0.0728","0.0778"
"2.3000","0.0743","0.0630"
"2.3500","0.0760","0.0689"
"2.4000","0.0776","0.0815"
"2.4500","0.0794","0.0767"
"2.5000","0.0808","0.0572"
"2.5500","0.0826","0.0691"
"2.6000","0.0844","0.0747"
"2.6500","0.0859","0.0743"
"2.7000","0.0877","0.0827"
"2.7500","0.0893","0.0759"
"2.8000","0.0912","0.0788"
"2.8500","0.0925","0.0742"
"2.9000","0.0943","0.0790"
"2.9500","0.0961","0.0871"
"3.0000","0.0977","0.0772"
"3.0500","0.0995","0.0809"
"3.1000","0.1010","0.0888"
"3.1500","0.1028","0.0884"
"3.2000","0.1041","0.0926"
"3.2500","0.1060","0.0900"
"3.3000","0.1078","0.0878"
"3.3500","0.1093","0.0870"
"3.4000","0.1111","0.0769"
"3.4500","0.1126","0.0744"
"3.5000","0.1144","0.0861"
"3.5500","0.1158","0.0877"
"3.6000","0.1178","0.0903"
"3.6500","0.1193","0.0731"
"3.7000","0.1209","0.0986"
"3.7500","0.1227","0.0903"
"3.8000","0.1243","0.0845"
"3.8500","0.1261","0.0925"
"3.9000","0.1274","0.0724"
"3.9500","0.1294","0.0655"
"4.0000","0.1310","0.0693"
"4.0500","0.1326","0.0910"
"4.1000","0.1344","0.0923"
"4.1500","0.1360","0.0757"
"4.2000","0.1377","0.0695"
"4.2500","0.1391","0.0811"
"4.3000","0.1411","0.0924"
"4.3500","0.1426","0.0786"
"4.4000","0.1444","0.0917"
"4.4500","0.1460","0.0997"
"4.5000","0.1477","0.0928"
"4.5500","0.1493","0.0724"
"4.6000","0.1508","0.0870"
"4.6500","0.1528","0.0911"
"4.7000","0.1543","0.0955"
"4.7500","0.1560","0.0794"
"4.8000","0.1577","0.0897"
"4.8500","0.1594","0.0890"
"4.9000","0.1609","0.0766"
"4.9500","0.1625","0.1027"
"5.0000","0.1645","0.1058"
"5.0500","0.1659","0.0937"
"5.1000","0.1677","0.1008"
"5.1500","0.1693","0.0876"
"5.2000","0.1711","0.0873"
"5.2500","0.1725","0.0728"
"5.3000","0.1742","0.0780"
"5.3500","0.1762","0.0739"
"5.4000","0.1776","0.0920"
"5.4500","0.1794","0.0671"
"5.5000","0.1809","0.0805"
"5.5500","0.1828","0.0821"
"5.6000","0.1842","0.1003"
"5.6500","0.1859","0.0686"
"5.7000","0.1878","0.0689"
"5.7500","0.1893","0.1011"
"5.8000","0.1911","0.0744"
"5.8500","0.1925","0.0912"
"5.9000","0.1944","0.1072"
"5.9500","0.1958","0.0794"
"6.0000","0.1976","0.1098"
"6.0500","0.1994","0.0740"
"6.1000","0.2009","0.0899"
"6.1500","0.2028","0.0828"
"6.2000","0.2043","0.0716"
"6.2500","0.2061","0.0714"
"6.3000","0.2074","0.0807"
"6.3500","0.2093","0.0650"
"6.4000","0.2111","0.0975"
"6.4500","0.2127","0.0892"
"6.5000","0.2144","0.0849"
"6.5500","0.2159","0.0828"
"6.6000","0.2178","0.0974"
"6.6500","0.2191","0.0536"
"6.7000","0.2211","0.0826"
"6.7500","0.2227","0.0892"
"6.8000","0.2244","0.0767"
"6.8500","0.2260","0.1063"
"6.9000","0.2276","0.0893"
"6.9500","0.2294","0.1030"
"7.0000","0.2308","0.1014"
"7.0500","0.2328","0.0885"
"7.1000","0.2343","0.1006"
"7.1500","0.2361","0.1049"
"7.2000","0.2377","0.0866"
"7.2500","0.2394","0.0864"
"7.3000","0.2410","0.0996"
"7.3500","0.2424","0.0898"
"7.4000","0.2445","0.0827"
"7.4500","0.2459","0.0878"
"7.5000","0.2477","0.0975"
"7.5500","0.2493","0.1177"
"7.6000","0.2511","0.1148"
"7.6500","0.2526","0.1077"
"7.7000","0.2541","0.0890"
"7.7500","0.2561","0.1168"
"7.8000","0.2576","0.1075"
"7.8500","0.2594","0.0958"
"7.9000","0.2610","0.0725"
"7.9500","0.2627","0.0951"
"8.0000","0.2642","0.0899"
"8.0500","0.2658","0.0991"
"8.1000","0.2678","0.0849"
"8.1500","0.2692","0.0841"
"8.2000","0.2711","0.0913"
"8.2500","0.2726","0.0804"
"8.3000","0.2744","0.0968"
"8.3500","0.2759","0.0821"
"8.4000","0.2776","0.1017"
"8.4500","0.2795","0.0924"
"8.5000","0.2809","0.1075"
"8.5500","0.2828","0.1202"
"8.6000","0.2843","0.1313"
"8.6500","0.2861","0.1575"
"8.7000","0.2875","0.1352"
"8.7500","0.2892","0.1465"
"8.8000","0.2911","0.1237"
"8.8500","0.2927","0.1243"
"8.9000","0.2944","0.1201"
"8.9500","0.2960","0.1340"
"9.0000","0.2978","0.1396"
"9.0500","0.2991","0.1493"
"9.1000","0.3009","0.1441"
"9.1500","0.3028","0.1526"
"9.2000","0.3043","0.1328"
"9.2500","0.3061","0.1324"
"9.3000","0.3076","0.1361"
"9.3500","0.3094","0.1259"
"9.4000","0.3108","0.1295"
"9.4500","0.3127","0.1354"
"9.5000","0.3144","0.1307"
"9.5500","0.3159","0.1402"
"9.6000","0.3177","0.1426"
"9.6500","0.3193","0.1508"
"9.7000","0.3211","0.1573"
"9.7500","0.3224","0.1546"
"9.8000","0.3244","0.1453"
"9.8500","0.3260","0.1555"
