
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","0.0344"
"0.1000","0.0005","0.4149"
"0.2000","0.0017","2.1604"
"0.3000","0.0066","9.1950"
"0.4000","0.0100","14.0423"
"0.5000","0.0136","18.9605"
"0.6000","0.0170","23.5501"
"0.7000","0.0203","28.0564"
"0.8000","0.0238","32.4380"
"0.9000","0.0270","36.5522"
"1.0000","0.0304","40.4526"
"1.1000","0.0334","43.2096"
"1.2000","0.0370","44.3499"
"1.3000","0.0403","47.8177"
"1.4000","0.0436","51.2390"
"1.5000","0.0471","54.8774"
"1.6000","0.0505","58.5893"
"1.7000","0.0537","62.1097"
"1.8000","0.0568","65.9162"
"1.9000","0.0602","69.9538"
"2.0000","0.0635","73.9567"
"2.1000","0.0669","78.0166"
"2.2000","0.0704","82.4205"
"2.3000","0.0737","86.3490"
"2.4000","0.0772","90.4873"
"2.5000","0.0802","94.1114"
"2.6000","0.0836","98.0171"
"2.7000","0.0869","101.9007"
"2.8000","0.0901","105.5372"
"2.9000","0.0937","109.8759"
"3.0000","0.0971","113.6307"
"3.1000","0.1004","117.4116"
"3.2000","0.1038","121.3305"
"3.3000","0.1070","124.8377"
"3.4000","0.1103","128.5880"
"3.5000","0.1134","131.9139"
"3.6000","0.1169","135.7509"
"3.7000","0.1204","139.6684"
"3.8000","0.1236","143.0830"
"3.9000","0.1271","146.8089"
"4.0000","0.1304","150.2441"
"4.1000","0.1336","153.4511"
"4.2000","0.1368","156.5123"
"4.3000","0.1403","160.0067"
"4.4000","0.1436","163.3142"
"4.5000","0.1469","166.5517"
"4.6000","0.1504","170.0488"
"4.7000","0.1537","173.1964"
"4.8000","0.1571","176.4979"
"4.9000","0.1601","179.2957"
"5.0000","0.1636","182.6851"
"5.1000","0.1669","185.8357"
"5.2000","0.1701","188.8503"
"5.3000","0.1738","192.4224"
"5.4000","0.1770","195.4113"
"5.5000","0.1804","198.5969"
"5.6000","0.1836","201.5618"
"5.7000","0.1869","204.5893"
"5.8000","0.1903","207.6333"
"5.9000","0.1934","209.9516"
"6.0000","0.1970","212.1436"
"6.1000","0.2004","215.4995"
"6.2000","0.2037","218.6714"
"6.3000","0.2070","221.7441"
"6.4000","0.2103","224.9174"
"6.5000","0.2136","227.9246"
"6.6000","0.2168","230.8443"
"6.7000","0.2203","234.1689"
"6.8000","0.2237","237.4111"
"6.9000","0.2270","240.4585"
"7.0000","0.2304","243.6563"
"7.1000","0.2336","246.5366"
"7.2000","0.2371","249.7430"
"7.3000","0.2401","252.3918"
"7.4000","0.2436","255.7531"
"7.5000","0.2470","259.0053"
"7.6000","0.2502","262.0883"
"7.7000","0.2538","265.6171"
"7.8000","0.2570","268.6688"
"7.9000","0.2604","271.9186"
"8.0000","0.2635","274.9076"
"8.1000","0.2669","278.1329"
"8.2000","0.2703","281.4846"
"8.3000","0.2735","284.5704"
"8.4000","0.2772","288.3156"
"8.5000","0.2804","291.4769"
"8.6000","0.2838","294.7532"
"8.7000","0.2869","297.7477"
"8.8000","0.2903","301.1093"
"8.9000","0.2935","304.1006"
"9.0000","0.2967","307.1786"
"9.1000","0.3004","310.8514"
"9.2000","0.3037","314.0558"
"9.3000","0.3071","317.3094"
"9.4000","0.3104","320.4718"
"9.5000","0.3136","323.5846"
"9.6000","0.3170","326.7776"
"9.7000","0.3201","329.6499"
"9.8000","0.3237","333.1555"
"9.9000","0.3270","336.3586"
"10.0000","0.3303","339.5131"
"10.1000","0.3338","342.8580"
"10.2000","0.3371","345.9848"
"10.3000","0.3403","349.0323"
"10.4000","0.3434","351.8968"
"10.5000","0.3469","355.2027"
"10.6000","0.3503","358.4406"
"10.7000","0.3535","361.4022"
"10.8000","0.3571","364.8678"
"10.9000","0.3604","367.9520"
"11.0000","0.3637","371.0373"
"11.1000","0.3669","373.9392"
"11.2000","0.3702","377.0028"
"11.3000","0.3736","380.2535"
"11.4000","0.3768","383.1215"
"11.5000","0.3804","386.6074"
"11.6000","0.3838","389.7681"
"11.7000","0.3871","392.7778"
"11.8000","0.3903","395.7081"
"11.9000","0.3937","398.8419"
"12.0000","0.3969","401.8237"
"12.1000","0.4001","404.5938"
"12.2000","0.4037","408.0835"
"12.3000","0.4070","411.1060"
"12.4000","0.4104","414.1915"
"12.5000","0.4137","417.1950"
"12.6000","0.4169","420.0848"
"12.7000","0.4203","423.1752"
"12.8000","0.4234","425.8571"
"12.9000","0.4270","429.1998"
"13.0000","0.4303","432.2523"
"13.1000","0.4337","435.2263"
"13.2000","0.4371","438.3975"
"13.3000","0.4404","441.3086"
"13.4000","0.4437","444.2007"
"13.5000","0.4468","446.8679"
"13.6000","0.4503","450.0192"
"13.7000","0.4537","453.0588"
"13.8000","0.4570","455.9462"
"13.9000","0.4604","459.1129"
"14.0000","0.4637","461.9767"
"14.1000","0.4671","464.9336"
"14.2000","0.4701","467.5359"
"14.3000","0.4735","470.5538"
"14.4000","0.4769","473.5399"
"14.5000","0.4801","476.2599"
"14.6000","0.4837","479.5548"
"14.7000","0.4871","482.4240"
"14.8000","0.4904","485.3646"
"14.9000","0.4936","488.0527"
"15.0000","0.4969","490.8287"
"15.1000","0.5003","493.8099"
"15.2000","0.5034","496.3658"
"15.3000","0.5070","499.6656"
"15.4000","0.5104","502.5369"
"15.5000","0.5138","505.4402"
"15.6000","0.5171","508.2598"
"15.7000","0.5203","510.9618"
"15.8000","0.5236","513.7441"
"15.9000","0.5267","516.2407"
"16.0000","0.5303","519.4186"
"16.1000","0.5336","522.1731"
"16.2000","0.5370","525.0090"
"16.3000","0.5405","528.0078"
"16.4000","0.5437","530.6558"
"16.5000","0.5470","533.3648"
"16.6000","0.5501","535.8322"
"16.7000","0.5536","538.8230"
"16.8000","0.5569","541.5589"
"16.9000","0.5602","544.2798"
"17.0000","0.5638","547.3506"
"17.1000","0.5671","550.1310"
"17.2000","0.5704","552.7649"
"17.3000","0.5735","555.2318"
"17.4000","0.5769","557.9786"
"17.5000","0.5803","560.6906"
"17.6000","0.5834","563.2034"
"17.7000","0.5871","566.2998"
"17.8000","0.5904","569.0381"
"17.9000","0.5938","571.7302"
"18.0000","0.5969","574.2115"
"18.1000","0.6002","576.8381"
"18.2000","0.6036","579.5967"
"18.3000","0.6067","581.9668"
"18.4000","0.6103","584.9197"
"18.5000","0.6137","587.7036"
"18.6000","0.6170","590.2712"
"18.7000","0.6204","593.0295"
"18.8000","0.6236","595.4548"
"18.9000","0.6270","598.1108"
"19.0000","0.6301","600.4244"
"19.1000","0.6337","603.3406"
"19.2000","0.6370","605.9606"
"19.3000","0.6403","608.4630"
"19.4000","0.6437","611.2357"
"19.5000","0.6471","613.8127"
"19.6000","0.6503","616.2842"
"19.7000","0.6534","618.5509"
"19.8000","0.6569","621.3160"
"19.9000","0.6603","623.9179"
"20.0000","0.6635","626.3801"
"20.1000","0.6671","629.2047"
"20.2000","0.6704","631.7137"
"20.3000","0.6738","634.2921"
"20.4000","0.6768","636.4933"
"20.5000","0.6803","639.1404"
"20.6000","0.6836","641.6743"
"20.7000","0.6868","644.0497"
"20.8000","0.6904","646.9105"
"20.9000","0.6938","649.4714"
"21.0000","0.6971","652.0434"
"21.1000","0.7003","654.4716"
"21.2000","0.7035","656.8271"
"21.3000","0.7070","659.4984"
"21.4000","0.7101","661.7708"
"21.5000","0.7137","664.6389"
"21.6000","0.7171","667.2114"
"21.7000","0.7204","669.7581"
"21.8000","0.7237","672.2321"
"21.9000","0.7269","674.6408"
"22.0000","0.7303","677.1762"
"22.1000","0.7334","679.3550"
"22.2000","0.7369","682.1454"
"22.3000","0.7404","684.7516"
"22.4000","0.7436","687.1265"
