
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","-0.0396"
"0.0500","0.0000","-0.0145"
"0.1000","0.0007","-0.0311"
"0.1500","0.0010","-0.0164"
"0.2000","0.0026","0.0046"
"0.2500","0.0054","0.0193"
"0.3000","0.0075","0.0144"
"0.3500","0.0092","0.0094"
"0.4000","0.0110","0.0231"
"0.4500","0.0124","0.0065"
"0.5000","0.0143","0.0052"
"0.5500","0.0159","0.0129"
"0.6000","0.0176","0.0142"
"0.6500","0.0193","0.0224"
"0.7000","0.0210","0.0196"
"0.7500","0.0227","0.0044"
"0.8000","0.0240","0.0180"
"0.8500","0.0260","0.0303"
"0.9000","0.0277","-0.0028"
"0.9500","0.0294","0.0115"
"1.0000","0.0310","0.0028"
"1.0500","0.0327","0.0160"
"1.1000","0.0343","0.0137"
"1.1500","0.0357","0.0026"
"1.2000","0.0378","0.0142"
"1.2500","0.0393","0.0082"
"1.3000","0.0410","0.0208"
"1.3500","0.0426","0.0236"
"1.4000","0.0444","0.0050"
"1.4500","0.0459","0.0235"
"1.5000","0.0475","0.0093"
"1.5500","0.0494","0.0017"
"1.6000","0.0508","0.0175"
"1.6500","0.0527","0.0144"
"1.7000","0.0543","-0.0044"
"1.7500","0.0561","0.0272"
"1.8000","0.0575","0.0282"
"1.8500","0.0591","0.0090"
"1.9000","0.0611","0.0143"
"1.9500","0.0625","0.0160"
"2.0000","0.0644","0.0000"
"2.0500","0.0659","0.0118"
"2.1000","0.0677","0.0203"
"2.1500","0.0691","-0.0011"
"2.2000","0.0708","0.0104"
"2.2500","0.0728","0.0175"
"2.3000","0.0742","0.0090"
"2.3500","0.0760","0.0290"
"2.4000","0.0776","0.0040"
"2.4500","0.0794","0.0105"
"2.5000","0.0808","0.0200"
"2.5500","0.0826","0.0195"
"2.6000","0.0844","0.0093"
"2.6500","0.0859","0.0271"
"2.7000","0.0878","0.0096"
"2.7500","0.0893","0.0147"
"2.8000","0.0911","0.0197"
"2.8500","0.0924","0.0397"
"2.9000","0.0943","0.0142"
"2.9500","0.0960","0.0117"
"3.0000","0.0975","0.0181"
"3.0500","0.0994","0.0130"
"3.1000","0.1010","0.0177"
"3.1500","0.1028","0.0314"
"3.2000","0.1041","0.0161"
"3.2500","0.1060","0.0342"
"3.3000","0.1077","0.0175"
"3.3500","0.1093","0.0230"
"3.4000","0.1110","0.0417"
"3.4500","0.1126","0.0090"
"3.5000","0.1144","0.0297"
"3.5500","0.1157","0.0158"
"3.6000","0.1177","0.0460"
"3.6500","0.1193","0.0159"
"3.7000","0.1210","0.0395"
"3.7500","0.1226","0.0311"
"3.8000","0.1242","0.0408"
"3.8500","0.1260","0.0521"
"3.9000","0.1274","0.0488"
"3.9500","0.1294","0.0360"
"4.0000","0.1310","0.0496"
"4.0500","0.1327","0.0505"
"4.1000","0.1342","0.0637"
"4.1500","0.1360","0.0591"
"4.2000","0.1376","0.0429"
"4.2500","0.1391","0.0541"
"4.3000","0.1411","0.0386"
"4.3500","0.1426","0.0330"
"4.4000","0.1444","0.0323"
"4.4500","0.1459","0.0361"
"4.5000","0.1477","0.0498"
"4.5500","0.1493","0.0268"
"4.6000","0.1508","0.0442"
"4.6500","0.1528","0.0292"
"4.7000","0.1543","0.0455"
"4.7500","0.1561","0.0436"
"4.8000","0.1575","0.0307"
"4.8500","0.1594","0.0503"
"4.9000","0.1608","0.0410"
"4.9500","0.1625","0.0605"
"5.0000","0.1644","0.0347"
"5.0500","0.1659","0.0372"
"5.1000","0.1678","0.0422"
"5.1500","0.1692","0.0452"
"5.2000","0.1711","0.0400"
"5.2500","0.1724","0.0468"
"5.3000","0.1743","0.0223"
"5.3500","0.1761","0.0514"
"5.4000","0.1776","0.0395"
"5.4500","0.1794","0.0298"
"5.5000","0.1809","0.0414"
"5.5500","0.1828","0.0463"
"5.6000","0.1841","0.0505"
"5.6500","0.1859","0.0568"
"5.7000","0.1877","0.0465"
"5.7500","0.1892","0.0420"
"5.8000","0.1911","0.0301"
"5.8500","0.1926","0.0362"
"5.9000","0.1944","0.0550"
"5.9500","0.1957","0.0826"
"6.0000","0.1976","0.1118"
"6.0500","0.1993","0.1114"
"6.1000","0.2010","0.1321"
"6.1500","0.2027","0.1858"
"6.2000","0.2043","0.1788"
"6.2500","0.2060","0.1898"
"6.3000","0.2074","0.2216"
"6.3500","0.2094","0.2089"
"6.4000","0.2110","0.2313"
"6.4500","0.2126","0.2250"
"6.5000","0.2143","0.2254"
"6.5500","0.2160","0.2572"
"6.6000","0.2177","0.2898"
