
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","-0.0020"
"0.0500","0.0001","0.0054"
"0.1000","0.0005","0.0166"
"0.1500","0.0009","0.0114"
"0.2000","0.0018","0.1039"
"0.2500","0.0046","0.5197"
"0.3000","0.0070","0.9133"
"0.3500","0.0089","1.2551"
"0.4000","0.0102","1.4962"
"0.4500","0.0120","1.8923"
"0.5000","0.0139","2.1419"
"0.5500","0.0154","2.2066"
"0.6000","0.0172","2.2409"
"0.6500","0.0187","2.2790"
"0.7000","0.0206","2.3573"
"0.7500","0.0219","2.3862"
"0.8000","0.0238","2.4344"
"0.8500","0.0255","2.4524"
"0.9000","0.0271","2.4628"
"0.9500","0.0289","2.4989"
"1.0000","0.0304","2.4874"
"1.0500","0.0322","2.4954"
"1.1000","0.0335","2.5341"
"1.1500","0.0356","2.5644"
"1.2000","0.0371","2.5547"
"1.2500","0.0388","2.5843"
"1.3000","0.0405","2.5672"
"1.3500","0.0421","2.5991"
"1.4000","0.0438","2.5872"
"1.4500","0.0452","2.5924"
"1.5000","0.0472","2.6142"
"1.5500","0.0488","2.6086"
"1.6000","0.0505","2.5878"
"1.6500","0.0521","2.6101"
"1.7000","0.0538","2.6231"
"1.7500","0.0554","2.6004"
"1.8000","0.0569","2.6238"
"1.8500","0.0589","2.6203"
"1.9000","0.0604","2.6313"
"1.9500","0.0622","2.6121"
"2.0000","0.0638","2.6206"
"2.0500","0.0655","2.6369"
"2.1000","0.0670","2.6425"
"2.1500","0.0686","2.6378"
"2.2000","0.0706","2.6328"
"2.2500","0.0721","2.6471"
"2.3000","0.0739","2.6587"
"2.3500","0.0755","2.6524"
"2.4000","0.0772","2.6520"
"2.4500","0.0786","2.6768"
"2.5000","0.0803","2.6484"
"2.5500","0.0822","2.6555"
"2.6000","0.0838","2.6574"
"2.6500","0.0856","2.6665"
"2.7000","0.0871","2.6462"
"2.7500","0.0889","2.6633"
"2.8000","0.0903","2.6661"
"2.8500","0.0920","2.6598"
"2.9000","0.0939","2.6586"
"2.9500","0.0955","2.6545"
"3.0000","0.0972","2.6466"
"3.0500","0.0987","2.6652"
"3.1000","0.1006","2.6729"
"3.1500","0.1020","2.6790"
"3.2000","0.1037","2.6947"
"3.2500","0.1055","2.7259"
"3.3000","0.1070","2.7558"
"3.3500","0.1088","2.8157"
"3.4000","0.1104","2.8541"
"3.4500","0.1122","2.8874"
"3.5000","0.1136","2.9073"
"3.5500","0.1154","2.9296"
"3.6000","0.1172","2.9483"
"3.6500","0.1187","2.9675"
"3.7000","0.1205","3.0403"
"3.7500","0.1221","3.0980"
"3.8000","0.1239","3.1477"
"3.8500","0.1252","3.1782"
"3.9000","0.1271","3.2278"
"3.9500","0.1289","3.2781"
"4.0000","0.1305","3.3088"
"4.0500","0.1322","3.3230"
"4.1000","0.1337","3.3403"
"4.1500","0.1356","3.3366"
"4.2000","0.1369","3.3374"
"4.2500","0.1388","3.3328"
"4.3000","0.1405","3.3337"
"4.3500","0.1421","3.3323"
"4.4000","0.1439","3.3476"
"4.4500","0.1455","3.3417"
"4.5000","0.1472","3.3570"
"4.5500","0.1486","3.3395"
"4.6000","0.1505","3.3632"
"4.6500","0.1521","3.3744"
"4.7000","0.1538","3.3876"
"4.7500","0.1555","3.3870"
"4.8000","0.1572","3.4086"
"4.8500","0.1588","3.3934"
"4.9000","0.1602","3.4030"
"4.9500","0.1622","3.3897"
"5.0000","0.1638","3.4094"
"5.0500","0.1655","3.4031"
"5.1000","0.1671","3.4060"
"5.1500","0.1688","3.3842"
"5.2000","0.1704","3.3763"
"5.2500","0.1719","3.4032"
"5.3000","0.1739","3.3991"
"5.3500","0.1754","3.4032"
"5.4000","0.1771","3.3851"
"5.4500","0.1787","3.3981"
"5.5000","0.1805","3.4005"
"5.5500","0.1821","3.3892"
"5.6000","0.1836","3.4163"
"5.6500","0.1856","3.3837"
"5.7000","0.1870","3.3885"
"5.7500","0.1889","3.3942"
"5.8000","0.1905","3.4149"
"5.8500","0.1923","3.3761"
"5.9000","0.1937","3.3868"
"5.9500","0.1953","3.3967"
"6.0000","0.1973","3.3974"
"6.0500","0.1987","3.3884"
"6.1000","0.2005","3.4051"
"6.1500","0.2021","3.3947"
"6.2000","0.2040","3.3962"
"6.2500","0.2053","3.3906"
"6.3000","0.2070","3.3977"
"6.3500","0.2090","3.4148"
"6.4000","0.2104","3.4145"
"6.4500","0.2122","3.4039"
"6.5000","0.2137","3.3906"
"6.5500","0.2156","3.4136"
"6.6000","0.2169","3.3917"
"6.6500","0.2187","3.4000"
"6.7000","0.2206","3.3995"
"6.7500","0.2221","3.3942"
"6.8000","0.2239","3.3861"
"6.8500","0.2253","3.4005"
"6.9000","0.2272","3.3988"
"6.9500","0.2285","3.3819"
"7.0000","0.2305","3.4054"
"7.0500","0.2322","3.4122"
"7.1000","0.2338","3.3826"
"7.1500","0.2355","3.4096"
"7.2000","0.2371","3.4019"
"7.2500","0.2389","3.4024"
"7.3000","0.2402","3.3965"
"7.3500","0.2422","3.4053"
"7.4000","0.2438","3.4039"
"7.4500","0.2455","3.3968"
"7.5000","0.2471","3.3785"
"7.5500","0.2488","3.3949"
"7.6000","0.2505","3.4093"
"7.6500","0.2519","3.4035"
"7.7000","0.2539","3.4114"
"7.7500","0.2554","3.4031"
"7.8000","0.2572","3.4137"
"7.8500","0.2588","3.4281"
"7.9000","0.2605","3.4376"
"7.9500","0.2621","3.4275"
"8.0000","0.2636","3.4202"
"8.0500","0.2656","3.4420"
"8.1000","0.2671","3.4253"
"8.1500","0.2689","3.4446"
"8.2000","0.2704","3.4326"
"8.2500","0.2722","3.4281"
"8.3000","0.2737","3.4397"
"8.3500","0.2753","3.4314"
"8.4000","0.2773","3.4306"
"8.4500","0.2787","3.4353"
"8.5000","0.2805","3.4405"
"8.5500","0.2821","3.4287"
"8.6000","0.2839","3.4406"
"8.6500","0.2853","3.4513"
"8.7000","0.2869","3.5154"
"8.7500","0.2889","3.5652"
"8.8000","0.2904","3.6130"
"8.8500","0.2922","3.6863"
"8.9000","0.2937","3.7318"
"8.9500","0.2955","3.8024"
"9.0000","0.2969","3.8462"
"9.0500","0.2987","3.9505"
"9.1000","0.3005","4.0635"
"9.1500","0.3021","4.1838"
"9.2000","0.3039","4.3275"
"9.2500","0.3054","4.5166"
"9.3000","0.3072","4.8252"
"9.3500","0.3086","5.0598"
"9.4000","0.3104","5.4158"
"9.4500","0.3122","5.7897"
"9.5000","0.3137","6.1363"
"9.5500","0.3155","6.6573"
"9.6000","0.3171","7.0693"
"9.6500","0.3189","7.5967"
"9.7000","0.3203","7.9719"
"9.7500","0.3221","8.5844"
"9.8000","0.3238","9.1056"
"9.8500","0.3254","9.6033"
"9.9000","0.3272","10.1696"
"9.9500","0.3288","10.6018"
"10.0000","0.3306","10.2948"
"10.0500","0.3319","10.5428"
"10.1000","0.3338","11.0296"
"10.1500","0.3355","11.1522"
"10.2000","0.3372","11.4757"
"10.2500","0.3388","11.7683"
"10.3000","0.3404","12.0665"
"10.3500","0.3422","12.3584"
"10.4000","0.3435","12.5619"
"10.4500","0.3455","12.9791"
"10.5000","0.3471","13.1804"
"10.5500","0.3487","13.5394"
"10.6000","0.3505","13.8744"
"10.6500","0.3521","14.2120"
"10.7000","0.3538","14.5162"
"10.7500","0.3552","14.7769"
"10.8000","0.3572","15.1861"
