
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","-0.0149"
"0.0500","0.0000","-0.0243"
"0.1000","0.0007","-0.0144"
"0.1500","0.0010","-0.0095"
"0.2000","0.0027","0.0071"
"0.2500","0.0055","0.0077"
"0.3000","0.0075","0.0211"
"0.3500","0.0092","0.0252"
"0.4000","0.0110","0.0155"
"0.4500","0.0124","0.0166"
"0.5000","0.0144","0.0297"
"0.5500","0.0159","0.0065"
"0.6000","0.0176","0.0146"
"0.6500","0.0193","0.0008"
"0.7000","0.0210","0.0027"
"0.7500","0.0227","0.0132"
"0.8000","0.0240","0.0212"
"0.8500","0.0260","0.0022"
"0.9000","0.0277","0.0248"
"0.9500","0.0294","-0.0027"
"1.0000","0.0310","0.0081"
"1.0500","0.0327","0.0136"
"1.1000","0.0343","0.0130"
"1.1500","0.0357","-0.0068"
"1.2000","0.0378","0.0203"
"1.2500","0.0393","0.0131"
"1.3000","0.0410","0.0232"
"1.3500","0.0426","0.0053"
"1.4000","0.0444","0.0305"
"1.4500","0.0459","0.0282"
"1.5000","0.0475","0.0130"
"1.5500","0.0494","0.0086"
"1.6000","0.0508","0.0290"
"1.6500","0.0527","0.0146"
"1.7000","0.0543","0.0181"
"1.7500","0.0561","0.0096"
"1.8000","0.0575","-0.0024"
"1.8500","0.0591","0.0399"
"1.9000","0.0611","0.0283"
"1.9500","0.0625","0.0058"
"2.0000","0.0644","0.0415"
"2.0500","0.0659","0.0250"
"2.1000","0.0677","0.0563"
"2.1500","0.0691","0.0197"
"2.2000","0.0708","0.0590"
"2.2500","0.0728","0.0419"
"2.3000","0.0742","0.0338"
"2.3500","0.0760","0.0479"
"2.4000","0.0776","0.0257"
"2.4500","0.0794","0.0550"
"2.5000","0.0808","0.0200"
"2.5500","0.0826","0.0449"
"2.6000","0.0844","0.0455"
"2.6500","0.0859","0.0445"
"2.7000","0.0878","0.0653"
"2.7500","0.0893","0.0539"
"2.8000","0.0911","0.1066"
"2.8500","0.0924","0.1341"
"2.9000","0.0943","0.1739"
"2.9500","0.0961","0.1776"
"3.0000","0.0976","0.1571"
"3.0500","0.0994","0.1789"
"3.1000","0.1010","0.1866"
"3.1500","0.1028","0.1970"
"3.2000","0.1041","0.2088"
"3.2500","0.1060","0.2369"
"3.3000","0.1077","0.2483"
"3.3500","0.1093","0.2711"
"3.4000","0.1110","0.2663"
"3.4500","0.1126","0.2802"
"3.5000","0.1144","0.3061"
"3.5500","0.1157","0.3206"
"3.6000","0.1177","0.3803"
"3.6500","0.1193","0.4653"
"3.7000","0.1210","0.5236"
"3.7500","0.1226","0.5966"
"3.8000","0.1243","0.7050"
"3.8500","0.1260","0.7637"
"3.9000","0.1273","0.8408"
"3.9500","0.1294","0.9381"
"4.0000","0.1310","1.0119"
"4.0500","0.1327","1.0785"
"4.1000","0.1343","1.1709"
"4.1500","0.1360","1.2574"
"4.2000","0.1376","1.3169"
"4.2500","0.1391","1.3758"
"4.3000","0.1412","1.4732"
"4.3500","0.1426","1.5173"
"4.4000","0.1444","1.6141"
"4.4500","0.1459","1.6570"
"4.5000","0.1477","1.7441"
"4.5500","0.1493","1.7968"
"4.6000","0.1508","1.8871"
"4.6500","0.1528","1.9727"
"4.7000","0.1543","2.0207"
"4.7500","0.1561","2.0978"
"4.8000","0.1576","2.1279"
"4.8500","0.1594","2.1959"
"4.9000","0.1608","2.2266"
"4.9500","0.1625","2.3224"
"5.0000","0.1644","2.3656"
"5.0500","0.1659","2.4428"
"5.1000","0.1678","2.4703"
"5.1500","0.1693","2.5199"
"5.2000","0.1711","2.5531"
"5.2500","0.1724","2.5645"
"5.3000","0.1742","2.6107"
"5.3500","0.1761","2.6260"
"5.4000","0.1776","2.6492"
"5.4500","0.1794","2.6674"
"5.5000","0.1809","2.6342"
"5.5500","0.1828","2.6447"
"5.6000","0.1841","2.6643"
"5.6500","0.1859","2.6795"
"5.7000","0.1877","2.6832"
"5.7500","0.1892","2.6734"
"5.8000","0.1911","2.6650"
"5.8500","0.1926","2.7041"
"5.9000","0.1944","2.6866"
"5.9500","0.1957","2.6950"
"6.0000","0.1976","2.7061"
"6.0500","0.1993","2.7094"
"6.1000","0.2010","2.7072"
"6.1500","0.2027","2.7119"
"6.2000","0.2043","2.7079"
"6.2500","0.2060","2.7187"
"6.3000","0.2074","2.7421"
