
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","-0.0076"
"0.0500","0.0001","0.0021"
"0.1000","0.0008","0.0255"
"0.1500","0.0010","0.0185"
"0.2000","0.0025","0.0370"
"0.2500","0.0055","0.0311"
"0.3000","0.0077","0.0190"
"0.3500","0.0090","0.0410"
"0.4000","0.0110","0.0222"
"0.4500","0.0126","0.0262"
"0.5000","0.0143","0.0174"
"0.5500","0.0160","0.0227"
"0.6000","0.0177","0.0286"
"0.6500","0.0194","0.0354"
"0.7000","0.0207","0.0170"
"0.7500","0.0227","0.0282"
"0.8000","0.0244","0.0457"
"0.8500","0.0261","0.0190"
"0.9000","0.0276","0.0462"
"0.9500","0.0293","0.0141"
"1.0000","0.0309","0.0169"
"1.0500","0.0324","0.0411"
"1.1000","0.0345","0.0378"
"1.1500","0.0359","0.0215"
"1.2000","0.0377","0.0356"
"1.2500","0.0392","0.0411"
"1.3000","0.0410","0.0280"
"1.3500","0.0426","0.0228"
"1.4000","0.0441","0.0488"
"1.4500","0.0462","0.0330"
"1.5000","0.0476","0.0375"
"1.5500","0.0494","0.0323"
"1.6000","0.0509","0.0355"
"1.6500","0.0528","0.0376"
"1.7000","0.0542","0.0316"
"1.7500","0.0558","0.0529"
"1.8000","0.0578","0.0368"
"1.8500","0.0593","0.0593"
"1.9000","0.0612","0.0456"
"1.9500","0.0626","0.0679"
"2.0000","0.0644","0.0345"
"2.0500","0.0658","0.0434"
"2.1000","0.0676","0.0555"
"2.1500","0.0695","0.0385"
"2.2000","0.0710","0.0632"
"2.2500","0.0728","0.0789"
"2.3000","0.0742","0.0712"
"2.3500","0.0760","0.0280"
"2.4000","0.0774","0.0597"
"2.4500","0.0793","0.0661"
"2.5000","0.0811","0.0419"
"2.5500","0.0826","0.0640"
"2.6000","0.0844","0.0762"
"2.6500","0.0860","0.0690"
"2.7000","0.0877","0.0532"
"2.7500","0.0890","0.0770"
"2.8000","0.0910","0.0881"
"2.8500","0.0927","0.0409"
"2.9000","0.0943","0.0468"
"2.9500","0.0961","0.0617"
"3.0000","0.0976","0.0509"
"3.0500","0.0994","0.0593"
"3.1000","0.1007","0.0628"
"3.1500","0.1027","0.0588"
"3.2000","0.1043","0.0449"
"3.2500","0.1060","0.0584"
"3.3000","0.1077","0.0961"
"3.3500","0.1093","0.0507"
"3.4000","0.1110","0.0625"
"3.4500","0.1124","0.0743"
