
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","-0.0057"
"0.0500","0.0001","0.0096"
"0.1000","0.0008","-0.0007"
"0.1500","0.0010","0.0036"
"0.2000","0.0023","0.0128"
"0.2500","0.0055","-0.0293"
"0.3000","0.0077","0.0183"
"0.3500","0.0093","0.0087"
"0.4000","0.0109","-0.0075"
"0.4500","0.0126","0.0134"
"0.5000","0.0140","0.0030"
"0.5500","0.0160","0.0061"
"0.6000","0.0176","0.0442"
"0.6500","0.0193","0.0228"
"0.7000","0.0209","0.0077"
"0.7500","0.0226","0.0219"
"0.8000","0.0243","0.0286"
"0.8500","0.0258","0.0231"
"0.9000","0.0277","0.0345"
"0.9500","0.0292","0.0396"
"1.0000","0.0310","0.0222"
"1.0500","0.0326","0.0068"
"1.1000","0.0343","0.0051"
"1.1500","0.0359","0.0199"
"1.2000","0.0374","0.0127"
"1.2500","0.0394","0.0057"
"1.3000","0.0409","0.0344"
"1.3500","0.0427","0.0074"
"1.4000","0.0443","0.0595"
"1.4500","0.0460","0.0388"
"1.5000","0.0475","0.0263"
"1.5500","0.0491","0.0133"
"1.6000","0.0511","0.0276"
"1.6500","0.0526","0.0201"
"1.7000","0.0544","0.0370"
"1.7500","0.0559","0.0185"
"1.8000","0.0577","0.0174"
"1.8500","0.0592","0.0057"
"1.9000","0.0609","0.0344"
"1.9500","0.0627","0.0260"
"2.0000","0.0641","0.0345"
"2.0500","0.0660","0.0208"
"2.1000","0.0676","0.0590"
"2.1500","0.0694","0.0484"
"2.2000","0.0708","0.0331"
"2.2500","0.0725","0.0241"
"2.3000","0.0744","0.0220"
"2.3500","0.0758","0.0456"
"2.4000","0.0777","0.0278"
"2.4500","0.0793","0.0299"
"2.5000","0.0811","0.0469"
"2.5500","0.0824","0.0417"
"2.6000","0.0842","0.0511"
"2.6500","0.0860","0.0361"
"2.7000","0.0875","0.0577"
"2.7500","0.0894","0.0515"
"2.8000","0.0909","0.0463"
"2.8500","0.0927","0.0523"
"2.9000","0.0940","0.0587"
"2.9500","0.0960","0.0329"
"3.0000","0.0977","0.0339"
"3.0500","0.0992","0.0459"
"3.1000","0.1011","0.0502"
"3.1500","0.1026","0.0419"
"3.2000","0.1044","0.0503"
"3.2500","0.1057","0.0437"
"3.3000","0.1077","0.0505"
"3.3500","0.1093","0.0400"
"3.4000","0.1109","0.0566"
"3.4500","0.1127","0.0419"
"3.5000","0.1143","0.0706"
"3.5500","0.1160","0.0295"
"3.6000","0.1173","0.0425"
"3.6500","0.1194","0.0595"
"3.7000","0.1210","0.0434"
"3.7500","0.1227","0.0468"
"3.8000","0.1243","0.0487"
"3.8500","0.1260","0.0313"
"3.9000","0.1277","0.0482"
"3.9500","0.1290","0.0621"
"4.0000","0.1311","0.0690"
"4.0500","0.1326","0.0411"
"4.1000","0.1344","0.0590"
"4.1500","0.1359","0.0527"
"4.2000","0.1376","0.0398"
"4.2500","0.1392","0.0674"
"4.3000","0.1407","0.0480"
"4.3500","0.1428","0.0430"
"4.4000","0.1442","0.0575"
"4.4500","0.1460","0.0523"
"4.5000","0.1475","0.0494"
"4.5500","0.1493","0.0423"
"4.6000","0.1508","0.0520"
"4.6500","0.1524","0.0505"
"4.7000","0.1545","0.0474"
"4.7500","0.1559","0.0592"
"4.8000","0.1577","0.0442"
"4.8500","0.1592","0.0704"
"4.9000","0.1611","0.0482"
"4.9500","0.1625","0.0297"
"5.0000","0.1642","0.0550"
"5.0500","0.1660","0.0444"
"5.1000","0.1676","0.0386"
"5.1500","0.1694","0.0610"
"5.2000","0.1709","0.0280"
"5.2500","0.1727","0.0545"
"5.3000","0.1741","0.0598"
"5.3500","0.1759","0.0463"
"5.4000","0.1777","0.0404"
"5.4500","0.1792","0.0381"
"5.5000","0.1811","0.0550"
"5.5500","0.1826","0.0513"
"5.6000","0.1843","0.0492"
"5.6500","0.1857","0.0538"
"5.7000","0.1877","0.0563"
"5.7500","0.1894","0.0485"
"5.8000","0.1909","0.0535"
"5.8500","0.1927","0.0422"
"5.9000","0.1943","0.0430"
"5.9500","0.1960","0.0650"
"6.0000","0.1973","0.0531"
"6.0500","0.1993","0.0598"
"6.1000","0.2009","0.0638"
"6.1500","0.2026","0.0693"
"6.2000","0.2043","0.0451"
"6.2500","0.2059","0.0649"
"6.3000","0.2077","0.0540"
"6.3500","0.2090","0.0842"
"6.4000","0.2110","0.0540"
"6.4500","0.2126","0.0506"
"6.5000","0.2143","0.0444"
"6.5500","0.2160","0.0621"
"6.6000","0.2176","0.0906"
"6.6500","0.2192","0.0786"
"6.7000","0.2207","0.0942"
"6.7500","0.2228","0.0808"
"6.8000","0.2242","0.1233"
"6.8500","0.2260","0.1042"
"6.9000","0.2276","0.1232"
"6.9500","0.2293","0.1074"
"7.0000","0.2309","0.1151"
"7.0500","0.2324","0.0983"
"7.1000","0.2344","0.0835"
"7.1500","0.2359","0.1138"
"7.2000","0.2377","0.1061"
"7.2500","0.2393","0.1182"
"7.3000","0.2410","0.1209"
"7.3500","0.2425","0.1001"
"7.4000","0.2440","0.0975"
"7.4500","0.2461","0.1009"
"7.5000","0.2476","0.1220"
"7.5500","0.2494","0.1220"
"7.6000","0.2509","0.1192"
"7.6500","0.2526","0.1257"
"7.7000","0.2541","0.1226"
"7.7500","0.2558","0.1190"
"7.8000","0.2578","0.1255"
"7.8500","0.2592","0.1176"
"7.9000","0.2610","0.1109"
"7.9500","0.2626","0.1103"
"8.0000","0.2644","0.1124"
"8.0500","0.2658","0.1443"
"8.1000","0.2675","0.1153"
"8.1500","0.2694","0.1359"
"8.2000","0.2709","0.1257"
"8.2500","0.2727","0.1265"
"8.3000","0.2742","0.1252"
"8.3500","0.2761","0.1256"
"8.4000","0.2774","0.1381"
"8.4500","0.2792","0.1165"
"8.5000","0.2810","0.1209"
"8.5500","0.2826","0.1151"
"8.6000","0.2844","0.1151"
"8.6500","0.2859","0.1111"
"8.7000","0.2877","0.1304"
"8.7500","0.2890","0.1293"
"8.8000","0.2909","0.1301"
