
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","0.0011"
"0.0500","0.0000","-0.0203"
"0.1000","0.0006","-0.0117"
"0.1500","0.0010","0.0211"
"0.2000","0.0020","0.0237"
"0.2500","0.0051","-0.0124"
"0.3000","0.0073","-0.0010"
"0.3500","0.0091","0.0166"
"0.4000","0.0106","0.0190"
"0.4500","0.0124","0.0281"
"0.5000","0.0137","-0.0042"
"0.5500","0.0157","0.0007"
"0.6000","0.0173","0.0056"
"0.6500","0.0189","0.0039"
"0.7000","0.0207","-0.0056"
"0.7500","0.0223","0.0054"
"0.8000","0.0241","-0.0075"
"0.8500","0.0254","0.0120"
"0.9000","0.0273","0.0096"
"0.9500","0.0289","0.0026"
"1.0000","0.0306","0.0003"
"1.0500","0.0324","0.0358"
"1.1000","0.0340","0.0099"
"1.1500","0.0357","-0.0132"
"1.2000","0.0371","0.0214"
"1.2500","0.0391","0.0237"
"1.3000","0.0406","0.0220"
"1.3500","0.0424","0.0104"
"1.4000","0.0440","0.0187"
"1.4500","0.0457","0.0103"
"1.5000","0.0473","0.0211"
"1.5500","0.0488","0.0140"
"1.6000","0.0508","-0.0048"
"1.6500","0.0523","0.0083"
"1.7000","0.0540","0.0090"
"1.7500","0.0557","0.0036"
"1.8000","0.0574","0.0287"
"1.8500","0.0589","0.0227"
"1.9000","0.0605","0.0201"
"1.9500","0.0625","0.0096"
"2.0000","0.0640","0.0086"
"2.0500","0.0657","0.0327"
"2.1000","0.0674","0.0092"
"2.1500","0.0691","0.0127"
"2.2000","0.0705","0.0138"
"2.2500","0.0721","0.0097"
"2.3000","0.0741","0.0291"
"2.3500","0.0756","0.0236"
"2.4000","0.0774","0.0306"
"2.4500","0.0789","0.0187"
"2.5000","0.0807","0.0415"
"2.5500","0.0822","0.0360"
"2.6000","0.0838","0.0435"
"2.6500","0.0858","0.0393"
"2.7000","0.0873","0.0323"
"2.7500","0.0891","0.0515"
"2.8000","0.0906","0.0480"
"2.8500","0.0924","0.0420"
"2.9000","0.0938","0.0284"
