
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","-0.0153"
"0.0500","0.0001","-0.0086"
"0.1000","0.0008","0.0081"
"0.1500","0.0011","0.0227"
"0.2000","0.0029","0.0256"
"0.2500","0.0054","0.0285"
"0.3000","0.0076","0.0289"
"0.3500","0.0092","0.0345"
"0.4000","0.0111","0.0342"
"0.4500","0.0127","0.0323"
"0.5000","0.0145","0.0282"
"0.5500","0.0158","0.0232"
"0.6000","0.0176","0.0326"
"0.6500","0.0195","0.0418"
"0.7000","0.0209","0.0396"
"0.7500","0.0228","0.0353"
"0.8000","0.0244","0.0360"
"0.8500","0.0262","0.0259"
"0.9000","0.0275","0.0247"
"0.9500","0.0294","0.0301"
"1.0000","0.0311","0.0257"
"1.0500","0.0326","0.0279"
"1.1000","0.0344","0.0326"
"1.1500","0.0361","0.0200"
"1.2000","0.0379","0.0373"
"1.2500","0.0391","0.0592"
"1.3000","0.0411","0.0348"
"1.3500","0.0428","0.0390"
"1.4000","0.0444","0.0413"
"1.4500","0.0461","0.0327"
"1.5000","0.0477","0.0448"
"1.5500","0.0495","0.0418"
"1.6000","0.0508","0.0372"
"1.6500","0.0528","0.0362"
"1.7000","0.0544","0.0357"
"1.7500","0.0561","0.0535"
"1.8000","0.0577","0.0489"
"1.8500","0.0593","0.0429"
"1.9000","0.0610","0.0497"
"1.9500","0.0624","0.0451"
"2.0000","0.0645","0.0575"
"2.0500","0.0660","0.0398"
"2.1000","0.0677","0.0430"
"2.1500","0.0693","0.0253"
"2.2000","0.0711","0.0380"
"2.2500","0.0727","0.0422"
"2.3000","0.0742","0.0492"
"2.3500","0.0762","0.0368"
"2.4000","0.0777","0.0578"
"2.4500","0.0794","0.0683"
"2.5000","0.0810","0.0543"
"2.5500","0.0828","0.0553"
"2.6000","0.0843","0.0749"
"2.6500","0.0859","0.0699"
"2.7000","0.0879","0.0746"
"2.7500","0.0893","0.0671"
"2.8000","0.0912","0.0604"
"2.8500","0.0927","0.0573"
"2.9000","0.0945","0.0697"
"2.9500","0.0959","0.0442"
"3.0000","0.0976","0.0680"
"3.0500","0.0995","0.0681"
"3.1000","0.1010","0.0638"
"3.1500","0.1029","0.0643"
"3.2000","0.1043","0.0510"
"3.2500","0.1061","0.0639"
"3.3000","0.1075","0.0729"
"3.3500","0.1093","0.0668"
"3.4000","0.1112","0.0553"
"3.4500","0.1127","0.0788"
"3.5000","0.1145","0.0891"
"3.5500","0.1160","0.0599"
"3.6000","0.1178","0.0756"
"3.6500","0.1191","0.0818"
"3.7000","0.1210","0.0620"
"3.7500","0.1228","0.0761"
"3.8000","0.1243","0.0745"
"3.8500","0.1261","0.0876"
"3.9000","0.1277","0.0658"
"3.9500","0.1295","0.0729"
"4.0000","0.1308","0.0954"
"4.0500","0.1327","0.0814"
"4.1000","0.1344","0.0629"
"4.1500","0.1361","0.0633"
"4.2000","0.1378","0.0582"
"4.2500","0.1394","0.0573"
"4.3000","0.1411","0.0846"
"4.3500","0.1425","0.0765"
"4.4000","0.1445","0.0657"
