
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","1.2095"
"0.1000","0.0008","1.7142"
"0.2000","0.0025","3.1447"
"0.3000","0.0072","7.1203"
"0.4000","0.0105","9.8848"
"0.5000","0.0142","12.9492"
"0.6000","0.0176","15.7182"
"0.7000","0.0209","18.4197"
"0.8000","0.0242","21.0985"
"0.9000","0.0275","23.7873"
"1.0000","0.0308","26.4270"
"1.1000","0.0339","28.8794"
"1.2000","0.0374","31.6205"
"1.3000","0.0409","34.2957"
"1.4000","0.0442","36.7548"
"1.5000","0.0476","39.2226"
"1.6000","0.0508","41.4422"
"1.7000","0.0543","43.6667"
"1.8000","0.0572","45.5765"
"1.9000","0.0607","47.1855"
"2.0000","0.0642","48.1722"
"2.1000","0.0674","48.9350"
"2.2000","0.0710","49.7846"
"2.3000","0.0743","50.3763"
"2.4000","0.0776","51.0254"
"2.5000","0.0807","51.7240"
"2.6000","0.0840","52.5002"
"2.7000","0.0875","53.5696"
"2.8000","0.0906","54.4644"
"2.9000","0.0943","55.7979"
"3.0000","0.0976","57.2757"
"3.1000","0.1010","58.6902"
"3.2000","0.1041","60.1331"
"3.3000","0.1075","61.2089"
"3.4000","0.1107","61.8998"
"3.5000","0.1138","62.4216"
"3.6000","0.1175","62.9234"
"3.7000","0.1209","63.3004"
"3.8000","0.1242","63.8814"
"3.9000","0.1276","64.3790"
"4.0000","0.1308","65.0274"
"4.1000","0.1342","65.8695"
"4.2000","0.1372","67.2636"
"4.3000","0.1408","68.5988"
"4.4000","0.1441","70.1069"
"4.5000","0.1475","72.0151"
"4.6000","0.1510","74.0617"
"4.7000","0.1543","76.1277"
"4.8000","0.1576","78.2798"
"4.9000","0.1607","80.2897"
"5.0000","0.1641","82.5110"
"5.1000","0.1675","84.8589"
"5.2000","0.1706","87.0071"
"5.3000","0.1743","89.5510"
"5.4000","0.1776","91.8818"
"5.5000","0.1809","94.2292"
"5.6000","0.1841","96.4278"
"5.7000","0.1874","98.7887"
"5.8000","0.1908","101.1385"
"5.9000","0.1939","103.3255"
"6.0000","0.1976","105.9777"
"6.1000","0.2009","108.3304"
