
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","0.0249"
"0.0500","0.0001","0.0151"
"0.1000","0.0006","0.0241"
"0.1500","0.0010","0.0142"
"0.2000","0.0019","0.0204"
"0.2500","0.0048","0.0158"
"0.3000","0.0071","0.0344"
"0.3500","0.0089","0.0108"
"0.4000","0.0105","0.0269"
"0.4500","0.0124","0.0414"
"0.5000","0.0137","0.0160"
"0.5500","0.0155","0.0230"
"0.6000","0.0174","0.0275"
"0.6500","0.0188","0.0184"
"0.7000","0.0207","0.0219"
"0.7500","0.0223","0.0245"
"0.8000","0.0241","0.0247"
"0.8500","0.0254","0.0402"
"0.9000","0.0273","0.0149"
"0.9500","0.0291","0.0373"
"1.0000","0.0305","0.0322"
"1.0500","0.0324","0.0198"
"1.1000","0.0340","0.0130"
"1.1500","0.0358","0.0431"
"1.2000","0.0370","0.0205"
"1.2500","0.0390","0.0332"
"1.3000","0.0407","0.0340"
"1.3500","0.0422","0.0163"
"1.4000","0.0440","0.0219"
"1.4500","0.0456","0.0208"
"1.5000","0.0474","0.0245"
"1.5500","0.0486","0.0363"
"1.6000","0.0507","0.0350"
"1.6500","0.0524","0.0336"
"1.7000","0.0540","0.0529"
"1.7500","0.0556","0.0179"
"1.8000","0.0572","0.0468"
"1.8500","0.0590","0.0310"
"1.9000","0.0603","0.0298"
"1.9500","0.0624","0.0308"
"2.0000","0.0640","0.0360"
"2.0500","0.0656","0.0322"
"2.1000","0.0672","0.0315"
"2.1500","0.0689","0.0350"
"2.2000","0.0706","0.0370"
"2.2500","0.0721","0.0489"
"2.3000","0.0741","0.0710"
"2.3500","0.0756","0.0413"
"2.4000","0.0773","0.0342"
"2.4500","0.0789","0.0341"
"2.5000","0.0808","0.0450"
"2.5500","0.0822","0.0243"
"2.6000","0.0837","0.0467"
"2.6500","0.0857","0.0254"
"2.7000","0.0872","0.0350"
"2.7500","0.0891","0.0320"
"2.8000","0.0906","0.0396"
"2.8500","0.0924","0.0384"
"2.9000","0.0938","0.0241"
"2.9500","0.0954","0.0284"
"3.0000","0.0975","0.0326"
"3.0500","0.0990","0.0316"
"3.1000","0.1008","0.0467"
"3.1500","0.1022","0.0373"
"3.2000","0.1040","0.0343"
"3.2500","0.1054","0.0502"
"3.3000","0.1072","0.0321"
"3.3500","0.1091","0.0368"
"3.4000","0.1105","0.0378"
"3.4500","0.1124","0.0361"
"3.5000","0.1139","0.0394"
"3.5500","0.1157","0.0269"
"3.6000","0.1171","0.0358"
"3.6500","0.1188","0.0290"
"3.7000","0.1206","0.0463"
"3.7500","0.1221","0.0397"
"3.8000","0.1240","0.0436"
"3.8500","0.1256","0.0510"
"3.9000","0.1274","0.0344"
"3.9500","0.1287","0.0217"
"4.0000","0.1306","0.0408"
"4.0500","0.1323","0.0422"
"4.1000","0.1340","0.0459"
"4.1500","0.1357","0.0318"
"4.2000","0.1372","0.0157"
"4.2500","0.1389","0.0376"
"4.3000","0.1403","0.0264"
"4.3500","0.1424","0.0522"
"4.4000","0.1440","0.0484"
"4.4500","0.1456","0.0354"
"4.5000","0.1473","0.0446"
"4.5500","0.1489","0.0325"
"4.6000","0.1507","0.0355"
"4.6500","0.1521","0.0174"
"4.7000","0.1540","0.0280"
"4.7500","0.1556","0.0244"
"4.8000","0.1572","0.0212"
"4.8500","0.1590","0.0559"
"4.9000","0.1607","0.0488"
"4.9500","0.1623","0.0413"
"5.0000","0.1637","0.0350"
"5.0500","0.1657","0.0301"
"5.1000","0.1673","0.0354"
"5.1500","0.1690","0.0421"
"5.2000","0.1707","0.0474"
"5.2500","0.1723","0.0472"
