
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","0.0151"
"0.0500","0.0001","-0.0151"
"0.1000","0.0005","-0.0054"
"0.1500","0.0009","-0.0152"
"0.2000","0.0017","0.0048"
"0.2500","0.0045","-0.0072"
"0.3000","0.0069","-0.0088"
"0.3500","0.0087","-0.0011"
"0.4000","0.0101","0.0086"
"0.4500","0.0121","0.0221"
"0.5000","0.0137","0.0164"
"0.5500","0.0153","0.0018"
"0.6000","0.0171","-0.0081"
"0.6500","0.0187","0.0265"
"0.7000","0.0205","0.0006"
"0.7500","0.0218","0.0182"
"0.8000","0.0238","0.0144"
"0.8500","0.0254","0.0211"
"0.9000","0.0270","0.0123"
"0.9500","0.0287","0.0082"
"1.0000","0.0304","-0.0060"
"1.0500","0.0321","0.0303"
"1.1000","0.0335","0.0098"
"1.1500","0.0355","-0.0033"
"1.2000","0.0370","0.0258"
"1.2500","0.0388","0.0021"
"1.3000","0.0404","0.0075"
"1.3500","0.0421","-0.0120"
"1.4000","0.0437","0.0070"
"1.4500","0.0452","0.0258"
"1.5000","0.0472","0.0097"
"1.5500","0.0487","0.0232"
"1.6000","0.0505","-0.0077"
"1.6500","0.0520","0.0222"
"1.7000","0.0538","0.0111"
"1.7500","0.0553","0.0115"
"1.8000","0.0569","0.0153"
"1.8500","0.0589","0.0020"
"1.9000","0.0603","0.0073"
"1.9500","0.0621","0.0170"
"2.0000","0.0637","0.0251"
"2.0500","0.0655","0.0163"
"2.1000","0.0669","0.0229"
"2.1500","0.0686","0.0018"
"2.2000","0.0705","0.0164"
"2.2500","0.0720","0.0263"
"2.3000","0.0738","0.0301"
"2.3500","0.0753","0.0268"
"2.4000","0.0772","0.0285"
"2.4500","0.0785","0.0335"
"2.5000","0.0803","0.0397"
"2.5500","0.0821","0.0320"
"2.6000","0.0837","0.0562"
"2.6500","0.0855","0.0312"
"2.7000","0.0870","0.0480"
"2.7500","0.0888","0.0518"
"2.8000","0.0901","0.0516"
"2.8500","0.0921","0.0267"
"2.9000","0.0938","0.0474"
"2.9500","0.0953","0.0375"
"3.0000","0.0971","0.0476"
"3.0500","0.0987","0.0564"
"3.1000","0.1005","0.0547"
"3.1500","0.1018","0.0485"
"3.2000","0.1037","0.0530"
"3.2500","0.1055","0.0517"
"3.3000","0.1070","0.0535"
"3.3500","0.1088","0.0384"
"3.4000","0.1104","0.0632"
"3.4500","0.1121","0.0640"
"3.5000","0.1135","0.0469"
"3.5500","0.1154","0.0708"
"3.6000","0.1171","0.0545"
"3.6500","0.1188","0.0696"
"3.7000","0.1204","0.0570"
"3.7500","0.1220","0.0381"
"3.8000","0.1237","0.0649"
