
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","0.0088"
"0.0500","0.0001","-0.0005"
"0.1000","0.0008","0.0002"
"0.1500","0.0010","-0.0041"
"0.2000","0.0025","0.0120"
"0.2500","0.0053","0.0000"
"0.3000","0.0075","0.0126"
"0.3500","0.0092","0.0057"
"0.4000","0.0109","0.0006"
"0.4500","0.0126","0.0155"
"0.5000","0.0144","0.0193"
"0.5500","0.0159","-0.0067"
"0.6000","0.0174","-0.0013"
"0.6500","0.0194","0.0079"
"0.7000","0.0209","0.0371"
"0.7500","0.0227","0.0331"
"0.8000","0.0242","0.0078"
"0.8500","0.0260","0.0292"
"0.9000","0.0275","0.0011"
"0.9500","0.0291","0.0025"
"1.0000","0.0311","0.0175"
"1.0500","0.0326","0.0161"
"1.1000","0.0344","0.0240"
"1.1500","0.0359","0.0212"
"1.2000","0.0377","0.0184"
"1.2500","0.0391","0.0187"
"1.3000","0.0408","0.0172"
"1.3500","0.0428","0.0056"
"1.4000","0.0442","0.0394"
"1.4500","0.0460","0.0172"
"1.5000","0.0476","0.0181"
"1.5500","0.0494","0.0184"
"1.6000","0.0507","0.0314"
"1.6500","0.0525","0.0609"
"1.7000","0.0543","0.0335"
"1.7500","0.0558","0.0346"
"1.8000","0.0577","0.0201"
"1.8500","0.0593","0.0206"
"1.9000","0.0610","0.0232"
"1.9500","0.0624","0.0382"
"2.0000","0.0642","0.0223"
"2.0500","0.0660","0.0320"
"2.1000","0.0676","0.0273"
"2.1500","0.0694","0.0361"
"2.2000","0.0709","0.0380"
"2.2500","0.0727","0.0403"
"2.3000","0.0740","0.0241"
"2.3500","0.0760","0.0354"
"2.4000","0.0777","0.0319"
"2.4500","0.0792","0.0299"
"2.5000","0.0810","0.0257"
"2.5500","0.0826","0.0413"
"2.6000","0.0843","0.0400"
"2.6500","0.0857","0.0135"
"2.7000","0.0877","0.0374"
"2.7500","0.0893","0.0178"
"2.8000","0.0909","0.0344"
"2.8500","0.0927","0.0406"
"2.9000","0.0944","0.0458"
"2.9500","0.0960","0.0367"
"3.0000","0.0973","0.0516"
"3.0500","0.0993","0.0427"
"3.1000","0.1010","0.0390"
"3.1500","0.1027","0.0439"
"3.2000","0.1043","0.0322"
"3.2500","0.1059","0.0529"
"3.3000","0.1076","0.0421"
"3.3500","0.1090","0.0447"
"3.4000","0.1111","0.0433"
"3.4500","0.1126","0.0316"
"3.5000","0.1143","0.0370"
"3.5500","0.1159","0.0421"
"3.6000","0.1177","0.0400"
"3.6500","0.1192","0.0493"
"3.7000","0.1208","0.0410"
"3.7500","0.1227","0.0546"
"3.8000","0.1242","0.0432"
"3.8500","0.1260","0.0446"
"3.9000","0.1276","0.0429"
"3.9500","0.1294","0.0596"
"4.0000","0.1309","0.0581"
"4.0500","0.1324","0.0561"
"4.1000","0.1344","0.0374"
"4.1500","0.1359","0.0547"
"4.2000","0.1377","0.0589"
"4.2500","0.1393","0.0487"
"4.3000","0.1410","0.0323"
"4.3500","0.1425","0.0537"
"4.4000","0.1441","0.0414"
"4.4500","0.1461","0.0476"
"4.5000","0.1476","0.0535"
"4.5500","0.1494","0.0338"
"4.6000","0.1509","0.0659"
"4.6500","0.1527","0.0620"
"4.7000","0.1541","0.0463"
"4.7500","0.1559","0.0474"
"4.8000","0.1577","0.0433"
"4.8500","0.1591","0.0449"
"4.9000","0.1610","0.0382"
"4.9500","0.1626","0.0351"
"5.0000","0.1644","0.0472"
"5.0500","0.1657","0.0461"
"5.1000","0.1675","0.0439"
"5.1500","0.1694","0.0246"
"5.2000","0.1708","0.0520"
"5.2500","0.1727","0.0384"
"5.3000","0.1743","0.0327"
"5.3500","0.1761","0.0543"
"5.4000","0.1773","0.0518"
"5.4500","0.1792","0.0617"
"5.5000","0.1810","0.0435"
"5.5500","0.1825","0.0481"
"5.6000","0.1843","0.0404"
"5.6500","0.1859","0.0575"
"5.7000","0.1877","0.0547"
"5.7500","0.1890","0.0433"
"5.8000","0.1910","0.0544"
"5.8500","0.1926","0.0390"
"5.9000","0.1942","0.0550"
"5.9500","0.1960","0.0501"
"6.0000","0.1977","0.0425"
"6.0500","0.1993","0.0522"
"6.1000","0.2007","0.0401"
"6.1500","0.2027","0.0429"
"6.2000","0.2043","0.0517"
"6.2500","0.2059","0.0375"
"6.3000","0.2076","0.0376"
"6.3500","0.2094","0.0469"
"6.4000","0.2110","0.0535"
"6.4500","0.2123","0.0500"
"6.5000","0.2144","0.0536"
"6.5500","0.2160","0.0551"
"6.6000","0.2177","0.0406"
"6.6500","0.2192","0.0353"
"6.7000","0.2210","0.0574"
"6.7500","0.2226","0.0515"
"6.8000","0.2240","0.0532"
"6.8500","0.2261","0.0617"
"6.9000","0.2276","0.0530"
"6.9500","0.2294","0.0582"
"7.0000","0.2309","0.0555"
"7.0500","0.2326","0.0635"
"7.1000","0.2342","0.0498"
"7.1500","0.2357","0.0549"
"7.2000","0.2378","0.0508"
"7.2500","0.2392","0.0491"
"7.3000","0.2410","0.0381"
"7.3500","0.2425","0.0565"
"7.4000","0.2444","0.0569"
"7.4500","0.2458","0.0563"
"7.5000","0.2475","0.0702"
"7.5500","0.2495","0.0705"
"7.6000","0.2509","0.0759"
"7.6500","0.2527","0.0498"
"7.7000","0.2542","0.0623"
"7.7500","0.2561","0.0742"
"7.8000","0.2574","0.0507"
"7.8500","0.2592","0.0792"
"7.9000","0.2610","0.0826"
"7.9500","0.2626","0.0621"
"8.0000","0.2644","0.0624"
"8.0500","0.2659","0.0686"
"8.1000","0.2677","0.0591"
"8.1500","0.2690","0.0610"
"8.2000","0.2709","0.0700"
"8.2500","0.2727","0.0577"
"8.3000","0.2743","0.0595"
"8.3500","0.2760","0.0771"
