
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","0.0696"
"0.1000","0.0006","0.4918"
"0.2000","0.0019","2.0655"
"0.3000","0.0072","8.0961"
"0.4000","0.0105","11.7767"
"0.5000","0.0139","15.1736"
"0.6000","0.0175","18.5400"
"0.7000","0.0207","21.7303"
"0.8000","0.0241","24.6891"
"0.9000","0.0271","27.3514"
"1.0000","0.0306","30.1881"
"1.1000","0.0338","32.6237"
"1.2000","0.0371","34.9751"
"1.3000","0.0408","37.8360"
"1.4000","0.0440","39.9373"
"1.5000","0.0474","41.5904"
"1.6000","0.0506","43.4079"
"1.7000","0.0539","45.0333"
"1.8000","0.0573","46.9918"
"1.9000","0.0603","48.3277"
"2.0000","0.0640","49.8243"
"2.1000","0.0674","51.8821"
"2.2000","0.0707","53.1867"
"2.3000","0.0740","55.1705"
"2.4000","0.0773","56.4744"
"2.5000","0.0806","59.3828"
"2.6000","0.0837","62.3383"
"2.7000","0.0872","65.8230"
"2.8000","0.0907","69.1187"
"2.9000","0.0939","72.1523"
"3.0000","0.0974","75.5253"
"3.1000","0.1006","78.5742"
"3.2000","0.1040","81.7376"
"3.3000","0.1070","84.4801"
"3.4000","0.1106","87.6986"
"3.5000","0.1139","90.7275"
"3.6000","0.1171","93.0849"
"3.7000","0.1208","94.8575"
"3.8000","0.1240","96.2075"
"3.9000","0.1274","97.3793"
"4.0000","0.1305","98.4435"
"4.1000","0.1338","99.4338"
"4.2000","0.1373","100.9084"
"4.3000","0.1404","102.4784"
"4.4000","0.1441","104.7617"
"4.5000","0.1474","106.8225"
"4.6000","0.1507","108.9553"
"4.7000","0.1539","111.0971"
"4.8000","0.1572","113.2596"
"4.9000","0.1606","115.7159"
"5.0000","0.1637","117.9128"
"5.1000","0.1673","120.5285"
"5.2000","0.1706","122.9494"
"5.3000","0.1740","125.3327"
"5.4000","0.1773","127.6915"
"5.5000","0.1806","129.8822"
"5.6000","0.1839","132.7032"
"5.7000","0.1870","135.2933"
"5.8000","0.1906","138.4531"
"5.9000","0.1940","141.3605"
"6.0000","0.1973","144.2196"
"6.1000","0.2007","147.1867"
"6.2000","0.2039","149.8864"
"6.3000","0.2074","152.8150"
"6.4000","0.2104","155.2592"
"6.5000","0.2139","158.2313"
"6.6000","0.2173","161.1044"
"6.7000","0.2205","163.7238"
"6.8000","0.2241","166.7549"
"6.9000","0.2273","169.2734"
"7.0000","0.2307","172.0388"
"7.1000","0.2338","174.4817"
"7.2000","0.2371","177.1013"
"7.3000","0.2406","179.9426"
"7.4000","0.2437","182.3793"
"7.5000","0.2474","185.4017"
"7.6000","0.2507","188.0337"
"7.7000","0.2541","190.7624"
"7.8000","0.2573","193.2277"
"7.9000","0.2606","195.7837"
"8.0000","0.2639","198.3816"
"8.1000","0.2670","200.8081"
"8.2000","0.2707","203.8090"
"8.3000","0.2740","206.3945"
"8.4000","0.2774","209.0529"
"8.5000","0.2807","211.7104"
"8.6000","0.2839","214.1947"
"8.7000","0.2873","216.8828"
"8.8000","0.2903","219.1848"
"8.9000","0.2940","222.2397"
"9.0000","0.2973","224.8330"
"9.1000","0.3006","227.5149"
"9.2000","0.3041","230.3871"
"9.3000","0.3074","233.0105"
"9.4000","0.3107","235.6555"
"9.5000","0.3138","238.0799"
"9.6000","0.3172","240.8752"
"9.7000","0.3206","243.6208"
"9.8000","0.3238","246.1319"
"9.9000","0.3274","249.1671"
"10.0000","0.3307","251.7611"
"10.1000","0.3340","254.4402"
"10.2000","0.3371","256.8786"
"10.3000","0.3405","259.5649"
"10.4000","0.3439","262.3072"
"10.5000","0.3470","264.7256"
"10.6000","0.3507","267.7457"
"10.7000","0.3540","270.4203"
"10.8000","0.3573","273.0317"
"10.9000","0.3607","275.7274"
"11.0000","0.3639","278.2548"
"11.1000","0.3673","280.9495"
"11.2000","0.3704","283.3240"
"11.3000","0.3740","286.2906"
"11.4000","0.3773","288.9883"
"11.5000","0.3807","291.6333"
"11.6000","0.3840","294.3280"
"11.7000","0.3874","297.0063"
"11.8000","0.3906","299.5812"
"11.9000","0.3937","301.9468"
"12.0000","0.3972","304.8361"
"12.1000","0.4006","307.4885"
"12.2000","0.4039","310.0724"
"12.3000","0.4074","312.9174"
"12.4000","0.4106","315.4789"
"12.5000","0.4141","318.2327"
"12.6000","0.4171","320.5238"
"12.7000","0.4206","323.3611"
"12.8000","0.4239","326.0127"
"12.9000","0.4271","328.5034"
"13.0000","0.4307","331.4253"
"13.1000","0.4340","334.0052"
"13.2000","0.4374","336.6794"
"13.3000","0.4405","339.0628"
"13.4000","0.4438","341.6213"
"13.5000","0.4473","344.4444"
"13.6000","0.4504","346.7806"
"13.7000","0.4541","349.7141"
"13.8000","0.4573","352.2670"
"13.9000","0.4607","354.9187"
"14.0000","0.4639","357.3310"
"14.1000","0.4672","359.8468"
"14.2000","0.4706","362.5486"
"14.3000","0.4737","364.8773"
"14.4000","0.4773","367.7520"
"14.5000","0.4807","370.4112"
"14.6000","0.4840","372.9406"
"14.7000","0.4874","375.5589"
"14.8000","0.4906","377.9529"
"14.9000","0.4940","380.6574"
