
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","-0.0122"
"0.0500","0.0001","0.0095"
"0.1000","0.0008","-0.0143"
"0.1500","0.0010","-0.0051"
"0.2000","0.0026","-0.0039"
"0.2500","0.0056","0.0030"
"0.3000","0.0076","0.0006"
"0.3500","0.0090","0.0236"
"0.4000","0.0111","0.0091"
"0.4500","0.0126","0.0057"
"0.5000","0.0144","0.0135"
"0.5500","0.0160","0.0226"
"0.6000","0.0177","0.0219"
"0.6500","0.0193","0.0000"
"0.7000","0.0208","-0.0062"
"0.7500","0.0228","0.0008"
"0.8000","0.0243","0.0096"
"0.8500","0.0261","0.0222"
"0.9000","0.0277","0.0167"
"0.9500","0.0294","0.0214"
"1.0000","0.0309","0.0201"
"1.0500","0.0325","0.0130"
"1.1000","0.0345","0.0154"
"1.1500","0.0360","-0.0004"
"1.2000","0.0378","0.0094"
"1.2500","0.0393","-0.0042"
"1.3000","0.0411","0.0013"
"1.3500","0.0425","0.0154"
"1.4000","0.0441","-0.0175"
"1.4500","0.0461","0.0031"
"1.5000","0.0476","-0.0156"
"1.5500","0.0494","0.0050"
"1.6000","0.0509","0.0089"
"1.6500","0.0527","0.0023"
"1.7000","0.0542","0.0139"
"1.7500","0.0559","0.0200"
"1.8000","0.0578","0.0163"
"1.8500","0.0592","-0.0096"
"1.9000","0.0611","0.0142"
"1.9500","0.0626","0.0075"
"2.0000","0.0644","-0.0046"
"2.0500","0.0658","0.0121"
"2.1000","0.0676","0.0249"
"2.1500","0.0694","0.0212"
"2.2000","0.0709","0.0030"
"2.2500","0.0728","-0.0067"
"2.3000","0.0743","0.0090"
"2.3500","0.0761","0.0077"
"2.4000","0.0774","0.0132"
"2.4500","0.0793","0.0132"
"2.5000","0.0811","0.0157"
"2.5500","0.0827","0.0052"
"2.6000","0.0844","0.0092"
"2.6500","0.0860","0.0063"
"2.7000","0.0877","0.0094"
"2.7500","0.0891","0.0024"
"2.8000","0.0910","0.0032"
"2.8500","0.0927","0.0104"
"2.9000","0.0943","0.0046"
"2.9500","0.0961","-0.0114"
"3.0000","0.0976","0.0318"
"3.0500","0.0994","0.0234"
"3.1000","0.1008","0.0264"
"3.1500","0.1028","-0.0088"
"3.2000","0.1043","-0.0031"
"3.2500","0.1060","0.0044"
"3.3000","0.1078","0.0004"
"3.3500","0.1094","-0.0138"
"3.4000","0.1110","0.0004"
"3.4500","0.1124","-0.0152"
