
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","-0.0316"
"0.0500","0.0000","0.0047"
"0.1000","0.0005","-0.0040"
"0.1500","0.0012","0.0167"
"0.2000","0.0020","0.0242"
"0.2500","0.0044","0.0230"
"0.3000","0.0066","0.0492"
"0.3500","0.0084","0.0124"
"0.4000","0.0103","0.0195"
"0.4500","0.0120","0.0270"
"0.5000","0.0136","0.0270"
"0.5500","0.0155","-0.0070"
"0.6000","0.0170","0.0115"
"0.6500","0.0187","0.0294"
"0.7000","0.0201","0.0247"
"0.7500","0.0221","0.0225"
"0.8000","0.0237","0.0214"
"0.8500","0.0254","0.0352"
"0.9000","0.0271","0.0385"
"0.9500","0.0287","0.0289"
"1.0000","0.0304","0.0249"
"1.0500","0.0318","0.0311"
"1.1000","0.0338","0.0179"
"1.1500","0.0354","0.0465"
"1.2000","0.0371","0.0063"
"1.2500","0.0388","0.0142"
"1.3000","0.0404","0.0439"
"1.3500","0.0420","0.0250"
"1.4000","0.0434","0.0489"
"1.4500","0.0455","0.0195"
"1.5000","0.0471","0.0246"
"1.5500","0.0488","0.0198"
"1.6000","0.0504","0.0369"
"1.6500","0.0520","0.0646"
"1.7000","0.0537","0.0330"
"1.7500","0.0551","0.0023"
"1.8000","0.0572","0.0395"
"1.8500","0.0587","0.0281"
"1.9000","0.0604","0.0278"
"1.9500","0.0620","0.0248"
"2.0000","0.0638","0.0306"
"2.0500","0.0653","0.0309"
"2.1000","0.0668","0.0283"
"2.1500","0.0688","0.0321"
"2.2000","0.0703","0.0060"
"2.2500","0.0721","0.0329"
"2.3000","0.0737","0.0269"
"2.3500","0.0755","0.0303"
"2.4000","0.0769","0.0156"
"2.4500","0.0785","0.0552"
"2.5000","0.0805","0.0342"
"2.5500","0.0820","0.0248"
"2.6000","0.0838","0.0242"
"2.6500","0.0854","0.0208"
"2.7000","0.0871","0.0359"
"2.7500","0.0886","0.0486"
"2.8000","0.0902","0.0398"
"2.8500","0.0922","0.0383"
"2.9000","0.0936","0.0382"
"2.9500","0.0955","0.0364"
"3.0000","0.0970","0.0254"
"3.0500","0.0988","0.0420"
"3.1000","0.1002","0.0714"
"3.1500","0.1020","0.0494"
"3.2000","0.1038","0.0667"
"3.2500","0.1052","0.0326"
"3.3000","0.1072","0.0565"
"3.3500","0.1087","0.0705"
"3.4000","0.1105","0.0385"
"3.4500","0.1118","0.0458"
"3.5000","0.1137","0.0383"
"3.5500","0.1155","0.0726"
"3.6000","0.1169","0.0793"
"3.6500","0.1188","0.0697"
