
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","0.0169"
"0.1000","0.0005","0.0074"
"0.2000","0.0019","0.0336"
"0.3000","0.0070","0.0278"
"0.4000","0.0104","0.0224"
"0.5000","0.0138","0.0190"
"0.6000","0.0172","0.0240"
"0.7000","0.0204","0.0265"
"0.8000","0.0237","0.0099"
"0.9000","0.0268","0.0314"
"1.0000","0.0304","0.0284"
"1.1000","0.0337","0.0308"
"1.2000","0.0370","0.0193"
"1.3000","0.0405","0.0333"
"1.4000","0.0439","0.0484"
"1.5000","0.0471","0.0362"
"1.6000","0.0503","0.0404"
"1.7000","0.0537","0.0362"
"1.8000","0.0570","0.0331"
"1.9000","0.0602","0.0490"
"2.0000","0.0638","0.0437"
"2.1000","0.0672","0.0397"
"2.2000","0.0705","0.0439"
"2.3000","0.0736","0.0520"
"2.4000","0.0770","0.0581"
"2.5000","0.0804","0.0679"
"2.6000","0.0835","0.0736"
"2.7000","0.0871","0.0586"
"2.8000","0.0905","0.0574"
"2.9000","0.0938","0.0464"
"3.0000","0.0972","0.0698"
"3.1000","0.1004","0.0856"
"3.2000","0.1037","0.0761"
"3.3000","0.1069","0.0965"
"3.4000","0.1104","0.0763"
"3.5000","0.1138","0.0807"
"3.6000","0.1171","0.0755"
"3.7000","0.1205","0.0828"
"3.8000","0.1238","0.0746"
"3.9000","0.1271","0.0773"
"4.0000","0.1301","0.0863"
"4.1000","0.1337","0.1026"
"4.2000","0.1370","0.0987"
"4.3000","0.1403","0.0912"
"4.4000","0.1439","0.0819"
"4.5000","0.1471","0.1052"
"4.6000","0.1505","0.0906"
"4.7000","0.1536","0.0888"
"4.8000","0.1570","0.0917"
"4.9000","0.1604","0.0924"
"5.0000","0.1636","0.0997"
"5.1000","0.1672","0.0839"
"5.2000","0.1705","0.0796"
"5.3000","0.1738","0.0989"
"5.4000","0.1770","0.1086"
"5.5000","0.1803","0.1051"
"5.6000","0.1837","0.0844"
"5.7000","0.1869","0.0708"
"5.8000","0.1904","0.0946"
"5.9000","0.1938","0.1017"
"6.0000","0.1972","0.1037"
"6.1000","0.2004","0.1190"
"6.2000","0.2036","0.0943"
"6.3000","0.2070","0.0965"
"6.4000","0.2101","0.1053"
"6.5000","0.2138","0.1162"
"6.6000","0.2172","0.0932"
"6.7000","0.2204","0.1245"
"6.8000","0.2239","0.1087"
"6.9000","0.2270","0.0809"
"7.0000","0.2305","0.1095"
"7.1000","0.2335","0.1146"
"7.2000","0.2370","0.1015"
"7.3000","0.2404","0.1183"
"7.4000","0.2437","0.1222"
"7.5000","0.2472","0.1256"
"7.6000","0.2505","0.1092"
"7.7000","0.2538","0.1067"
"7.8000","0.2569","0.1013"
"7.9000","0.2603","0.1142"
"8.0000","0.2636","0.1090"
"8.1000","0.2670","0.1045"
"8.2000","0.2706","0.1046"
"8.3000","0.2738","0.1209"
"8.4000","0.2772","0.1146"
"8.5000","0.2804","0.0958"
"8.6000","0.2837","0.1323"
"8.7000","0.2870","0.1121"
"8.8000","0.2902","0.1033"
"8.9000","0.2938","0.1120"
"9.0000","0.2972","0.1164"
"9.1000","0.3004","0.1302"
"9.2000","0.3038","0.1161"
"9.3000","0.3070","0.1204"
"9.4000","0.3104","0.1103"
"9.5000","0.3135","0.1305"
"9.6000","0.3170","0.1354"
"9.7000","0.3205","0.1341"
"9.8000","0.3237","0.1094"
"9.9000","0.3272","0.1283"
"10.0000","0.3305","0.1302"
"10.1000","0.3338","0.1369"
"10.2000","0.3369","0.1361"
"10.3000","0.3403","0.1315"
"10.4000","0.3437","0.2097"
"10.5000","0.3470","0.2902"
"10.6000","0.3505","0.3441"
"10.7000","0.3538","0.4030"
"10.8000","0.3572","0.2248"
"10.9000","0.3602","0.3159"
"11.0000","0.3637","0.2274"
"11.1000","0.3670","0.3051"
"11.2000","0.3702","0.2567"
"11.3000","0.3738","0.3422"
"11.4000","0.3771","0.3630"
"11.5000","0.3805","0.3151"
"11.6000","0.3837","0.4434"
"11.7000","0.3870","0.5253"
"11.8000","0.3903","0.7202"
"11.9000","0.3935","0.8644"
"12.0000","0.3971","1.0970"
"12.1000","0.4005","1.2933"
"12.2000","0.4038","1.5124"
"12.3000","0.4071","1.7468"
"12.4000","0.4103","1.9197"
"12.5000","0.4137","2.1511"
"12.6000","0.4168","2.3428"
"12.7000","0.4203","2.4835"
"12.8000","0.4239","2.5579"
"12.9000","0.4271","2.5673"
"13.0000","0.4305","2.5847"
"13.1000","0.4337","2.5873"
"13.2000","0.4371","2.6031"
"13.3000","0.4402","2.5989"
"13.4000","0.4437","2.6001"
"13.5000","0.4471","2.6214"
"13.6000","0.4504","2.6261"
"13.7000","0.4539","2.5920"
"13.8000","0.4571","2.6343"
"13.9000","0.4605","2.6337"
"14.0000","0.4636","2.6315"
"14.1000","0.4670","2.6559"
"14.2000","0.4704","2.6565"
"14.3000","0.4736","2.6465"
"14.4000","0.4772","2.6488"
"14.5000","0.4805","2.6554"
"14.6000","0.4839","2.6574"
"14.7000","0.4870","2.6638"
"14.8000","0.4904","2.6535"
"14.9000","0.4936","2.6516"
"15.0000","0.4968","2.6667"
"15.1000","0.5004","2.6751"
"15.2000","0.5038","2.6876"
"15.3000","0.5072","2.7369"
"15.4000","0.5105","2.8067"
"15.5000","0.5137","2.8532"
"15.6000","0.5170","2.9434"
"15.7000","0.5202","3.1201"
"15.8000","0.5237","3.2864"
"15.9000","0.5271","3.3497"
"16.0000","0.5304","3.3450"
"16.1000","0.5339","3.3396"
"16.2000","0.5372","3.3596"
"16.3000","0.5405","3.3799"
"16.4000","0.5435","3.4021"
"16.5000","0.5470","3.4981"
"16.6000","0.5504","3.5172"
"16.7000","0.5536","3.5321"
"16.8000","0.5572","3.5165"
"16.9000","0.5605","3.5246"
"17.0000","0.5638","3.5028"
"17.1000","0.5669","3.5184"
"17.2000","0.5703","3.5294"
"17.3000","0.5737","3.5349"
"17.4000","0.5769","3.5378"
"17.5000","0.5805","3.5364"
"17.6000","0.5838","3.5581"
"17.7000","0.5872","3.5396"
"17.8000","0.5904","3.5566"
"17.9000","0.5937","3.5320"
"18.0000","0.5971","3.5510"
"18.1000","0.6001","3.5523"
"18.2000","0.6038","3.5432"
"18.3000","0.6072","3.5468"
"18.4000","0.6104","3.5389"
"18.5000","0.6138","3.5341"
"18.6000","0.6170","3.5559"
"18.7000","0.6204","3.5594"
"18.8000","0.6235","3.5445"
"18.9000","0.6270","3.5381"
"19.0000","0.6304","3.5590"
"19.1000","0.6338","3.5519"
"19.2000","0.6372","3.5526"
"19.3000","0.6405","3.5395"
"19.4000","0.6438","3.5489"
"19.5000","0.6468","3.5339"
"19.6000","0.6504","3.5361"
"19.7000","0.6537","3.5525"
"19.8000","0.6570","3.5541"
"19.9000","0.6605","3.5728"
"20.0000","0.6638","3.5630"
