
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","0.0066"
"0.0500","0.0001","-0.0238"
"0.1000","0.0005","0.0088"
"0.1500","0.0009","0.0035"
"0.2000","0.0018","0.0088"
"0.2500","0.0046","0.0153"
"0.3000","0.0071","0.0096"
"0.3500","0.0089","0.0185"
"0.4000","0.0105","0.0155"
"0.4500","0.0123","0.0113"
"0.5000","0.0137","0.0079"
"0.5500","0.0154","0.0074"
"0.6000","0.0174","0.0208"
"0.6500","0.0187","0.0161"
"0.7000","0.0206","0.0242"
"0.7500","0.0222","0.0206"
"0.8000","0.0240","0.0232"
"0.8500","0.0253","0.0050"
"0.9000","0.0272","0.0093"
"0.9500","0.0290","0.0124"
"1.0000","0.0304","0.0211"
"1.0500","0.0323","0.0328"
"1.1000","0.0339","0.0028"
"1.1500","0.0357","0.0054"
"1.2000","0.0370","0.0312"
"1.2500","0.0389","0.0134"
"1.3000","0.0406","-0.0060"
"1.3500","0.0421","-0.0096"
"1.4000","0.0439","0.0128"
"1.4500","0.0455","0.0116"
"1.5000","0.0473","0.0230"
"1.5500","0.0486","-0.0019"
"1.6000","0.0506","0.0249"
"1.6500","0.0523","-0.0011"
"1.7000","0.0539","0.0286"
"1.7500","0.0556","0.0158"
"1.8000","0.0571","0.0254"
"1.8500","0.0589","0.0175"
"1.9000","0.0602","0.0091"
"1.9500","0.0623","0.0141"
"2.0000","0.0639","0.0188"
"2.0500","0.0655","0.0113"
"2.1000","0.0672","0.0117"
"2.1500","0.0688","0.0142"
"2.2000","0.0706","0.0403"
"2.2500","0.0720","0.0154"
"2.3000","0.0740","0.0053"
"2.3500","0.0755","0.0103"
"2.4000","0.0772","0.0151"
"2.4500","0.0789","0.0181"
"2.5000","0.0807","0.0072"
"2.5500","0.0822","0.0050"
"2.6000","0.0836","0.0147"
"2.6500","0.0856","0.0381"
"2.7000","0.0871","0.0119"
"2.7500","0.0890","0.0008"
"2.8000","0.0906","0.0118"
"2.8500","0.0923","0.0252"
"2.9000","0.0937","-0.0028"
"2.9500","0.0953","0.0209"
"3.0000","0.0974","0.0040"
"3.0500","0.0989","-0.0016"
"3.1000","0.1007","0.0038"
"3.1500","0.1021","0.0119"
"3.2000","0.1039","0.0261"
"3.2500","0.1054","0.0219"
"3.3000","0.1071","0.0101"
"3.3500","0.1090","0.0023"
"3.4000","0.1104","0.0224"
"3.4500","0.1123","0.0144"
"3.5000","0.1138","0.0232"
"3.5500","0.1157","0.0190"
"3.6000","0.1170","-0.0069"
"3.6500","0.1188","0.0227"
"3.7000","0.1206","0.0257"
"3.7500","0.1221","0.0134"
"3.8000","0.1240","0.0311"
"3.8500","0.1256","0.0257"
"3.9000","0.1273","0.0202"
"3.9500","0.1286","0.0225"
"4.0000","0.1305","0.0444"
"4.0500","0.1323","0.0317"
"4.1000","0.1339","0.0362"
"4.1500","0.1357","0.0426"
"4.2000","0.1371","0.0268"
"4.2500","0.1389","0.0421"
"4.3000","0.1402","0.0295"
"4.3500","0.1423","0.0239"
"4.4000","0.1440","0.0363"
"4.4500","0.1455","0.0383"
"4.5000","0.1472","0.0144"
"4.5500","0.1488","0.0300"
"4.6000","0.1506","0.0382"
"4.6500","0.1520","0.0307"
"4.7000","0.1540","0.0538"
"4.7500","0.1555","0.0365"
"4.8000","0.1572","0.0416"
"4.8500","0.1589","0.0383"
"4.9000","0.1606","0.0390"
"4.9500","0.1622","0.0439"
"5.0000","0.1636","0.0358"
"5.0500","0.1656","0.0353"
"5.1000","0.1672","0.0453"
"5.1500","0.1690","0.0240"
"5.2000","0.1706","0.0323"
"5.2500","0.1722","0.0215"
"5.3000","0.1738","0.0495"
"5.3500","0.1752","0.0378"
"5.4000","0.1773","0.0287"
"5.4500","0.1788","0.0358"
"5.5000","0.1805","0.0454"
"5.5500","0.1822","0.0358"
"5.6000","0.1839","0.0557"
"5.6500","0.1855","0.0411"
"5.7000","0.1870","0.0354"
"5.7500","0.1890","0.0383"
"5.8000","0.1904","0.0325"
"5.8500","0.1922","0.0272"
"5.9000","0.1938","0.0410"
"5.9500","0.1957","0.0315"
