
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","0.2161"
"0.1000","0.0007","0.5476"
"0.2000","0.0026","1.7921"
"0.3000","0.0075","5.0243"
"0.4000","0.0109","7.2112"
"0.5000","0.0143","9.3680"
"0.6000","0.0176","11.4422"
"0.7000","0.0210","13.5217"
"0.8000","0.0240","15.3951"
"0.9000","0.0275","17.5326"
"1.0000","0.0309","19.4684"
"1.1000","0.0342","21.0851"
"1.2000","0.0378","23.0408"
"1.3000","0.0410","24.7284"
"1.4000","0.0444","26.4568"
"1.5000","0.0474","27.9286"
"1.6000","0.0509","29.5106"
"1.7000","0.0542","31.0077"
"1.8000","0.0574","32.3894"
"1.9000","0.0611","33.8510"
"2.0000","0.0644","35.1396"
"2.1000","0.0677","36.1363"
"2.2000","0.0709","37.2964"
"2.3000","0.0742","38.0613"
"2.4000","0.0775","39.0325"
"2.5000","0.0807","39.8004"
"2.6000","0.0843","40.5212"
"2.7000","0.0876","41.0543"
"2.8000","0.0910","41.3289"
"2.9000","0.0943","41.4674"
"3.0000","0.0976","41.5986"
"3.1000","0.1009","41.6881"
"3.2000","0.1040","41.7624"
"3.3000","0.1076","41.8879"
"3.4000","0.1110","42.2172"
"3.5000","0.1142","42.9311"
"3.6000","0.1177","44.2645"
"3.7000","0.1210","45.2342"
"3.8000","0.1243","46.2761"
"3.9000","0.1274","47.2477"
"4.0000","0.1308","48.0650"
"4.1000","0.1342","48.7135"
"4.2000","0.1375","50.1041"
"4.3000","0.1410","51.9520"
"4.4000","0.1444","53.5977"
"4.5000","0.1476","55.1954"
"4.6000","0.1509","56.7260"
"4.7000","0.1542","58.3782"
"4.8000","0.1575","60.0062"
"4.9000","0.1607","61.5690"
"5.0000","0.1644","63.3617"
"5.1000","0.1677","65.0289"
"5.2000","0.1710","66.6390"
"5.3000","0.1742","68.1884"
"5.4000","0.1776","69.8111"
"5.5000","0.1809","71.4117"
"5.6000","0.1840","72.9094"
"5.7000","0.1877","74.6702"
"5.8000","0.1910","76.2582"
"5.9000","0.1943","77.8328"
"6.0000","0.1976","79.4691"
"6.1000","0.2009","80.9806"
"6.2000","0.2043","82.5977"
"6.3000","0.2073","84.0424"
"6.4000","0.2110","85.8030"
"6.5000","0.2143","87.3604"
"6.6000","0.2176","88.9960"
"6.7000","0.2210","90.6852"
"6.8000","0.2243","92.3176"
"6.9000","0.2276","94.0309"
"7.0000","0.2308","95.6765"
"7.1000","0.2342","97.5310"
"7.2000","0.2376","99.4155"
"7.3000","0.2408","101.1335"
"7.4000","0.2444","103.1551"
"7.5000","0.2476","104.9291"
"7.6000","0.2510","106.8020"
"7.7000","0.2541","108.4561"
"7.8000","0.2575","110.3427"
"7.9000","0.2609","112.2006"
"8.0000","0.2641","113.9116"
"8.1000","0.2677","115.9491"
"8.2000","0.2711","117.7685"
"8.3000","0.2744","119.5338"
"8.4000","0.2776","121.2820"
"8.5000","0.2808","123.0112"
"8.6000","0.2842","124.8167"
"8.7000","0.2874","126.4886"
"8.8000","0.2910","128.4909"
"8.9000","0.2944","130.2618"
"9.0000","0.2977","132.0042"
"9.1000","0.3010","133.7471"
"9.2000","0.3043","135.4928"
"9.3000","0.3075","137.1574"
"9.4000","0.3106","138.7459"
"9.5000","0.3142","140.6439"
"9.6000","0.3176","142.3780"
"9.7000","0.3209","144.0964"
"9.8000","0.3244","145.9454"
"9.9000","0.3277","147.5618"
"10.0000","0.3310","149.2720"
"10.1000","0.3341","150.8004"
"10.2000","0.3375","152.4939"
"10.3000","0.3409","154.2183"
"10.4000","0.3442","155.8537"
"10.5000","0.3477","157.6524"
"10.6000","0.3511","159.3307"
"10.7000","0.3543","160.9208"
"10.8000","0.3575","162.4754"
"10.9000","0.3608","164.0967"
"11.0000","0.3643","165.7669"
"11.1000","0.3674","167.2587"
"11.2000","0.3710","169.0488"
"11.3000","0.3744","170.6860"
"11.4000","0.3777","172.2912"
"11.5000","0.3809","173.8388"
"11.6000","0.3842","175.4410"
"11.7000","0.3876","177.0346"
"11.8000","0.3907","178.4908"
"11.9000","0.3943","180.2387"
"12.0000","0.3977","181.8555"
"12.1000","0.4010","183.4074"
"12.2000","0.4043","185.0175"
"12.3000","0.4076","186.5256"
"12.4000","0.4110","188.1175"
"12.5000","0.4140","189.4326"
"12.6000","0.4176","191.1934"
"12.7000","0.4210","192.7578"
"12.8000","0.4242","194.3118"
"12.9000","0.4277","195.9234"
"13.0000","0.4309","197.4019"
"13.1000","0.4343","198.9980"
"13.2000","0.4374","200.3721"
"13.3000","0.4409","201.9867"
"13.4000","0.4442","203.5473"
"13.5000","0.4475","205.0223"
"13.6000","0.4511","206.7530"
"13.7000","0.4544","208.2673"
"13.8000","0.4577","209.7715"
"13.9000","0.4608","211.1944"
"14.0000","0.4642","212.7480"
