
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","-0.0161"
"0.0500","0.0001","0.0005"
"0.1000","0.0005","0.0066"
"0.1500","0.0009","0.0043"
"0.2000","0.0016","0.0006"
"0.2500","0.0044","0.0090"
"0.3000","0.0070","0.0250"
"0.3500","0.0087","0.0193"
"0.4000","0.0101","0.0195"
"0.4500","0.0121","0.0198"
"0.5000","0.0137","0.0307"
"0.5500","0.0155","0.0270"
"0.6000","0.0170","0.0400"
"0.6500","0.0187","0.0096"
"0.7000","0.0204","0.0438"
"0.7500","0.0219","0.0293"
"0.8000","0.0239","0.0051"
"0.8500","0.0253","0.0011"
"0.9000","0.0272","0.0174"
"0.9500","0.0287","0.0137"
"1.0000","0.0304","0.0358"
"1.0500","0.0319","0.0017"
"1.1000","0.0336","0.0276"
"1.1500","0.0355","0.0251"
"1.2000","0.0369","0.0259"
"1.2500","0.0388","0.0322"
"1.3000","0.0404","0.0487"
"1.3500","0.0422","0.0358"
"1.4000","0.0436","0.0538"
"1.4500","0.0452","0.0424"
"1.5000","0.0471","0.0555"
"1.5500","0.0486","0.0478"
"1.6000","0.0505","0.0512"
"1.6500","0.0520","0.0576"
"1.7000","0.0538","0.0620"
"1.7500","0.0552","0.0485"
"1.8000","0.0569","0.0461"
"1.8500","0.0588","0.0640"
"1.9000","0.0604","0.0591"
"1.9500","0.0622","0.0531"
"2.0000","0.0636","0.0636"
"2.0500","0.0654","0.0810"
"2.1000","0.0668","0.0518"
"2.1500","0.0687","0.0754"
"2.2000","0.0705","0.1107"
"2.2500","0.0720","0.0728"
"2.3000","0.0738","0.0870"
"2.3500","0.0753","0.0984"
"2.4000","0.0771","0.0730"
"2.4500","0.0785","0.0856"
"2.5000","0.0804","0.0914"
"2.5500","0.0821","0.0948"
"2.6000","0.0836","0.0876"
"2.6500","0.0855","0.0858"
"2.7000","0.0871","0.1037"
"2.7500","0.0888","0.0828"
"2.8000","0.0901","0.0891"
"2.8500","0.0920","0.1136"
"2.9000","0.0937","0.1028"
"2.9500","0.0954","0.0975"
"3.0000","0.0972","0.0901"
"3.0500","0.0987","0.1081"
"3.1000","0.1004","0.0933"
"3.1500","0.1018","0.0994"
"3.2000","0.1038","0.1107"
"3.2500","0.1054","0.1079"
"3.3000","0.1070","0.1063"
"3.3500","0.1087","0.1307"
"3.4000","0.1103","0.1163"
"3.4500","0.1121","0.1143"
"3.5000","0.1135","0.1160"
"3.5500","0.1155","0.1116"
"3.6000","0.1170","0.1114"
"3.6500","0.1187","0.1323"
"3.7000","0.1204","0.0858"
"3.7500","0.1221","0.1081"
"3.8000","0.1237","0.1122"
"3.8500","0.1252","0.1105"
"3.9000","0.1271","0.1207"
"3.9500","0.1286","0.1133"
"4.0000","0.1305","0.1227"
"4.0500","0.1321","0.1072"
"4.1000","0.1338","0.1129"
"4.1500","0.1353","0.1224"
"4.2000","0.1368","0.1069"
"4.2500","0.1388","0.1126"
"4.3000","0.1403","0.1277"
"4.3500","0.1421","0.1191"
"4.4000","0.1437","0.1318"
"4.4500","0.1454","0.1132"
"4.5000","0.1469","0.1266"
"4.5500","0.1486","0.1259"
"4.6000","0.1506","0.1101"
"4.6500","0.1519","0.1208"
"4.7000","0.1538","0.1317"
"4.7500","0.1554","0.1005"
"4.8000","0.1571","0.1116"
"4.8500","0.1586","0.1273"
"4.9000","0.1603","0.1188"
"4.9500","0.1621","0.1226"
"5.0000","0.1635","0.1388"
"5.0500","0.1654","0.1174"
"5.1000","0.1670","0.1319"
"5.1500","0.1689","0.1483"
"5.2000","0.1702","0.1256"
"5.2500","0.1719","0.1124"
"5.3000","0.1738","0.1248"
"5.3500","0.1753","0.1168"
"5.4000","0.1772","0.1221"
"5.4500","0.1787","0.1307"
"5.5000","0.1805","0.1322"
"5.5500","0.1818","0.1396"
"5.6000","0.1837","0.1409"
"5.6500","0.1855","0.1484"
"5.7000","0.1870","0.1406"
"5.7500","0.1888","0.1215"
"5.8000","0.1903","0.1477"
"5.8500","0.1921","0.1432"
"5.9000","0.1935","0.1258"
"5.9500","0.1955","0.1533"
"6.0000","0.1971","0.1272"
"6.0500","0.1986","0.1298"
"6.1000","0.2004","0.1317"
"6.1500","0.2020","0.1633"
"6.2000","0.2038","0.1707"
"6.2500","0.2051","0.1902"
"6.3000","0.2072","0.2416"
"6.3500","0.2087","0.2696"
"6.4000","0.2104","0.2837"
"6.4500","0.2121","0.2851"
"6.5000","0.2137","0.3369"
"6.5500","0.2154","0.3410"
"6.6000","0.2167","0.3915"
"6.6500","0.2188","0.4174"
"6.7000","0.2204","0.4062"
"6.7500","0.2222","0.4530"
"6.8000","0.2237","0.4829"
"6.8500","0.2253","0.5171"
"6.9000","0.2270","0.5513"
"6.9500","0.2284","0.5975"
"7.0000","0.2305","0.6377"
"7.0500","0.2320","0.6420"
"7.1000","0.2338","0.6788"
"7.1500","0.2353","0.5933"
"7.2000","0.2370","0.6764"
"7.2500","0.2387","0.5741"
"7.3000","0.2402","0.6378"
"7.3500","0.2422","0.6580"
"7.4000","0.2437","0.7475"
"7.4500","0.2455","0.8384"
"7.5000","0.2470","0.8619"
"7.5500","0.2488","0.9448"
"7.6000","0.2503","0.9861"
"7.6500","0.2519","1.0628"
"7.7000","0.2538","1.0556"
"7.7500","0.2553","1.1278"
"7.8000","0.2572","1.2503"
"7.8500","0.2586","1.2963"
"7.9000","0.2605","1.3989"
"7.9500","0.2619","1.4728"
"8.0000","0.2636","1.5655"
"8.0500","0.2655","1.6809"
"8.1000","0.2670","1.8130"
"8.1500","0.2689","1.8950"
"8.2000","0.2703","1.9840"
"8.2500","0.2721","2.0904"
"8.3000","0.2735","2.1580"
"8.3500","0.2754","2.3023"
"8.4000","0.2771","2.3838"
"8.4500","0.2786","2.4279"
"8.5000","0.2805","2.4637"
"8.5500","0.2820","2.4750"
"8.6000","0.2838","2.5050"
"8.6500","0.2851","2.5092"
"8.7000","0.2870","2.5336"
"8.7500","0.2887","2.5034"
"8.8000","0.2903","2.5279"
"8.8500","0.2922","2.5386"
"8.9000","0.2937","2.5470"
"8.9500","0.2954","2.5531"
"9.0000","0.2968","2.5304"
"9.0500","0.2987","2.5608"
"9.1000","0.3004","2.5389"
"9.1500","0.3021","2.5701"
"9.2000","0.3038","2.5492"
"9.2500","0.3053","2.5660"
"9.3000","0.3070","2.5607"
"9.3500","0.3085","2.5454"
"9.4000","0.3105","2.5742"
"9.4500","0.3120","2.5796"
"9.5000","0.3137","2.5803"
"9.5500","0.3154","2.5806"
"9.6000","0.3170","2.5973"
"9.6500","0.3187","2.5703"
"9.7000","0.3202","2.5826"
"9.7500","0.3221","2.5958"
"9.8000","0.3237","2.5696"
"9.8500","0.3254","2.5822"
"9.9000","0.3271","2.5891"
"9.9500","0.3288","2.5762"
"10.0000","0.3303","2.6023"
"10.0500","0.3318","2.5756"
"10.1000","0.3338","2.5790"
"10.1500","0.3354","2.5752"
"10.2000","0.3372","2.5836"
"10.2500","0.3387","2.5813"
"10.3000","0.3404","2.5969"
"10.3500","0.3420","2.6125"
"10.4000","0.3435","2.5824"
"10.4500","0.3455","2.6002"
"10.5000","0.3469","2.6045"
"10.5500","0.3487","2.6063"
"10.6000","0.3503","2.5964"
"10.6500","0.3521","2.6070"
"10.7000","0.3536","2.6084"
"10.7500","0.3552","2.6039"
"10.8000","0.3571","2.5807"
"10.8500","0.3586","2.5809"
"10.9000","0.3604","2.6132"
"10.9500","0.3620","2.6206"
"11.0000","0.3638","2.6164"
"11.0500","0.3652","2.5888"
"11.1000","0.3669","2.5829"
"11.1500","0.3688","2.6112"
"11.2000","0.3703","2.6147"
"11.2500","0.3722","2.6189"
"11.3000","0.3736","2.6213"
"11.3500","0.3755","2.6162"
"11.4000","0.3769","2.6387"
"11.4500","0.3786","2.6369"
"11.5000","0.3804","2.6885"
"11.5500","0.3819","2.7265"
"11.6000","0.3838","2.7963"
"11.6500","0.3854","2.8479"
"11.7000","0.3872","2.9580"
"11.7500","0.3885","3.0068"
"11.8000","0.3904","3.1215"
"11.8500","0.3921","3.1657"
"11.9000","0.3936","3.3031"
"11.9500","0.3955","3.3577"
"12.0000","0.3971","3.3833"
"12.0500","0.3988","3.3652"
"12.1000","0.4001","3.3629"
"12.1500","0.4021","3.3811"
"12.2000","0.4038","3.3679"
"12.2500","0.4053","3.3840"
"12.3000","0.4071","3.3856"
"12.3500","0.4086","3.3801"
"12.4000","0.4104","3.4161"
"12.4500","0.4118","3.4033"
"12.5000","0.4138","3.4109"
"12.5500","0.4154","3.4216"
"12.6000","0.4170","3.3969"
"12.6500","0.4188","3.4013"
"12.7000","0.4204","3.3982"
"12.7500","0.4221","3.3872"
"12.8000","0.4235","3.4039"
"12.8500","0.4255","3.4086"
"12.9000","0.4270","3.4014"
"12.9500","0.4287","3.4050"
"13.0000","0.4305","3.4025"
"13.0500","0.4321","3.4094"
"13.1000","0.4337","3.4120"
"13.1500","0.4351","3.4200"
"13.2000","0.4372","3.3949"
"13.2500","0.4386","3.3971"
"13.3000","0.4404","3.3971"
"13.3500","0.4421","3.4108"
"13.4000","0.4438","3.4029"
"13.4500","0.4453","3.4173"
"13.5000","0.4469","3.4117"
"13.5500","0.4489","3.4302"
"13.6000","0.4503","3.4170"
"13.6500","0.4521","3.4289"
"13.7000","0.4536","3.4047"
"13.7500","0.4555","3.4165"
"13.8000","0.4570","3.4324"
"13.8500","0.4585","3.4245"
"13.9000","0.4605","3.4054"
"13.9500","0.4620","3.4051"
"14.0000","0.4638","3.4175"
"14.0500","0.4652","3.4037"
"14.1000","0.4671","3.4287"
"14.1500","0.4685","3.4056"
"14.2000","0.4703","3.4258"
"14.2500","0.4721","3.4270"
"14.3000","0.4736","3.4615"
"14.3500","0.4755","3.4258"
"14.4000","0.4769","3.4304"
"14.4500","0.4788","3.4524"
"14.5000","0.4802","3.4326"
"14.5500","0.4820","3.4171"
"14.6000","0.4838","3.4229"
"14.6500","0.4853","3.4235"
"14.7000","0.4871","3.3938"
"14.7500","0.4886","3.4162"
"14.8000","0.4905","3.4113"
"14.8500","0.4918","3.4169"
"14.9000","0.4937","3.4150"
"14.9500","0.4954","3.4292"
"15.0000","0.4970","3.4251"
