
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","-0.0396"
"0.0500","0.0001","-0.0516"
"0.1000","0.0007","0.1488"
"0.1500","0.0010","0.2621"
"0.2000","0.0024","0.2904"
"0.2500","0.0053","0.2699"
"0.3000","0.0073","0.2785"
"0.3500","0.0089","0.3073"
"0.4000","0.0108","0.3149"
"0.4500","0.0123","0.3591"
"0.5000","0.0142","0.3657"
"0.5500","0.0158","0.3724"
"0.6000","0.0176","0.3420"
"0.6500","0.0189","0.3649"
"0.7000","0.0207","0.3784"
"0.7500","0.0225","0.4370"
"0.8000","0.0241","0.5385"
"0.8500","0.0259","0.5786"
"0.9000","0.0274","0.6047"
"0.9500","0.0292","0.6357"
"1.0000","0.0306","0.7326"
"1.0500","0.0325","0.8220"
"1.1000","0.0343","0.8814"
"1.1500","0.0358","0.9599"
"1.2000","0.0375","1.0755"
"1.2500","0.0391","1.2966"
"1.3000","0.0409","1.4813"
"1.3500","0.0423","1.6304"
"1.4000","0.0442","1.6698"
"1.4500","0.0458","1.6739"
"1.5000","0.0474","1.7255"
"1.5500","0.0492","1.7495"
"1.6000","0.0509","1.8110"
"1.6500","0.0526","1.8464"
"1.7000","0.0539","1.8487"
"1.7500","0.0558","1.9496"
"1.8000","0.0575","1.9615"
"1.8500","0.0592","1.9673"
"1.9000","0.0609","1.9809"
"1.9500","0.0625","2.0015"
"2.0000","0.0641","1.9995"
"2.0500","0.0655","2.2076"
"2.1000","0.0675","2.3580"
"2.1500","0.0692","2.4232"
"2.2000","0.0708","2.4932"
"2.2500","0.0725","2.5084"
"2.3000","0.0741","2.5180"
"2.3500","0.0758","2.5405"
"2.4000","0.0773","2.5515"
"2.4500","0.0793","2.5386"
"2.5000","0.0807","2.5664"
"2.5500","0.0824","2.5578"
"2.6000","0.0841","2.5763"
"2.6500","0.0859","2.5652"
"2.7000","0.0875","2.5889"
"2.7500","0.0889","2.6185"
"2.8000","0.0909","2.6502"
"2.8500","0.0925","2.6697"
"2.9000","0.0942","2.6844"
"2.9500","0.0958","2.7197"
"3.0000","0.0975","2.7508"
"3.0500","0.0990","2.7919"
"3.1000","0.1006","2.8180"
"3.1500","0.1026","2.8617"
"3.2000","0.1041","2.8694"
"3.2500","0.1059","2.8604"
"3.3000","0.1074","2.8658"
"3.3500","0.1092","2.8753"
"3.4000","0.1106","2.8873"
"3.4500","0.1123","2.8838"
"3.5000","0.1143","2.8972"
"3.5500","0.1157","2.9192"
"3.6000","0.1175","2.9278"
"3.6500","0.1191","2.9204"
"3.7000","0.1209","2.9311"
"3.7500","0.1223","2.9379"
"3.8000","0.1241","2.9494"
"3.8500","0.1259","3.0415"
"3.9000","0.1273","3.0655"
"3.9500","0.1292","3.1509"
"4.0000","0.1308","3.1965"
"4.0500","0.1326","3.2541"
"4.1000","0.1339","3.3224"
"4.1500","0.1357","3.4674"
"4.2000","0.1376","3.6878"
"4.2500","0.1390","3.8979"
"4.3000","0.1409","4.1671"
"4.3500","0.1424","4.4332"
"4.4000","0.1442","4.7934"
"4.4500","0.1455","4.9779"
"4.5000","0.1475","5.2804"
"4.5500","0.1492","5.3815"
"4.6000","0.1507","5.3940"
"4.6500","0.1525","5.4127"
"4.7000","0.1541","5.4136"
"4.7500","0.1559","5.4057"
"4.8000","0.1572","5.4064"
"4.8500","0.1592","5.4166"
"4.9000","0.1608","5.4191"
"4.9500","0.1624","5.4179"
"5.0000","0.1642","5.4172"
"5.0500","0.1659","5.4040"
"5.1000","0.1676","5.4291"
"5.1500","0.1689","5.4383"
"5.2000","0.1709","5.4383"
"5.2500","0.1725","5.4315"
"5.3000","0.1742","5.4306"
"5.3500","0.1758","5.4627"
"5.4000","0.1775","5.4597"
"5.4500","0.1792","5.4617"
"5.5000","0.1805","5.4672"
"5.5500","0.1826","5.4408"
"5.6000","0.1841","5.4682"
"5.6500","0.1859","5.4633"
"5.7000","0.1874","5.4755"
"5.7500","0.1891","5.4792"
"5.8000","0.1908","5.4510"
"5.8500","0.1922","5.4627"
"5.9000","0.1943","5.4709"
"5.9500","0.1957","5.4740"
"6.0000","0.1975","5.4880"
"6.0500","0.1990","5.4795"
"6.1000","0.2009","5.4699"
"6.1500","0.2024","5.4783"
"6.2000","0.2040","5.4824"
"6.2500","0.2059","5.4706"
"6.3000","0.2074","5.4924"
"6.3500","0.2092","5.4873"
"6.4000","0.2108","5.4797"
"6.4500","0.2126","5.5020"
"6.5000","0.2140","5.4850"
"6.5500","0.2157","5.4966"
"6.6000","0.2176","5.5047"
