
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","1.0217"
"0.1000","0.0006","1.4761"
"0.2000","0.0019","2.9282"
"0.3000","0.0071","8.3280"
"0.4000","0.0105","11.6520"
"0.5000","0.0139","15.0391"
"0.6000","0.0171","18.2140"
"0.7000","0.0207","21.6769"
"0.8000","0.0240","24.8699"
"0.9000","0.0274","28.0874"
"1.0000","0.0306","31.0376"
"1.1000","0.0340","34.2526"
"1.2000","0.0372","37.2155"
"1.3000","0.0404","40.0694"
"1.4000","0.0440","43.4214"
"1.5000","0.0473","46.2316"
"1.6000","0.0507","48.8603"
"1.7000","0.0540","51.3614"
"1.8000","0.0572","53.4598"
"1.9000","0.0606","55.6985"
"2.0000","0.0637","57.6257"
"2.1000","0.0673","59.9167"
"2.2000","0.0706","62.0942"
"2.3000","0.0740","64.2263"
"2.4000","0.0774","66.7046"
"2.5000","0.0806","69.0864"
"2.6000","0.0840","71.7332"
"2.7000","0.0871","74.1705"
"2.8000","0.0905","76.8904"
"2.9000","0.0940","79.7780"
"3.0000","0.0972","82.3298"
"3.1000","0.1008","85.3236"
"3.2000","0.1040","87.9977"
"3.3000","0.1074","90.7029"
"3.4000","0.1105","93.1771"
"3.5000","0.1138","95.8868"
"3.6000","0.1172","98.6285"
"3.7000","0.1204","101.2104"
"3.8000","0.1241","104.1424"
"3.9000","0.1274","106.7441"
"4.0000","0.1307","109.4064"
"4.1000","0.1339","111.8886"
"4.2000","0.1372","114.4146"
"4.3000","0.1406","117.0819"
"4.4000","0.1437","119.3995"
"4.5000","0.1474","122.2883"
"4.6000","0.1506","124.6269"
"4.7000","0.1541","126.7279"
"4.8000","0.1573","128.5566"
"4.9000","0.1606","130.2994"
"5.0000","0.1639","132.0914"
"5.1000","0.1670","133.7548"
"5.2000","0.1706","135.7328"
"5.3000","0.1739","137.6064"
"5.4000","0.1773","139.4285"
"5.5000","0.1807","141.4308"
"5.6000","0.1840","143.2485"
"5.7000","0.1874","145.1779"
"5.8000","0.1904","146.9704"
"5.9000","0.1939","149.2475"
"6.0000","0.1972","151.5180"
"6.1000","0.2005","153.7965"
"6.2000","0.2041","156.3277"
"6.3000","0.2074","158.6337"
"6.4000","0.2107","160.8587"
"6.5000","0.2139","163.1128"
"6.6000","0.2172","165.5330"
"6.7000","0.2206","168.0888"
"6.8000","0.2237","170.3905"
"6.9000","0.2273","173.2114"
"7.0000","0.2307","175.7714"
"7.1000","0.2340","178.2990"
"7.2000","0.2373","180.7912"
"7.3000","0.2406","183.2780"
"7.4000","0.2439","185.8641"
"7.5000","0.2470","188.2553"
"7.6000","0.2506","191.0765"
"7.7000","0.2540","193.7119"
"7.8000","0.2573","196.2667"
"7.9000","0.2607","198.9276"
"8.0000","0.2639","201.4222"
"8.1000","0.2674","204.1456"
"8.2000","0.2703","206.3885"
"8.3000","0.2740","209.2806"
"8.4000","0.2773","211.8566"
"8.5000","0.2806","214.3860"
"8.6000","0.2840","217.1485"
"8.7000","0.2873","219.6313"
"8.8000","0.2906","222.2618"
"8.9000","0.2938","224.6902"
"9.0000","0.2972","227.3419"
"9.1000","0.3006","229.9931"
"9.2000","0.3039","232.5348"
"9.3000","0.3074","235.3543"
"9.4000","0.3107","237.9282"
"9.5000","0.3140","240.5264"
"9.6000","0.3171","242.9054"
"9.7000","0.3206","245.6214"
"9.8000","0.3239","248.2376"
"9.9000","0.3271","250.7285"
"10.0000","0.3307","253.5902"
"10.1000","0.3341","256.2254"
"10.2000","0.3374","258.8434"
"10.3000","0.3406","261.2988"
"10.4000","0.3438","263.7979"
"10.5000","0.3473","266.5266"
"10.6000","0.3503","268.8646"
"10.7000","0.3540","271.7762"
"10.8000","0.3573","274.3908"
"10.9000","0.3607","277.0098"
"11.0000","0.3640","279.6379"
"11.1000","0.3672","282.0711"
"11.2000","0.3706","284.6953"
"11.3000","0.3737","287.0025"
"11.4000","0.3773","289.8130"
"11.5000","0.3806","292.4348"
"11.6000","0.3840","294.9774"
"11.7000","0.3875","297.7221"
"11.8000","0.3907","300.1599"
"11.9000","0.3940","302.7191"
"12.0000","0.3970","305.0024"
"12.1000","0.4006","307.7524"
"12.2000","0.4039","310.3045"
"12.3000","0.4072","312.8638"
"12.4000","0.4107","315.6908"
"12.5000","0.4140","318.1998"
"12.6000","0.4174","320.8415"
"12.7000","0.4205","323.2027"
"12.8000","0.4239","325.8157"
"12.9000","0.4272","328.3748"
"13.0000","0.4304","330.8305"
"13.1000","0.4340","333.6968"
"13.2000","0.4374","336.3465"
"13.3000","0.4407","338.9620"
"13.4000","0.4440","341.4848"
"13.5000","0.4472","343.9953"
"13.6000","0.4506","346.5955"
"13.7000","0.4537","348.9681"
"13.8000","0.4573","351.8921"
"13.9000","0.4607","354.5284"
"14.0000","0.4640","357.1258"
"14.1000","0.4673","359.7892"
"14.2000","0.4706","362.3274"
"14.3000","0.4740","364.9892"
"14.4000","0.4770","367.3393"
"14.5000","0.4806","370.1555"
"14.6000","0.4840","372.8607"
"14.7000","0.4872","375.3957"
"14.8000","0.4908","378.2943"
"14.9000","0.4940","380.7875"
"15.0000","0.4974","383.4410"
"15.1000","0.5005","385.8522"
"15.2000","0.5039","388.5618"
"15.3000","0.5073","391.2416"
"15.4000","0.5105","393.7105"
"15.5000","0.5140","396.5528"
"15.6000","0.5174","399.2135"
"15.7000","0.5207","401.7749"
"15.8000","0.5238","404.2185"
"15.9000","0.5272","406.9212"
"16.0000","0.5305","409.5016"
"16.1000","0.5338","412.0174"
"16.2000","0.5373","414.9159"
"16.3000","0.5407","417.5113"
"16.4000","0.5441","420.2495"
"16.5000","0.5472","422.6797"
"16.6000","0.5506","425.3080"
"16.7000","0.5539","427.8873"
"16.8000","0.5570","430.2677"
"16.9000","0.5607","433.2210"
"17.0000","0.5640","435.8409"
"17.1000","0.5674","438.4352"
"17.2000","0.5707","441.1026"
"17.3000","0.5739","443.4954"
"17.4000","0.5773","446.2093"
"17.5000","0.5804","448.5481"
"17.6000","0.5839","451.3054"
"17.7000","0.5873","454.0110"
"17.8000","0.5906","456.5092"
"17.9000","0.5940","459.2816"
"18.0000","0.5973","461.8152"
"18.1000","0.6007","464.4605"
"18.2000","0.6037","466.7753"
"18.3000","0.6072","469.4614"
