
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","0.0105"
"0.0500","0.0001","-0.0126"
"0.1000","0.0006","0.0095"
"0.1500","0.0010","0.0061"
"0.2000","0.0019","0.0000"
"0.2500","0.0048","0.0006"
"0.3000","0.0071","0.0174"
"0.3500","0.0089","0.0124"
"0.4000","0.0105","0.0142"
"0.4500","0.0123","0.0105"
"0.5000","0.0137","0.0004"
"0.5500","0.0154","-0.0042"
"0.6000","0.0173","0.0042"
"0.6500","0.0188","0.0213"
"0.7000","0.0206","0.0035"
"0.7500","0.0222","0.0055"
"0.8000","0.0240","0.0016"
"0.8500","0.0254","0.0060"
"0.9000","0.0272","0.0024"
"0.9500","0.0290","0.0003"
"1.0000","0.0305","0.0126"
"1.0500","0.0323","0.0095"
"1.1000","0.0339","0.0124"
"1.1500","0.0357","0.0119"
"1.2000","0.0370","0.0039"
"1.2500","0.0390","0.0091"
"1.3000","0.0406","0.0135"
"1.3500","0.0422","0.0009"
"1.4000","0.0440","0.0043"
"1.4500","0.0456","0.0145"
"1.5000","0.0474","0.0120"
"1.5500","0.0487","0.0152"
"1.6000","0.0507","0.0104"
"1.6500","0.0523","0.0354"
"1.7000","0.0539","0.0127"
"1.7500","0.0556","0.0137"
"1.8000","0.0572","0.0118"
"1.8500","0.0590","0.0241"
"1.9000","0.0603","-0.0019"
"1.9500","0.0623","0.0044"
"2.0000","0.0639","0.0021"
"2.0500","0.0657","0.0093"
"2.1000","0.0672","0.0116"
"2.1500","0.0689","0.0008"
"2.2000","0.0706","0.0150"
"2.2500","0.0720","0.0120"
"2.3000","0.0741","0.0323"
"2.3500","0.0755","0.0121"
"2.4000","0.0772","-0.0005"
"2.4500","0.0788","0.0207"
"2.5000","0.0806","0.0025"
"2.5500","0.0822","0.0080"
"2.6000","0.0838","0.0347"
"2.6500","0.0857","0.0160"
"2.7000","0.0872","-0.0053"
"2.7500","0.0890","0.0159"
"2.8000","0.0905","0.0137"
"2.8500","0.0924","0.0130"
"2.9000","0.0938","0.0255"
"2.9500","0.0954","0.0246"
"3.0000","0.0974","0.0126"
"3.0500","0.0989","0.0106"
"3.1000","0.1007","0.0140"
"3.1500","0.1022","0.0163"
"3.2000","0.1040","0.0026"
"3.2500","0.1054","0.0223"
"3.3000","0.1071","0.0156"
"3.3500","0.1091","0.0247"
"3.4000","0.1106","0.0178"
"3.4500","0.1124","0.0288"
"3.5000","0.1138","0.0230"
"3.5500","0.1156","0.0251"
"3.6000","0.1170","0.0324"
"3.6500","0.1189","0.0426"
"3.7000","0.1207","0.0287"
"3.7500","0.1222","0.0273"
"3.8000","0.1240","0.0518"
"3.8500","0.1255","0.0529"
"3.9000","0.1274","0.0370"
"3.9500","0.1287","0.0445"
"4.0000","0.1305","0.0414"
"4.0500","0.1322","0.0470"
"4.1000","0.1338","0.0302"
"4.1500","0.1357","0.0474"
"4.2000","0.1373","0.0549"
"4.2500","0.1390","0.0437"
"4.3000","0.1403","0.0490"
"4.3500","0.1422","0.0659"
"4.4000","0.1439","0.0477"
"4.4500","0.1456","0.0445"
"4.5000","0.1473","0.0431"
"4.5500","0.1489","0.0535"
"4.6000","0.1506","0.0515"
"4.6500","0.1520","0.0483"
"4.7000","0.1541","0.0524"
"4.7500","0.1556","0.0357"
"4.8000","0.1573","0.0520"
"4.8500","0.1589","0.0538"
"4.9000","0.1606","0.0319"
"4.9500","0.1623","0.0383"
"5.0000","0.1637","0.0519"
"5.0500","0.1657","0.0251"
"5.1000","0.1672","0.0609"
"5.1500","0.1689","0.0411"
"5.2000","0.1706","0.0445"
"5.2500","0.1724","0.0483"
"5.3000","0.1739","0.0532"
"5.3500","0.1753","0.0361"
"5.4000","0.1773","0.0333"
"5.4500","0.1789","0.0411"
"5.5000","0.1807","0.0378"
"5.5500","0.1822","0.0318"
"5.6000","0.1839","0.0499"
"5.6500","0.1855","0.0445"
"5.7000","0.1870","0.0494"
"5.7500","0.1890","0.0437"
"5.8000","0.1905","0.0775"
"5.8500","0.1923","0.0258"
"5.9000","0.1938","0.0480"
"5.9500","0.1956","0.0389"
"6.0000","0.1971","0.0307"
"6.0500","0.1988","0.0419"
"6.1000","0.2007","0.0606"
"6.1500","0.2021","0.0679"
"6.2000","0.2039","0.0618"
"6.2500","0.2055","0.0411"
"6.3000","0.2074","0.0385"
"6.3500","0.2088","0.0520"
"6.4000","0.2104","0.0567"
"6.4500","0.2124","0.0492"
"6.5000","0.2139","0.0504"
"6.5500","0.2157","0.0505"
"6.6000","0.2172","0.0491"
"6.6500","0.2190","0.0373"
"6.7000","0.2204","0.0626"
"6.7500","0.2221","0.0580"
"6.8000","0.2240","0.0453"
"6.8500","0.2256","0.0414"
"6.9000","0.2273","0.0388"
"6.9500","0.2289","0.0509"
"7.0000","0.2307","0.0462"
"7.0500","0.2320","0.0380"
"7.1000","0.2339","0.0570"
"7.1500","0.2357","0.0310"
"7.2000","0.2371","0.0472"
"7.2500","0.2390","0.0543"
"7.3000","0.2406","0.0505"
"7.3500","0.2424","0.0319"
"7.4000","0.2437","0.0506"
"7.4500","0.2456","0.0356"
"7.5000","0.2473","0.0433"
"7.5500","0.2488","0.0527"
"7.6000","0.2507","0.0492"
"7.6500","0.2523","0.0381"
"7.7000","0.2540","0.0328"
"7.7500","0.2553","0.0484"
"7.8000","0.2573","0.0473"
"7.8500","0.2589","0.0473"
"7.9000","0.2605","0.0568"
"7.9500","0.2623","0.0412"
"8.0000","0.2639","0.0353"
"8.0500","0.2656","0.0210"
"8.1000","0.2670","0.0499"
"8.1500","0.2690","0.0434"
"8.2000","0.2706","0.0504"
"8.2500","0.2723","0.0415"
"8.3000","0.2739","0.0388"
"8.3500","0.2756","0.0565"
"8.4000","0.2772","0.0397"
"8.4500","0.2787","0.0326"
"8.5000","0.2807","0.0225"
"8.5500","0.2822","0.0555"
"8.6000","0.2839","0.0582"
"8.6500","0.2856","0.0382"
