
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","0.0111"
"0.0500","0.0001","-0.0046"
"0.1000","0.0008","0.0117"
"0.1500","0.0011","0.0081"
"0.2000","0.0024","-0.0052"
"0.2500","0.0056","-0.0080"
"0.3000","0.0077","0.0050"
"0.3500","0.0093","0.0211"
"0.4000","0.0110","0.0287"
"0.4500","0.0126","0.0525"
"0.5000","0.0141","0.0514"
"0.5500","0.0162","0.0333"
"0.6000","0.0176","0.0453"
"0.6500","0.0194","0.0503"
"0.7000","0.0210","0.0569"
"0.7500","0.0228","0.0636"
"0.8000","0.0243","0.0395"
"0.8500","0.0258","0.0765"
"0.9000","0.0279","0.0488"
"0.9500","0.0293","0.0511"
"1.0000","0.0311","0.0531"
"1.0500","0.0326","0.0490"
"1.1000","0.0345","0.0535"
"1.1500","0.0359","0.0742"
"1.2000","0.0375","0.0618"
"1.2500","0.0395","0.0588"
"1.3000","0.0410","0.0987"
"1.3500","0.0428","0.0930"
"1.4000","0.0442","0.0881"
"1.4500","0.0461","0.1005"
"1.5000","0.0475","0.0800"
"1.5500","0.0493","0.0994"
"1.6000","0.0511","0.0928"
"1.6500","0.0526","0.0973"
"1.7000","0.0544","0.1009"
"1.7500","0.0559","0.0934"
"1.8000","0.0578","0.1007"
"1.8500","0.0591","0.0821"
"1.9000","0.0610","0.0898"
"1.9500","0.0628","0.1139"
"2.0000","0.0643","0.1080"
"2.0500","0.0661","0.0964"
"2.1000","0.0676","0.1008"
"2.1500","0.0695","0.1113"
"2.2000","0.0708","0.0953"
"2.2500","0.0727","0.0963"
"2.3000","0.0744","0.0916"
"2.3500","0.0760","0.1103"
"2.4000","0.0777","0.0976"
"2.4500","0.0793","0.0906"
"2.5000","0.0811","0.1076"
"2.5500","0.0824","0.1000"
"2.6000","0.0845","0.0861"
"2.6500","0.0860","0.1115"
"2.7000","0.0877","0.0993"
"2.7500","0.0894","0.1149"
"2.8000","0.0910","0.0970"
"2.8500","0.0927","0.1046"
"2.9000","0.0941","0.0978"
"2.9500","0.0962","0.0985"
"3.0000","0.0977","0.0850"
"3.0500","0.0994","0.1167"
"3.1000","0.1010","0.1099"
"3.1500","0.1027","0.1172"
"3.2000","0.1043","0.1219"
"3.2500","0.1058","0.1114"
"3.3000","0.1078","0.1009"
"3.3500","0.1093","0.1130"
"3.4000","0.1111","0.1150"
"3.4500","0.1127","0.1230"
"3.5000","0.1144","0.1032"
"3.5500","0.1159","0.1183"
"3.6000","0.1175","0.1130"
"3.6500","0.1194","0.1165"
"3.7000","0.1209","0.1213"
"3.7500","0.1228","0.0977"
"3.8000","0.1243","0.1060"
"3.8500","0.1261","0.1288"
"3.9000","0.1275","0.1228"
"3.9500","0.1292","0.1181"
"4.0000","0.1312","0.1161"
"4.0500","0.1326","0.1122"
"4.1000","0.1344","0.1326"
"4.1500","0.1360","0.1152"
"4.2000","0.1378","0.1246"
"4.2500","0.1392","0.1314"
"4.3000","0.1409","0.1118"
"4.3500","0.1428","0.1209"
"4.4000","0.1443","0.1161"
"4.4500","0.1461","0.1205"
"4.5000","0.1477","0.1171"
"4.5500","0.1495","0.1116"
"4.6000","0.1508","0.1202"
"4.6500","0.1526","0.1093"
"4.7000","0.1544","0.1384"
"4.7500","0.1560","0.1355"
"4.8000","0.1578","0.1315"
"4.8500","0.1593","0.1179"
"4.9000","0.1611","0.1056"
"4.9500","0.1624","0.1304"
"5.0000","0.1643","0.1200"
"5.0500","0.1661","0.1247"
"5.1000","0.1676","0.1317"
"5.1500","0.1694","0.1231"
"5.2000","0.1709","0.1075"
"5.2500","0.1727","0.1263"
"5.3000","0.1741","0.1162"
"5.3500","0.1760","0.1209"
"5.4000","0.1777","0.1092"
"5.4500","0.1793","0.1290"
"5.5000","0.1810","0.1313"
"5.5500","0.1827","0.1336"
"5.6000","0.1844","0.1274"
"5.6500","0.1858","0.1329"
"5.7000","0.1877","0.1191"
"5.7500","0.1894","0.1339"
"5.8000","0.1910","0.1307"
"5.8500","0.1927","0.1256"
"5.9000","0.1944","0.1346"
"5.9500","0.1960","0.1391"
"6.0000","0.1974","0.1184"
"6.0500","0.1994","0.1365"
"6.1000","0.2010","0.1355"
"6.1500","0.2027","0.1400"
"6.2000","0.2044","0.1359"
"6.2500","0.2060","0.1379"
"6.3000","0.2077","0.1281"
"6.3500","0.2091","0.1529"
"6.4000","0.2111","0.1351"
"6.4500","0.2126","0.1464"
"6.5000","0.2143","0.1250"
"6.5500","0.2160","0.1243"
"6.6000","0.2178","0.1477"
"6.6500","0.2193","0.1652"
"6.7000","0.2208","0.1432"
"6.7500","0.2228","0.1443"
"6.8000","0.2242","0.1389"
"6.8500","0.2260","0.1631"
"6.9000","0.2277","0.1466"
"6.9500","0.2295","0.1544"
"7.0000","0.2309","0.1324"
"7.0500","0.2325","0.1388"
"7.1000","0.2345","0.1357"
"7.1500","0.2359","0.1626"
"7.2000","0.2377","0.1586"
"7.2500","0.2393","0.1400"
"7.3000","0.2411","0.1517"
"7.3500","0.2425","0.1608"
"7.4000","0.2442","0.1565"
"7.4500","0.2462","0.1565"
"7.5000","0.2476","0.1326"
"7.5500","0.2494","0.1614"
"7.6000","0.2510","0.1574"
"7.6500","0.2528","0.1510"
"7.7000","0.2541","0.1639"
"7.7500","0.2559","0.1854"
"7.8000","0.2578","0.1644"
"7.8500","0.2592","0.1619"
"7.9000","0.2611","0.1465"
"7.9500","0.2627","0.1716"
"8.0000","0.2645","0.1594"
"8.0500","0.2658","0.1784"
"8.1000","0.2677","0.1685"
"8.1500","0.2694","0.1574"
"8.2000","0.2710","0.1557"
"8.2500","0.2727","0.1694"
"8.3000","0.2743","0.1884"
"8.3500","0.2762","0.1765"
"8.4000","0.2774","0.1512"
"8.4500","0.2794","0.1839"
"8.5000","0.2811","0.1774"
"8.5500","0.2827","0.1860"
"8.6000","0.2844","0.1883"
"8.6500","0.2859","0.1956"
"8.7000","0.2877","0.1896"
"8.7500","0.2891","0.1950"
"8.8000","0.2911","0.2112"
"8.8500","0.2926","0.1776"
"8.9000","0.2943","0.2118"
"8.9500","0.2960","0.1871"
"9.0000","0.2976","0.2020"
"9.0500","0.2994","0.1970"
"9.1000","0.3008","0.2026"
"9.1500","0.3028","0.1800"
"9.2000","0.3044","0.1788"
"9.2500","0.3061","0.2017"
"9.3000","0.3076","0.2264"
"9.3500","0.3094","0.1998"
"9.4000","0.3110","0.1936"
"9.4500","0.3125","0.1981"
"9.5000","0.3145","0.2122"
"9.5500","0.3160","0.2275"
"9.6000","0.3178","0.2152"
