
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","0.0045"
"0.0500","0.0001","-0.0038"
"0.1000","0.0008","0.0037"
"0.1500","0.0010","0.0091"
"0.2000","0.0029","0.0167"
"0.2500","0.0057","0.0068"
"0.3000","0.0077","0.0085"
"0.3500","0.0093","-0.0116"
"0.4000","0.0112","0.0100"
"0.4500","0.0125","0.0256"
"0.5000","0.0145","0.0415"
"0.5500","0.0161","0.0180"
"0.6000","0.0178","0.0260"
"0.6500","0.0194","0.0182"
"0.7000","0.0211","0.0198"
"0.7500","0.0227","0.0206"
"0.8000","0.0241","0.0364"
"0.8500","0.0263","0.0248"
"0.9000","0.0277","0.0176"
"0.9500","0.0295","0.0323"
"1.0000","0.0310","0.0198"
"1.0500","0.0328","0.0286"
"1.1000","0.0344","0.0386"
"1.1500","0.0359","0.0251"
"1.2000","0.0379","0.0223"
"1.2500","0.0394","0.0207"
"1.3000","0.0412","0.0430"
"1.3500","0.0427","0.0412"
"1.4000","0.0446","0.0120"
"1.4500","0.0460","0.0323"
"1.5000","0.0476","0.0178"
"1.5500","0.0495","0.0373"
"1.6000","0.0511","0.0453"
"1.6500","0.0529","0.0378"
"1.7000","0.0543","0.0359"
"1.7500","0.0562","0.0381"
"1.8000","0.0576","0.0330"
"1.8500","0.0593","0.0316"
"1.9000","0.0612","0.0298"
"1.9500","0.0627","0.0282"
"2.0000","0.0646","0.0387"
"2.0500","0.0660","0.0222"
"2.1000","0.0678","0.0361"
"2.1500","0.0692","0.0171"
"2.2000","0.0711","0.0288"
"2.2500","0.0728","0.0295"
"2.3000","0.0744","0.0481"
"2.3500","0.0762","0.0337"
"2.4000","0.0777","0.0382"
"2.4500","0.0795","0.0639"
"2.5000","0.0808","0.0435"
"2.5500","0.0827","0.0357"
"2.6000","0.0844","0.0511"
"2.6500","0.0860","0.0510"
"2.7000","0.0878","0.0403"
"2.7500","0.0894","0.0414"
"2.8000","0.0912","0.0486"
"2.8500","0.0925","0.0456"
"2.9000","0.0945","0.0544"
"2.9500","0.0961","0.0531"
"3.0000","0.0978","0.0617"
"3.0500","0.0995","0.0566"
"3.1000","0.1011","0.0471"
"3.1500","0.1028","0.0598"
"3.2000","0.1042","0.0494"
"3.2500","0.1062","0.0518"
"3.3000","0.1078","0.0485"
"3.3500","0.1094","0.0523"
