
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","0.0070"
"0.0500","0.0001","-0.0110"
"0.1000","0.0007","0.0116"
"0.1500","0.0010","0.0070"
"0.2000","0.0027","0.0282"
"0.2500","0.0053","0.0161"
"0.3000","0.0076","0.0295"
"0.3500","0.0093","0.0307"
"0.4000","0.0110","0.0215"
"0.4500","0.0126","0.0300"
"0.5000","0.0144","0.0247"
"0.5500","0.0158","0.0267"
"0.6000","0.0176","0.0262"
"0.6500","0.0194","0.0283"
"0.7000","0.0209","0.0038"
"0.7500","0.0227","0.0421"
"0.8000","0.0243","0.0211"
"0.8500","0.0261","0.0346"
"0.9000","0.0274","0.0232"
"0.9500","0.0293","0.0127"
"1.0000","0.0310","0.0058"
"1.0500","0.0326","0.0300"
"1.1000","0.0344","-0.0056"
"1.1500","0.0360","0.0300"
"1.2000","0.0377","0.0371"
"1.2500","0.0390","0.0292"
"1.3000","0.0410","0.0198"
"1.3500","0.0427","0.0316"
"1.4000","0.0444","0.0351"
"1.4500","0.0460","0.0183"
"1.5000","0.0477","0.0354"
"1.5500","0.0494","0.0188"
"1.6000","0.0507","0.0190"
"1.6500","0.0527","0.0282"
"1.7000","0.0543","0.0126"
"1.7500","0.0560","0.0341"
"1.8000","0.0577","0.0415"
"1.8500","0.0594","0.0300"
"1.9000","0.0610","0.0454"
"1.9500","0.0624","0.0202"
"2.0000","0.0644","0.0335"
"2.0500","0.0659","0.0232"
"2.1000","0.0677","0.0324"
"2.1500","0.0694","0.0245"
"2.2000","0.0711","0.0292"
"2.2500","0.0726","0.0241"
"2.3000","0.0741","0.0359"
"2.3500","0.0761","0.0368"
"2.4000","0.0776","0.0286"
"2.4500","0.0794","0.0022"
"2.5000","0.0810","0.0232"
"2.5500","0.0827","0.0225"
"2.6000","0.0842","0.0231"
"2.6500","0.0858","0.0245"
"2.7000","0.0878","0.0313"
"2.7500","0.0892","0.0197"
"2.8000","0.0910","0.0416"
"2.8500","0.0926","0.0259"
"2.9000","0.0944","0.0277"
"2.9500","0.0959","0.0278"
"3.0000","0.0975","0.0240"
"3.0500","0.0995","0.0242"
"3.1000","0.1009","0.0248"
"3.1500","0.1028","0.0320"
"3.2000","0.1043","0.0301"
"3.2500","0.1061","0.0264"
"3.3000","0.1075","0.0263"
"3.3500","0.1092","0.0104"
"3.4000","0.1111","0.0175"
"3.4500","0.1126","0.0142"
"3.5000","0.1144","0.0264"
"3.5500","0.1160","0.0210"
"3.6000","0.1178","0.0207"
"3.6500","0.1191","0.0402"
"3.7000","0.1210","0.0233"
"3.7500","0.1228","0.0134"
"3.8000","0.1243","0.0209"
"3.8500","0.1261","0.0424"
"3.9000","0.1276","0.0302"
"3.9500","0.1295","0.0346"
"4.0000","0.1307","0.0159"
"4.0500","0.1327","0.0101"
"4.1000","0.1344","0.0194"
"4.1500","0.1360","0.0243"
"4.2000","0.1377","0.0546"
"4.2500","0.1393","0.0213"
"4.3000","0.1410","0.0278"
"4.3500","0.1424","0.0206"
"4.4000","0.1444","0.0378"
"4.4500","0.1460","0.0228"
"4.5000","0.1476","0.0318"
"4.5500","0.1493","0.0232"
"4.6000","0.1510","0.0265"
"4.6500","0.1527","0.0361"
"4.7000","0.1541","0.0374"
"4.7500","0.1561","0.0297"
"4.8000","0.1577","0.0295"
"4.8500","0.1594","0.0193"
"4.9000","0.1610","0.0254"
"4.9500","0.1627","0.0154"
"5.0000","0.1643","0.0270"
"5.0500","0.1657","0.0462"
