
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","-0.0146"
"0.0500","0.0001","0.0009"
"0.1000","0.0005","-0.0016"
"0.1500","0.0009","-0.0281"
"0.2000","0.0019","0.0173"
"0.2500","0.0048","0.0165"
"0.3000","0.0072","0.0277"
"0.3500","0.0088","0.0003"
"0.4000","0.0103","0.0229"
"0.4500","0.0123","0.0095"
"0.5000","0.0138","0.0330"
"0.5500","0.0155","0.0186"
"0.6000","0.0172","0.0433"
"0.6500","0.0189","0.0552"
"0.7000","0.0205","0.0324"
"0.7500","0.0219","0.0810"
"0.8000","0.0240","0.0933"
"0.8500","0.0255","0.1117"
"0.9000","0.0272","0.1474"
"0.9500","0.0289","0.1541"
"1.0000","0.0306","0.1693"
"1.0500","0.0321","0.1655"
"1.1000","0.0337","0.2138"
"1.1500","0.0357","0.2028"
"1.2000","0.0371","0.2445"
"1.2500","0.0390","0.2361"
"1.3000","0.0406","0.2213"
"1.3500","0.0423","0.2927"
"1.4000","0.0437","0.2985"
"1.4500","0.0454","0.3247"
"1.5000","0.0474","0.3383"
"1.5500","0.0488","0.2869"
"1.6000","0.0506","0.3247"
"1.6500","0.0522","0.3850"
"1.7000","0.0540","0.3767"
"1.7500","0.0554","0.3573"
"1.8000","0.0571","0.3822"
"1.8500","0.0591","0.3816"
"1.9000","0.0605","0.3753"
"1.9500","0.0623","0.3980"
"2.0000","0.0638","0.3875"
"2.0500","0.0657","0.3824"
"2.1000","0.0670","0.4106"
"2.1500","0.0688","0.3803"
"2.2000","0.0707","0.4044"
"2.2500","0.0722","0.3869"
"2.3000","0.0740","0.3848"
"2.3500","0.0754","0.3983"
"2.4000","0.0773","0.3688"
"2.4500","0.0786","0.3895"
"2.5000","0.0805","0.3792"
"2.5500","0.0822","0.3987"
"2.6000","0.0838","0.3678"
"2.6500","0.0856","0.3888"
"2.7000","0.0871","0.4042"
"2.7500","0.0890","0.3921"
"2.8000","0.0903","0.4070"
"2.8500","0.0923","0.4071"
"2.9000","0.0939","0.4000"
"2.9500","0.0956","0.3962"
"3.0000","0.0972","0.3878"
"3.0500","0.0988","0.3980"
"3.1000","0.1006","0.3934"
"3.1500","0.1020","0.4084"
"3.2000","0.1040","0.3989"
"3.2500","0.1055","0.4176"
"3.3000","0.1073","0.4091"
"3.3500","0.1089","0.3831"
"3.4000","0.1105","0.4011"
"3.4500","0.1122","0.3869"
"3.5000","0.1137","0.4065"
"3.5500","0.1157","0.4054"
"3.6000","0.1172","0.4227"
"3.6500","0.1190","0.4163"
"3.7000","0.1206","0.4092"
"3.7500","0.1223","0.3958"
"3.8000","0.1238","0.4174"
"3.8500","0.1254","0.4006"
"3.9000","0.1274","0.3993"
"3.9500","0.1288","0.4021"
"4.0000","0.1306","0.4111"
"4.0500","0.1322","0.4291"
"4.1000","0.1340","0.4068"
"4.1500","0.1354","0.4150"
"4.2000","0.1370","0.4108"
"4.2500","0.1389","0.4024"
"4.3000","0.1404","0.3920"
"4.3500","0.1423","0.4316"
"4.4000","0.1438","0.4251"
"4.4500","0.1456","0.4243"
"4.5000","0.1470","0.4173"
"4.5500","0.1488","0.4277"
"4.6000","0.1507","0.4014"
"4.6500","0.1522","0.4002"
"4.7000","0.1540","0.4246"
"4.7500","0.1555","0.4118"
"4.8000","0.1572","0.4158"
"4.8500","0.1587","0.4090"
"4.9000","0.1605","0.4058"
"4.9500","0.1623","0.4093"
"5.0000","0.1638","0.4211"
"5.0500","0.1656","0.4076"
"5.1000","0.1671","0.4247"
"5.1500","0.1689","0.4067"
"5.2000","0.1704","0.4295"
"5.2500","0.1722","0.4128"
"5.3000","0.1739","0.4203"
"5.3500","0.1755","0.4029"
"5.4000","0.1773","0.4032"
"5.4500","0.1789","0.4247"
"5.5000","0.1807","0.4414"
"5.5500","0.1819","0.4444"
"5.6000","0.1838","0.4288"
"5.6500","0.1856","0.4314"
"5.7000","0.1872","0.4611"
"5.7500","0.1890","0.4210"
"5.8000","0.1905","0.4253"
"5.8500","0.1922","0.4360"
"5.9000","0.1936","0.4340"
"5.9500","0.1956","0.4435"
"6.0000","0.1973","0.4309"
"6.0500","0.1989","0.4399"
"6.1000","0.2006","0.4445"
"6.1500","0.2021","0.4524"
"6.2000","0.2039","0.4531"
"6.2500","0.2053","0.4484"
"6.3000","0.2073","0.4167"
"6.3500","0.2088","0.4373"
"6.4000","0.2105","0.4456"
"6.4500","0.2122","0.4317"
"6.5000","0.2139","0.4467"
"6.5500","0.2156","0.4511"
"6.6000","0.2170","0.4222"
