
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","-0.0076"
"0.0500","0.0001","0.0133"
"0.1000","0.0008","0.0903"
"0.1500","0.0010","0.1073"
"0.2000","0.0026","0.2188"
"0.2500","0.0055","0.2054"
"0.3000","0.0075","0.2552"
"0.3500","0.0092","0.2412"
"0.4000","0.0110","0.2236"
"0.4500","0.0125","0.2442"
"0.5000","0.0143","0.2994"
"0.5500","0.0160","0.4103"
"0.6000","0.0178","0.5015"
"0.6500","0.0191","0.5730"
"0.7000","0.0208","0.7000"
"0.7500","0.0227","0.8659"
"0.8000","0.0242","1.0112"
"0.8500","0.0261","1.2281"
"0.9000","0.0276","1.4592"
"0.9500","0.0294","1.7584"
"1.0000","0.0307","1.9543"
"1.0500","0.0326","2.2162"
"1.1000","0.0344","2.3524"
"1.1500","0.0359","2.4816"
"1.2000","0.0378","2.5329"
"1.2500","0.0393","2.5414"
"1.3000","0.0411","2.5739"
"1.3500","0.0424","2.5645"
"1.4000","0.0444","2.5829"
"1.4500","0.0461","2.5872"
"1.5000","0.0475","2.6109"
"1.5500","0.0494","2.6132"
"1.6000","0.0510","2.5961"
"1.6500","0.0528","2.6177"
"1.7000","0.0541","2.5975"
"1.7500","0.0561","2.6180"
"1.8000","0.0577","2.6101"
"1.8500","0.0593","2.6175"
"1.9000","0.0610","2.5947"
"1.9500","0.0626","2.6088"
"2.0000","0.0644","2.6295"
"2.0500","0.0657","2.6260"
"2.1000","0.0677","2.6468"
"2.1500","0.0694","2.6415"
"2.2000","0.0711","2.6045"
"2.2500","0.0726","2.6336"
"2.3000","0.0743","2.6211"
"2.3500","0.0760","2.6224"
"2.4000","0.0773","2.6512"
"2.4500","0.0795","2.6470"
"2.5000","0.0810","2.6383"
"2.5500","0.0827","2.6307"
"2.6000","0.0842","2.6519"
"2.6500","0.0860","2.6451"
"2.7000","0.0876","2.6225"
"2.7500","0.0891","2.6415"
"2.8000","0.0912","2.6301"
"2.8500","0.0926","2.6361"
"2.9000","0.0944","2.6122"
"2.9500","0.0959","2.6181"
"3.0000","0.0978","2.6437"
"3.0500","0.0992","2.6473"
"3.1000","0.1008","2.6333"
"3.1500","0.1028","2.6495"
"3.2000","0.1043","2.6286"
"3.2500","0.1061","2.6437"
"3.3000","0.1076","2.6476"
"3.3500","0.1094","2.6411"
"3.4000","0.1108","2.6338"
"3.4500","0.1125","2.6451"
