
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","-0.0048"
"0.0500","0.0001","0.0077"
"0.1000","0.0008","-0.0015"
"0.1500","0.0011","0.0141"
"0.2000","0.0024","0.0206"
"0.2500","0.0053","0.0179"
"0.3000","0.0076","0.0030"
"0.3500","0.0090","0.0269"
"0.4000","0.0110","0.0180"
"0.4500","0.0125","0.0168"
"0.5000","0.0143","0.0067"
"0.5500","0.0160","0.0230"
"0.6000","0.0177","0.0346"
"0.6500","0.0192","0.0171"
"0.7000","0.0207","0.0140"
"0.7500","0.0228","0.0281"
"0.8000","0.0242","0.0090"
"0.8500","0.0260","-0.0078"
"0.9000","0.0276","0.0091"
"0.9500","0.0294","0.0069"
"1.0000","0.0308","0.0062"
"1.0500","0.0325","0.0166"
"1.1000","0.0345","0.0108"
"1.1500","0.0358","0.0126"
"1.2000","0.0377","0.0167"
"1.2500","0.0393","0.0003"
"1.3000","0.0412","0.0108"
"1.3500","0.0424","0.0135"
"1.4000","0.0442","0.0101"
"1.4500","0.0461","0.0120"
"1.5000","0.0476","0.0069"
"1.5500","0.0494","0.0232"
"1.6000","0.0509","0.0106"
"1.6500","0.0528","0.0024"
"1.7000","0.0541","0.0096"
"1.7500","0.0559","0.0210"
"1.8000","0.0577","0.0066"
"1.8500","0.0593","0.0231"
"1.9000","0.0610","0.0153"
"1.9500","0.0625","0.0264"
"2.0000","0.0644","0.0314"
"2.0500","0.0657","0.0116"
"2.1000","0.0677","0.0221"
"2.1500","0.0693","0.0144"
"2.2000","0.0709","0.0046"
"2.2500","0.0727","0.0194"
"2.3000","0.0742","0.0154"
"2.3500","0.0761","0.0070"
"2.4000","0.0774","0.0124"
"2.4500","0.0794","-0.0085"
"2.5000","0.0810","0.0192"
"2.5500","0.0826","0.0284"
"2.6000","0.0843","0.0087"
"2.6500","0.0860","0.0201"
"2.7000","0.0877","0.0216"
"2.7500","0.0890","0.0024"
"2.8000","0.0911","0.0133"
"2.8500","0.0926","0.0162"
"2.9000","0.0944","0.0112"
"2.9500","0.0960","0.0194"
"3.0000","0.0977","0.0056"
"3.0500","0.0993","0.0086"
"3.1000","0.1007","0.0256"
"3.1500","0.1028","0.0081"
"3.2000","0.1043","0.0265"
"3.2500","0.1061","0.0117"
"3.3000","0.1076","0.0040"
"3.3500","0.1093","0.0279"
"3.4000","0.1109","0.0154"
"3.4500","0.1124","0.0231"
"3.5000","0.1144","0.0192"
"3.5500","0.1159","-0.0112"
"3.6000","0.1177","0.0217"
"3.6500","0.1193","0.0003"
"3.7000","0.1211","0.0275"
"3.7500","0.1225","0.0139"
"3.8000","0.1241","0.0227"
"3.8500","0.1261","0.0191"
"3.9000","0.1275","0.0394"
"3.9500","0.1294","0.0419"
"4.0000","0.1309","0.0388"
"4.0500","0.1327","0.0246"
"4.1000","0.1341","0.0347"
"4.1500","0.1359","0.0352"
"4.2000","0.1377","0.0328"
"4.2500","0.1392","0.0217"
"4.3000","0.1411","0.0215"
"4.3500","0.1426","0.0275"
"4.4000","0.1444","0.0432"
"4.4500","0.1458","0.0156"
"4.5000","0.1476","0.0281"
"4.5500","0.1494","0.0333"
"4.6000","0.1509","0.0198"
"4.6500","0.1528","0.0059"
"4.7000","0.1543","0.0138"
"4.7500","0.1560","0.0269"
"4.8000","0.1573","0.0171"
"4.8500","0.1593","0.0256"
"4.9000","0.1610","0.0104"
"4.9500","0.1626","0.0228"
"5.0000","0.1644","0.0107"
"5.0500","0.1659","0.0118"
"5.1000","0.1677","0.0256"
"5.1500","0.1690","0.0384"
"5.2000","0.1710","0.0081"
"5.2500","0.1727","0.0154"
"5.3000","0.1743","0.0230"
"5.3500","0.1760","0.0236"
"5.4000","0.1776","0.0119"
"5.4500","0.1793","0.0205"
"5.5000","0.1807","0.0282"
"5.5500","0.1827","0.0112"
"5.6000","0.1842","0.0267"
"5.6500","0.1859","0.0257"
"5.7000","0.1877","0.0188"
"5.7500","0.1893","0.0173"
"5.8000","0.1910","0.0301"
"5.8500","0.1924","0.0181"
"5.9000","0.1944","0.0256"
"5.9500","0.1959","0.0025"
"6.0000","0.1976","0.0187"
"6.0500","0.1993","0.0186"
"6.1000","0.2010","0.0277"
"6.1500","0.2026","0.0142"
"6.2000","0.2040","0.0273"
"6.2500","0.2061","0.0208"
"6.3000","0.2076","0.0135"
"6.3500","0.2094","0.0141"
"6.4000","0.2109","0.0216"
"6.4500","0.2127","0.0156"
"6.5000","0.2142","0.0147"
"6.5500","0.2157","0.0233"
"6.6000","0.2178","-0.0056"
"6.6500","0.2192","0.0320"
"6.7000","0.2210","0.0210"
"6.7500","0.2226","0.0187"
"6.8000","0.2244","0.0096"
"6.8500","0.2259","0.0278"
"6.9000","0.2275","0.0387"
"6.9500","0.2294","0.0286"
"7.0000","0.2308","0.0179"
"7.0500","0.2327","0.0282"
"7.1000","0.2343","0.0110"
"7.1500","0.2361","0.0390"
