
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","0.0113"
"0.0500","0.0001","0.0072"
"0.1000","0.0008","0.0078"
"0.1500","0.0011","0.0079"
"0.2000","0.0026","0.0056"
"0.2500","0.0055","0.0163"
"0.3000","0.0076","0.0095"
"0.3500","0.0090","0.0003"
"0.4000","0.0111","0.0136"
"0.4500","0.0126","0.0031"
"0.5000","0.0144","0.0051"
"0.5500","0.0160","0.0124"
"0.6000","0.0178","0.0224"
"0.6500","0.0192","0.0037"
"0.7000","0.0208","0.0081"
"0.7500","0.0228","0.0230"
"0.8000","0.0242","0.0099"
"0.8500","0.0261","0.0213"
"0.9000","0.0277","0.0113"
"0.9500","0.0294","0.0211"
"1.0000","0.0308","-0.0118"
"1.0500","0.0326","0.0028"
"1.1000","0.0345","-0.0069"
"1.1500","0.0359","0.0064"
"1.2000","0.0378","0.0016"
"1.2500","0.0393","0.0192"
"1.3000","0.0412","0.0083"
"1.3500","0.0425","0.0346"
"1.4000","0.0443","0.0035"
"1.4500","0.0462","0.0065"
"1.5000","0.0476","0.0325"
"1.5500","0.0494","0.0183"
"1.6000","0.0509","0.0345"
"1.6500","0.0528","0.0403"
"1.7000","0.0541","0.0438"
"1.7500","0.0560","0.0620"
"1.8000","0.0578","0.0548"
"1.8500","0.0594","0.0405"
"1.9000","0.0611","0.0431"
"1.9500","0.0626","0.0600"
"2.0000","0.0644","0.0667"
"2.0500","0.0657","0.0627"
"2.1000","0.0677","0.0415"
"2.1500","0.0694","0.0495"
"2.2000","0.0710","0.0652"
"2.2500","0.0727","0.0343"
"2.3000","0.0743","0.0592"
"2.3500","0.0761","0.0392"
"2.4000","0.0774","0.0451"
"2.4500","0.0794","0.0472"
"2.5000","0.0810","0.0380"
"2.5500","0.0827","0.0658"
"2.6000","0.0843","0.0398"
"2.6500","0.0861","0.0378"
"2.7000","0.0877","0.0431"
"2.7500","0.0891","0.0525"
"2.8000","0.0911","0.0464"
"2.8500","0.0927","0.0605"
"2.9000","0.0945","0.0347"
"2.9500","0.0960","0.0505"
"3.0000","0.0977","0.0378"
"3.0500","0.0993","0.0400"
"3.1000","0.1008","0.0383"
"3.1500","0.1028","0.0399"
"3.2000","0.1043","0.0379"
"3.2500","0.1061","0.0277"
"3.3000","0.1077","0.0244"
"3.3500","0.1094","0.0423"
"3.4000","0.1109","0.0386"
"3.4500","0.1125","0.0517"
"3.5000","0.1145","0.0359"
"3.5500","0.1159","0.0567"
"3.6000","0.1178","0.0437"
"3.6500","0.1193","0.0341"
"3.7000","0.1211","0.0421"
"3.7500","0.1225","0.0627"
"3.8000","0.1242","0.0449"
"3.8500","0.1261","0.0496"
"3.9000","0.1276","0.0599"
"3.9500","0.1294","0.0662"
"4.0000","0.1310","0.0521"
"4.0500","0.1328","0.0594"
"4.1000","0.1342","0.0467"
"4.1500","0.1359","0.0593"
"4.2000","0.1378","0.0656"
"4.2500","0.1393","0.0467"
"4.3000","0.1411","0.0550"
"4.3500","0.1427","0.0541"
"4.4000","0.1444","0.0701"
"4.4500","0.1458","0.0655"
"4.5000","0.1477","0.0535"
"4.5500","0.1494","0.0618"
"4.6000","0.1509","0.0754"
"4.6500","0.1528","0.0538"
"4.7000","0.1544","0.0470"
"4.7500","0.1561","0.0657"
"4.8000","0.1574","0.0391"
"4.8500","0.1593","0.0531"
"4.9000","0.1611","0.0688"
"4.9500","0.1627","0.0676"
"5.0000","0.1644","0.0520"
"5.0500","0.1660","0.0393"
"5.1000","0.1677","0.0635"
"5.1500","0.1691","0.0597"
"5.2000","0.1710","0.0559"
"5.2500","0.1728","0.0593"
"5.3000","0.1744","0.0581"
"5.3500","0.1761","0.0654"
"5.4000","0.1776","0.0530"
"5.4500","0.1794","0.0485"
"5.5000","0.1808","0.0645"
"5.5500","0.1827","0.0544"
"5.6000","0.1843","0.0620"
"5.6500","0.1859","0.0690"
"5.7000","0.1877","0.0596"
"5.7500","0.1894","0.0540"
"5.8000","0.1910","0.0701"
"5.8500","0.1924","0.0661"
"5.9000","0.1944","0.0686"
"5.9500","0.1960","0.0694"
"6.0000","0.1977","0.0553"
"6.0500","0.1994","0.0854"
"6.1000","0.2011","0.0807"
"6.1500","0.2027","0.0812"
"6.2000","0.2041","0.0717"
"6.2500","0.2061","0.0663"
"6.3000","0.2077","0.0823"
"6.3500","0.2094","0.0630"
"6.4000","0.2110","0.0759"
"6.4500","0.2127","0.0785"
"6.5000","0.2143","0.0652"
"6.5500","0.2158","0.0563"
"6.6000","0.2178","0.0907"
"6.6500","0.2193","0.0589"
"6.7000","0.2211","0.0761"
"6.7500","0.2227","0.0891"
"6.8000","0.2245","0.0859"
"6.8500","0.2259","0.0694"
"6.9000","0.2276","0.0853"
"6.9500","0.2295","0.0725"
"7.0000","0.2309","0.0535"
"7.0500","0.2327","0.0676"
"7.1000","0.2344","0.0732"
"7.1500","0.2362","0.0729"
"7.2000","0.2375","0.0823"
"7.2500","0.2392","0.0930"
"7.3000","0.2411","0.0782"
"7.3500","0.2425","0.0766"
"7.4000","0.2444","0.0676"
"7.4500","0.2460","0.0878"
"7.5000","0.2478","0.1121"
"7.5500","0.2491","0.1357"
"7.6000","0.2509","0.1319"
"7.6500","0.2528","0.1494"
"7.7000","0.2542","0.1298"
"7.7500","0.2561","0.1573"
