
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","-0.0081"
"0.0500","0.0000","-0.0253"
"0.1000","0.0004","-0.0062"
"0.1500","0.0011","0.0002"
"0.2000","0.0014","0.0159"
"0.2500","0.0038","0.0438"
"0.3000","0.0067","0.0312"
"0.3500","0.0085","0.0239"
"0.4000","0.0100","0.0279"
"0.4500","0.0120","0.0164"
"0.5000","0.0135","0.0182"
"0.5500","0.0152","0.0192"
"0.6000","0.0169","0.0303"
"0.6500","0.0186","0.0374"
"0.7000","0.0202","0.0410"
"0.7500","0.0217","0.0291"
"0.8000","0.0237","0.0223"
"0.8500","0.0251","0.0318"
"0.9000","0.0269","0.0475"
"0.9500","0.0285","0.0307"
"1.0000","0.0303","0.0177"
"1.0500","0.0318","0.0570"
"1.1000","0.0334","0.0290"
"1.1500","0.0354","0.0167"
"1.2000","0.0368","0.0505"
"1.2500","0.0386","0.0363"
"1.3000","0.0402","0.0372"
"1.3500","0.0420","0.0387"
"1.4000","0.0434","0.0526"
"1.4500","0.0451","0.0589"
"1.5000","0.0471","0.0686"
"1.5500","0.0484","0.1067"
"1.6000","0.0503","0.1043"
"1.6500","0.0518","0.0863"
"1.7000","0.0537","0.1067"
"1.7500","0.0550","0.1111"
"1.8000","0.0569","0.1234"
"1.8500","0.0587","0.1040"
"1.9000","0.0602","0.1004"
"1.9500","0.0620","0.1188"
"2.0000","0.0635","0.1253"
"2.0500","0.0654","0.1216"
"2.1000","0.0667","0.1016"
"2.1500","0.0685","0.1240"
"2.2000","0.0703","0.0882"
"2.2500","0.0719","0.1093"
"2.3000","0.0736","0.1378"
"2.3500","0.0751","0.1250"
"2.4000","0.0770","0.1162"
"2.4500","0.0783","0.1308"
"2.5000","0.0803","0.1374"
"2.5500","0.0819","0.1213"
"2.6000","0.0835","0.1419"
"2.6500","0.0852","0.1253"
"2.7000","0.0868","0.1307"
"2.7500","0.0887","0.1355"
"2.8000","0.0900","0.1186"
"2.8500","0.0920","0.1419"
