
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","-0.0098"
"0.0500","0.0001","0.0032"
"0.1000","0.0005","-0.0081"
"0.1500","0.0009","0.0010"
"0.2000","0.0020","-0.0035"
"0.2500","0.0048","0.0133"
"0.3000","0.0071","0.0063"
"0.3500","0.0089","0.0124"
"0.4000","0.0105","0.0236"
"0.4500","0.0123","0.0321"
"0.5000","0.0137","0.0256"
"0.5500","0.0154","0.0219"
"0.6000","0.0173","0.0319"
"0.6500","0.0187","0.0360"
"0.7000","0.0206","0.0421"
"0.7500","0.0222","0.0256"
"0.8000","0.0240","0.0277"
"0.8500","0.0253","0.0470"
"0.9000","0.0271","0.0456"
"0.9500","0.0290","0.0278"
"1.0000","0.0304","0.0642"
"1.0500","0.0323","0.0381"
"1.1000","0.0338","0.0668"
"1.1500","0.0357","0.0586"
"1.2000","0.0370","0.0584"
"1.2500","0.0388","0.0771"
"1.3000","0.0406","0.0526"
"1.3500","0.0422","0.0532"
"1.4000","0.0439","0.0406"
"1.4500","0.0454","0.0582"
"1.5000","0.0473","0.0571"
"1.5500","0.0486","0.0383"
"1.6000","0.0506","0.0382"
"1.6500","0.0522","0.0481"
"1.7000","0.0538","0.0508"
"1.7500","0.0556","0.0542"
"1.8000","0.0571","0.0683"
"1.8500","0.0590","0.0654"
"1.9000","0.0603","0.0557"
"1.9500","0.0623","0.0612"
"2.0000","0.0639","0.0715"
"2.0500","0.0655","0.0674"
"2.1000","0.0672","0.0586"
"2.1500","0.0689","0.0497"
"2.2000","0.0706","0.0636"
"2.2500","0.0719","0.0639"
"2.3000","0.0740","0.0691"
"2.3500","0.0755","0.0462"
"2.4000","0.0773","0.0407"
"2.4500","0.0789","0.0538"
"2.5000","0.0805","0.0566"
"2.5500","0.0822","0.0591"
"2.6000","0.0836","0.0440"
"2.6500","0.0857","0.0576"
"2.7000","0.0871","0.0458"
"2.7500","0.0890","0.0440"
"2.8000","0.0905","0.0591"
"2.8500","0.0923","0.0600"
"2.9000","0.0937","0.0559"
"2.9500","0.0954","0.0583"
"3.0000","0.0974","0.0613"
"3.0500","0.0988","0.0488"
"3.1000","0.1006","0.0387"
"3.1500","0.1022","0.0504"
"3.2000","0.1040","0.0599"
"3.2500","0.1054","0.0556"
"3.3000","0.1070","0.0697"
"3.3500","0.1089","0.0499"
"3.4000","0.1104","0.0635"
"3.4500","0.1123","0.0697"
"3.5000","0.1138","0.0628"
"3.5500","0.1156","0.0461"
"3.6000","0.1170","0.0613"
"3.6500","0.1187","0.0593"
"3.7000","0.1206","0.0574"
"3.7500","0.1222","0.0603"
"3.8000","0.1240","0.0716"
"3.8500","0.1255","0.0457"
"3.9000","0.1273","0.0530"
"3.9500","0.1286","0.0710"
"4.0000","0.1305","0.0549"
"4.0500","0.1323","0.0541"
"4.1000","0.1338","0.0658"
"4.1500","0.1356","0.0618"
"4.2000","0.1372","0.0529"
"4.2500","0.1390","0.0510"
"4.3000","0.1403","0.0462"
"4.3500","0.1422","0.0707"
"4.4000","0.1439","0.0494"
"4.4500","0.1455","0.0587"
"4.5000","0.1473","0.0550"
"4.5500","0.1489","0.0693"
"4.6000","0.1506","0.0579"
"4.6500","0.1519","0.0637"
"4.7000","0.1539","0.0804"
"4.7500","0.1556","0.0574"
"4.8000","0.1572","0.0520"
"4.8500","0.1589","0.0642"
"4.9000","0.1605","0.0767"
"4.9500","0.1622","0.0471"
"5.0000","0.1636","0.0531"
"5.0500","0.1656","0.0489"
"5.1000","0.1672","0.0569"
"5.1500","0.1688","0.0544"
"5.2000","0.1705","0.0585"
"5.2500","0.1722","0.0645"
"5.3000","0.1739","0.0512"
