
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","0.0020"
"0.0500","0.0001","0.0080"
"0.1000","0.0006","-0.0025"
"0.1500","0.0009","0.0163"
"0.2000","0.0022","0.0065"
"0.2500","0.0048","0.0122"
"0.3000","0.0072","-0.0160"
"0.3500","0.0089","-0.0042"
"0.4000","0.0107","-0.0063"
"0.4500","0.0122","0.0104"
"0.5000","0.0140","0.0062"
"0.5500","0.0154","0.0076"
"0.6000","0.0173","0.0132"
"0.6500","0.0190","0.0000"
"0.7000","0.0206","-0.0090"
"0.7500","0.0224","-0.0051"
"0.8000","0.0240","0.0011"
"0.8500","0.0257","0.0231"
"0.9000","0.0271","0.0027"
"0.9500","0.0291","0.0187"
"1.0000","0.0306","0.0004"
"1.0500","0.0322","0.0094"
"1.1000","0.0341","-0.0038"
"1.1500","0.0357","0.0084"
"1.2000","0.0373","0.0051"
"1.2500","0.0387","0.0083"
"1.3000","0.0407","-0.0140"
"1.3500","0.0423","0.0029"
"1.4000","0.0439","0.0210"
"1.4500","0.0457","0.0047"
"1.5000","0.0473","0.0053"
"1.5500","0.0490","0.0067"
"1.6000","0.0504","0.0055"
"1.6500","0.0524","0.0083"
"1.7000","0.0539","0.0242"
"1.7500","0.0556","-0.0027"
"1.8000","0.0573","0.0023"
"1.8500","0.0590","0.0154"
"1.9000","0.0606","0.0090"
"1.9500","0.0621","0.0107"
"2.0000","0.0641","0.0149"
"2.0500","0.0655","0.0243"
"2.1000","0.0674","0.0116"
"2.1500","0.0690","0.0001"
"2.2000","0.0708","-0.0027"
"2.2500","0.0722","0.0074"
"2.3000","0.0738","0.0212"
"2.3500","0.0758","0.0210"
"2.4000","0.0772","0.0270"
"2.4500","0.0790","-0.0035"
"2.5000","0.0806","0.0031"
"2.5500","0.0825","-0.0035"
"2.6000","0.0838","0.0287"
"2.6500","0.0855","0.0109"
"2.7000","0.0875","0.0098"
"2.7500","0.0889","0.0131"
"2.8000","0.0907","0.0189"
"2.8500","0.0922","0.0099"
"2.9000","0.0941","-0.0090"
"2.9500","0.0955","0.0155"
"3.0000","0.0972","0.0166"
"3.0500","0.0991","0.0065"
"3.1000","0.1006","0.0106"
"3.1500","0.1024","0.0094"
"3.2000","0.1038","0.0173"
"3.2500","0.1057","0.0148"
"3.3000","0.1070","0.0193"
"3.3500","0.1090","0.0308"
"3.4000","0.1107","0.0197"
"3.4500","0.1123","0.0043"
"3.5000","0.1140","0.0184"
"3.5500","0.1156","0.0228"
"3.6000","0.1174","0.0340"
"3.6500","0.1187","0.0242"
"3.7000","0.1207","0.0227"
"3.7500","0.1224","0.0393"
"3.8000","0.1239","0.0051"
"3.8500","0.1257","0.0070"
"3.9000","0.1273","0.0218"
"3.9500","0.1291","0.0227"
"4.0000","0.1304","0.0057"
"4.0500","0.1324","0.0084"
"4.1000","0.1340","0.0098"
"4.1500","0.1357","0.0183"
"4.2000","0.1373","0.0240"
"4.2500","0.1390","0.0282"
"4.3000","0.1407","0.0083"
"4.3500","0.1420","0.0448"
"4.4000","0.1441","0.0189"
"4.4500","0.1456","0.0279"
"4.5000","0.1474","0.0218"
"4.5500","0.1490","0.0156"
"4.6000","0.1507","0.0188"
"4.6500","0.1522","0.0445"
"4.7000","0.1537","0.0275"
"4.7500","0.1558","0.0163"
"4.8000","0.1573","0.0262"
"4.8500","0.1590","0.0308"
"4.9000","0.1607","0.0129"
"4.9500","0.1624","0.0325"
"5.0000","0.1639","0.0242"
"5.0500","0.1654","0.0224"
"5.1000","0.1674","0.0176"
"5.1500","0.1689","0.0244"
"5.2000","0.1707","0.0306"
"5.2500","0.1723","0.0301"
"5.3000","0.1741","0.0123"
"5.3500","0.1755","0.0250"
"5.4000","0.1771","0.0212"
"5.4500","0.1791","0.0262"
"5.5000","0.1806","0.0178"
"5.5500","0.1824","0.0394"
"5.6000","0.1839","0.0379"
"5.6500","0.1857","0.0318"
"5.7000","0.1871","0.0195"
"5.7500","0.1889","0.0221"
"5.8000","0.1908","0.0113"
"5.8500","0.1922","0.0249"
"5.9000","0.1941","0.0391"
"5.9500","0.1956","0.0180"
"6.0000","0.1974","0.0327"
"6.0500","0.1988","0.0312"
"6.1000","0.2006","0.0277"
"6.1500","0.2024","0.0368"
"6.2000","0.2039","0.0251"
"6.2500","0.2057","0.0217"
"6.3000","0.2073","0.0308"
"6.3500","0.2091","0.0258"
"6.4000","0.2104","0.0205"
"6.4500","0.2123","0.0242"
"6.5000","0.2140","0.0251"
"6.5500","0.2156","0.0376"
"6.6000","0.2174","0.0233"
"6.6500","0.2189","0.0237"
"6.7000","0.2207","0.0354"
"6.7500","0.2221","0.0232"
"6.8000","0.2240","0.0478"
"6.8500","0.2257","0.0245"
"6.9000","0.2272","0.0330"
"6.9500","0.2290","0.0299"
"7.0000","0.2306","0.0378"
"7.0500","0.2323","0.0183"
"7.1000","0.2337","0.0302"
"7.1500","0.2357","0.0316"
"7.2000","0.2373","0.0283"
"7.2500","0.2389","0.0393"
"7.3000","0.2407","0.0326"
"7.3500","0.2424","0.0272"
"7.4000","0.2440","0.0304"
"7.4500","0.2454","0.0351"
"7.5000","0.2474","0.0187"
"7.5500","0.2490","0.0284"
"7.6000","0.2507","0.0228"
"7.6500","0.2523","0.0399"
"7.7000","0.2540","0.0325"
"7.7500","0.2556","0.0254"
"7.8000","0.2570","0.0388"
"7.8500","0.2591","0.0189"
"7.9000","0.2606","0.0290"
"7.9500","0.2624","0.0140"
"8.0000","0.2640","0.0334"
"8.0500","0.2657","0.0242"
"8.1000","0.2673","0.0235"
"8.1500","0.2688","0.0294"
"8.2000","0.2708","0.0291"
"8.2500","0.2722","0.0402"
"8.3000","0.2740","0.0411"
"8.3500","0.2757","0.0180"
"8.4000","0.2774","0.0362"
"8.4500","0.2789","0.0371"
"8.5000","0.2804","0.0300"
"8.5500","0.2824","0.0360"
"8.6000","0.2838","0.0367"
"8.6500","0.2857","0.0416"
"8.7000","0.2873","0.0280"
"8.7500","0.2891","0.0332"
"8.8000","0.2905","0.0196"
"8.8500","0.2921","0.0238"
"8.9000","0.2941","0.0247"
"8.9500","0.2955","0.0529"
"9.0000","0.2974","0.0375"
"9.0500","0.2989","0.0315"
"9.1000","0.3008","0.0285"
"9.1500","0.3021","0.0406"
"9.2000","0.3039","0.0388"
"9.2500","0.3057","0.0361"
"9.3000","0.3072","0.0471"
"9.3500","0.3091","0.0537"
"9.4000","0.3106","0.0533"
"9.4500","0.3124","0.0500"
"9.5000","0.3137","0.0489"
"9.5500","0.3156","0.0331"
"9.6000","0.3174","0.0651"
"9.6500","0.3188","0.0552"
"9.7000","0.3207","0.0402"
"9.7500","0.3223","0.0583"
"9.8000","0.3241","0.0518"
"9.8500","0.3254","0.0326"
"9.9000","0.3274","0.0419"
"9.9500","0.3291","0.0558"
"10.0000","0.3306","0.0610"
"10.0500","0.3324","0.0599"
"10.1000","0.3339","0.0399"
"10.1500","0.3357","0.0438"
"10.2000","0.3370","0.0531"
"10.2500","0.3390","0.0596"
"10.3000","0.3407","0.0465"
"10.3500","0.3424","0.0582"
"10.4000","0.3440","0.0389"
"10.4500","0.3456","0.0616"
"10.5000","0.3473","0.0484"
"10.5500","0.3487","0.0415"
"10.6000","0.3508","0.0605"
"10.6500","0.3523","0.0393"
"10.7000","0.3540","0.0467"
"10.7500","0.3556","0.0461"
