
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","0.1669"
"0.1000","0.0007","0.7911"
"0.2000","0.0023","2.5486"
"0.3000","0.0074","8.3899"
"0.4000","0.0108","12.1224"
"0.5000","0.0141","15.6807"
"0.6000","0.0176","19.4785"
"0.7000","0.0209","22.8900"
"0.8000","0.0242","26.4181"
"0.9000","0.0274","29.6323"
"1.0000","0.0307","33.0354"
"1.1000","0.0342","36.5788"
"1.2000","0.0374","39.7951"
"1.3000","0.0409","43.4352"
"1.4000","0.0442","46.6918"
"1.5000","0.0476","50.0437"
"1.6000","0.0507","53.0219"
"1.7000","0.0540","56.1623"
"1.8000","0.0574","59.4227"
"1.9000","0.0606","62.3566"
"2.0000","0.0642","65.7763"
"2.1000","0.0676","68.8694"
"2.2000","0.0709","71.8789"
"2.3000","0.0742","74.7731"
"2.4000","0.0774","77.5995"
"2.5000","0.0808","80.6361"
"2.6000","0.0839","83.1814"
"2.7000","0.0875","86.3993"
"2.8000","0.0908","89.1841"
"2.9000","0.0942","92.0078"
"3.0000","0.0976","94.7854"
"3.1000","0.1009","97.3413"
"3.2000","0.1041","99.7128"
"3.3000","0.1072","101.6727"
"3.4000","0.1108","103.5937"
"3.5000","0.1141","105.4696"
"3.6000","0.1174","107.1871"
"3.7000","0.1210","109.3723"
"3.8000","0.1242","111.0049"
"3.9000","0.1276","112.8896"
"4.0000","0.1307","114.4126"
"4.1000","0.1341","116.0784"
"4.2000","0.1374","117.6199"
"4.3000","0.1406","119.0169"
"4.4000","0.1443","120.6593"
"4.5000","0.1476","120.1554"
"4.6000","0.1509","121.6292"
"4.7000","0.1541","123.3858"
"4.8000","0.1574","125.1889"
"4.9000","0.1608","127.0459"
"5.0000","0.1639","128.8455"
"5.1000","0.1675","131.6482"
"5.2000","0.1709","134.4166"
"5.3000","0.1742","137.2063"
"5.4000","0.1775","140.1137"
"5.5000","0.1808","142.9974"
"5.6000","0.1841","145.8911"
"5.7000","0.1872","148.5659"
"5.8000","0.1908","151.7375"
"5.9000","0.1942","154.6920"
"6.0000","0.1975","157.5323"
"6.1000","0.2009","160.5447"
"6.2000","0.2042","163.3293"
"6.3000","0.2076","166.2702"
"6.4000","0.2105","168.7575"
"6.5000","0.2141","171.8940"
"6.6000","0.2175","174.7122"
"6.7000","0.2207","177.4772"
"6.8000","0.2243","180.5984"
"6.9000","0.2275","183.2850"
"7.0000","0.2309","186.1933"
"7.1000","0.2340","188.7864"
"7.2000","0.2374","191.6107"
"7.3000","0.2408","194.4903"
"7.4000","0.2440","197.1303"
"7.5000","0.2476","200.2519"
"7.6000","0.2509","202.9660"
"7.7000","0.2543","205.7489"
"7.8000","0.2574","208.2966"
"7.9000","0.2608","211.0859"
"8.0000","0.2641","213.8504"
"8.1000","0.2673","216.4123"
"8.2000","0.2709","219.3943"
"8.3000","0.2742","222.1880"
"8.4000","0.2776","224.8862"
"8.5000","0.2808","227.5021"
"8.6000","0.2840","230.0223"
"8.7000","0.2875","232.8241"
"8.8000","0.2905","235.2044"
"8.9000","0.2942","238.1992"
"9.0000","0.2975","240.8756"
"9.1000","0.3009","243.4932"
"9.2000","0.3043","246.1912"
"9.3000","0.3075","248.6208"
"9.4000","0.3109","251.3146"
"9.5000","0.3139","253.5291"
"9.6000","0.3174","256.3396"
"9.7000","0.3208","258.9474"
"9.8000","0.3241","261.3676"
"9.9000","0.3277","264.2328"
"10.0000","0.3309","266.5749"
"10.1000","0.3343","269.1335"
"10.2000","0.3373","271.3463"
"10.3000","0.3408","273.9539"
"10.4000","0.3441","276.3487"
"10.5000","0.3473","278.7278"
"10.6000","0.3509","281.4953"
"10.7000","0.3542","283.9028"
"10.8000","0.3576","286.3578"
"10.9000","0.3607","288.5878"
"11.0000","0.3641","290.9898"
"11.1000","0.3674","293.3553"
"11.2000","0.3706","295.6089"
"11.3000","0.3742","298.3107"
"11.4000","0.3776","300.7125"
"11.5000","0.3809","303.1973"
"11.6000","0.3842","305.5816"
"11.7000","0.3875","307.8963"
"11.8000","0.3908","310.2800"
"11.9000","0.3939","312.3972"
"12.0000","0.3975","315.0378"
"12.1000","0.4009","317.4979"
"12.2000","0.4042","319.8379"
"12.3000","0.4076","322.3409"
"12.4000","0.4108","324.6732"
"12.5000","0.4142","327.1266"
"12.6000","0.4172","329.2082"
"12.7000","0.4208","331.7662"
"12.8000","0.4241","334.1999"
"12.9000","0.4274","336.4705"
"13.0000","0.4310","339.2022"
"13.1000","0.4342","341.4312"
"13.2000","0.4376","343.8407"
"13.3000","0.4407","346.0155"
"13.4000","0.4441","348.3558"
"13.5000","0.4475","350.8231"
"13.6000","0.4506","352.9114"
"13.7000","0.4542","355.5815"
"13.8000","0.4576","357.9959"
"13.9000","0.4609","360.1920"
"14.0000","0.4641","362.3890"
"14.1000","0.4674","364.7298"
"14.2000","0.4707","367.0368"
"14.3000","0.4739","369.1937"
"14.4000","0.4775","371.7712"
"14.5000","0.4808","374.0348"
"14.6000","0.4843","376.4064"
"14.7000","0.4874","378.5404"
"14.8000","0.4908","380.8507"
"14.9000","0.4942","383.2574"
"15.0000","0.4972","385.1349"
"15.1000","0.5009","387.7981"
"15.2000","0.5042","390.0550"
"15.3000","0.5075","392.3096"
"15.4000","0.5110","394.7505"
"15.5000","0.5141","396.7993"
"15.6000","0.5176","399.1379"
"15.7000","0.5206","401.1382"
"15.8000","0.5240","403.4341"
"15.9000","0.5275","405.8742"
"16.0000","0.5308","408.0142"
"16.1000","0.5343","410.4637"
"16.2000","0.5376","412.6581"
"16.3000","0.5409","414.8799"
"16.4000","0.5440","416.8380"
"16.5000","0.5474","419.1257"
"16.6000","0.5508","421.4269"
"16.7000","0.5540","423.4697"
"16.8000","0.5576","425.9854"
"16.9000","0.5609","428.1143"
"17.0000","0.5644","430.4511"
"17.1000","0.5674","432.3626"
"17.2000","0.5707","434.4896"
"17.3000","0.5741","436.7242"
"17.4000","0.5772","438.6802"
"17.5000","0.5809","441.2168"
"17.6000","0.5842","443.3116"
"17.7000","0.5875","445.4603"
"17.8000","0.5909","447.6102"
"17.9000","0.5941","449.6128"
"18.0000","0.5974","451.7198"
"18.1000","0.6006","453.6874"
"18.2000","0.6042","456.0634"
"18.3000","0.6075","458.1375"
"18.4000","0.6109","460.3122"
"18.5000","0.6143","462.4964"
"18.6000","0.6176","464.5988"
"18.7000","0.6209","466.6275"
"18.8000","0.6239","468.4400"
"18.9000","0.6275","470.7193"
"19.0000","0.6308","472.7826"
"19.1000","0.6340","474.7209"
"19.2000","0.6376","477.1087"
"19.3000","0.6409","479.0893"
"19.4000","0.6443","481.1446"
"19.5000","0.6473","482.9399"
"19.6000","0.6507","485.0080"
"19.7000","0.6541","487.1023"
"19.8000","0.6573","488.9542"
"19.9000","0.6609","491.2665"
"20.0000","0.6643","493.3394"
"20.1000","0.6676","495.3092"
"20.2000","0.6709","497.3187"
"20.3000","0.6741","499.1856"
"20.4000","0.6774","501.2318"
"20.5000","0.6806","502.9881"
"20.6000","0.6842","505.2533"
"20.7000","0.6876","507.2378"
"20.8000","0.6909","509.1814"
"20.9000","0.6942","511.1230"
"21.0000","0.6976","513.1163"
"21.1000","0.7008","514.9893"
"21.2000","0.7039","516.7015"
"21.3000","0.7075","518.9078"
"21.4000","0.7108","520.8720"
"21.5000","0.7141","522.7776"
"21.6000","0.7176","524.8420"
"21.7000","0.7208","526.6519"
"21.8000","0.7242","528.6235"
"21.9000","0.7272","530.1981"
"22.0000","0.7308","532.3564"
"22.1000","0.7342","534.2415"
"22.2000","0.7374","536.0061"
"22.3000","0.7409","538.1265"
"22.4000","0.7442","539.8975"
"22.5000","0.7476","541.8281"
"22.6000","0.7507","543.5051"
"22.7000","0.7540","545.3190"
"22.8000","0.7575","547.3547"
"22.9000","0.7606","548.9160"
"23.0000","0.7643","551.1108"
"23.1000","0.7676","552.9099"
"23.2000","0.7709","554.7252"
"23.3000","0.7741","556.4166"
"23.4000","0.7773","558.1691"
"23.5000","0.7808","560.0983"
"23.6000","0.7840","561.7333"
"23.7000","0.7875","563.7859"
"23.8000","0.7909","565.6503"
"23.9000","0.7942","567.4203"
"24.0000","0.7976","569.2548"
"24.1000","0.8008","570.9332"
"24.2000","0.8042","572.8467"
"24.3000","0.8072","574.3379"
"24.4000","0.8108","576.4545"
"24.5000","0.8141","578.1998"
"24.6000","0.8175","580.0685"
"24.7000","0.8210","581.9630"
"24.8000","0.8242","583.6818"
"24.9000","0.8275","585.3923"
"25.0000","0.8306","586.9293"
"25.1000","0.8341","588.8661"
"25.2000","0.8374","590.6348"
"25.3000","0.8407","592.3866"
"25.4000","0.8443","594.4518"
"25.5000","0.8476","596.0984"
"25.6000","0.8509","597.9090"
"25.7000","0.8540","599.4609"
"25.8000","0.8574","601.2575"
"25.9000","0.8607","602.9849"
"26.0000","0.8640","604.6492"
"26.1000","0.8676","606.6782"
"26.2000","0.8709","608.4450"
"26.3000","0.8742","610.1486"
"26.4000","0.8775","611.8276"
"26.5000","0.8808","613.4818"
"26.6000","0.8842","615.2701"
"26.7000","0.8872","616.7397"
"26.8000","0.8908","618.7484"
"26.9000","0.8942","620.5303"
"27.0000","0.8975","622.2280"
"27.1000","0.9009","624.0110"
"27.2000","0.9042","625.6259"
"27.3000","0.9075","627.3004"
"27.4000","0.9106","628.8179"
"27.5000","0.9141","630.6897"
"27.6000","0.9175","632.4399"
"27.7000","0.9208","634.1086"
"27.8000","0.9243","635.9421"
"27.9000","0.9275","637.5258"
"28.0000","0.9309","639.2363"
"28.1000","0.9339","640.6138"
"28.2000","0.9375","642.4898"
"28.3000","0.9408","644.1268"
"28.4000","0.9440","645.7135"
"28.5000","0.9476","647.6212"
"28.6000","0.9509","649.2111"
"28.7000","0.9542","650.9045"
"28.8000","0.9574","652.3873"
"28.9000","0.9607","654.0511"
"29.0000","0.9641","655.7543"
"29.1000","0.9673","657.2670"
"29.2000","0.9709","659.2293"
"29.3000","0.9742","660.8184"
"29.4000","0.9776","662.5019"
"29.5000","0.9807","664.0167"
"29.6000","0.9841","665.6799"
"29.7000","0.9875","667.3395"
"29.8000","0.9906","668.8215"
"29.9000","0.9942","670.7094"
"30.0000","0.9976","672.4194"
"30.1000","1.0009","674.0033"
"30.2000","1.0042","675.6511"
"30.3000","1.0074","677.1246"
"30.4000","1.0109","678.8731"
"30.5000","1.0139","680.1993"
"30.6000","1.0175","682.0593"
"30.7000","1.0209","683.7454"
"30.8000","1.0242","685.3295"
"30.9000","1.0276","687.0834"
"31.0000","1.0308","688.5560"
"31.1000","1.0342","690.2090"
"31.2000","1.0372","691.5337"
"31.3000","1.0407","693.2859"
"31.4000","1.0442","694.9854"
"31.5000","1.0474","696.4908"
"31.6000","1.0510","698.3918"
"31.7000","1.0543","699.8792"
"31.8000","1.0576","701.5209"
"31.9000","1.0607","702.8536"
"32.0000","1.0641","704.5370"
"32.1000","1.0674","706.0393"
"32.2000","1.0706","707.5569"
"32.3000","1.0743","709.4651"
"32.4000","1.0775","711.0093"
"32.5000","1.0809","712.6370"
"32.6000","1.0841","714.0820"
"32.7000","1.0874","715.6477"
"32.8000","1.0908","717.2047"
"32.9000","1.0939","718.5753"
"33.0000","1.0975","720.4174"
"33.1000","1.1009","721.9977"
"33.2000","1.1042","723.6149"
"33.3000","1.1076","725.2063"
"33.4000","1.1109","726.7097"
"33.5000","1.1142","728.2346"
"33.6000","1.1173","729.5925"
"33.7000","1.1208","731.3195"
"33.8000","1.1242","732.9438"
"33.9000","1.1274","734.3953"
"34.0000","1.1309","736.0986"
"34.1000","1.1342","737.5950"
"34.2000","1.1376","739.1790"
"34.3000","1.1406","740.4869"
"34.4000","1.1441","742.1483"
"34.5000","1.1474","743.6795"
"34.6000","1.1507","745.1171"
"34.7000","1.1543","747.0175"
"34.8000","1.1576","748.4702"
"34.9000","1.1609","750.0438"
"35.0000","1.1641","751.4457"
"35.1000","1.1674","753.0050"
"35.2000","1.1708","754.5887"
"35.3000","1.1739","755.8978"
"35.4000","1.1776","757.7477"
"35.5000","1.1809","759.2724"
"35.6000","1.1842","760.7724"
"35.7000","1.1875","762.2289"
"35.8000","1.1908","763.6961"
"35.9000","1.1941","765.2220"
"36.0000","1.1972","766.5559"
"36.1000","1.2008","768.2961"
"36.2000","1.2042","769.8713"
"36.3000","1.2076","771.4270"
"36.4000","1.2109","772.9470"
"36.5000","1.2142","774.3936"
"36.6000","1.2175","775.8982"
"36.7000","1.2205","777.1740"
"36.8000","1.2242","778.9717"
"36.9000","1.2275","780.4886"
"37.0000","1.2308","781.9840"
"37.1000","1.2343","783.6623"
"37.2000","1.2375","785.0394"
"37.3000","1.2409","786.6439"
"37.4000","1.2440","787.8998"
"37.5000","1.2473","789.4716"
"37.6000","1.2508","791.1301"
"37.7000","1.2540","792.5095"
"37.8000","1.2576","794.2861"
"37.9000","1.2609","795.7330"
"38.0000","1.2643","797.2730"
"38.1000","1.2673","798.5693"
"38.2000","1.2707","800.1204"
"38.3000","1.2742","801.7062"
"38.4000","1.2773","803.0104"
"38.5000","1.2809","804.8131"
"38.6000","1.2842","806.2994"
"38.7000","1.2877","807.8871"
"38.8000","1.2908","809.2271"
"38.9000","1.2941","810.6695"
"39.0000","1.2974","812.1591"
"39.1000","1.3005","813.4416"
"39.2000","1.3042","815.2589"
"39.3000","1.3075","816.6915"
"39.4000","1.3109","818.2064"
"39.5000","1.3142","819.7463"
"39.6000","1.3175","821.1194"
"39.7000","1.3208","822.6229"
"39.8000","1.3239","823.8919"
"39.9000","1.3275","825.5829"
"40.0000","1.3308","827.0946"
"40.1000","1.3342","828.6276"
"40.2000","1.3376","830.2384"
"40.3000","1.3409","831.6966"
"40.4000","1.3442","833.2001"
"40.5000","1.3473","834.4907"
"40.6000","1.3508","836.0815"
"40.7000","1.3541","837.5912"
"40.8000","1.3573","839.0222"
"40.9000","1.3610","840.7739"
"41.0000","1.3642","842.2332"
"41.1000","1.3676","843.7585"
"41.2000","1.3707","845.1456"
"41.3000","1.3740","846.6012"
"41.4000","1.3774","848.1876"
"41.5000","1.3806","849.5172"
"41.6000","1.3842","851.3297"
"41.7000","1.3876","852.8658"
"41.8000","1.3909","854.3282"
"41.9000","1.3942","855.8764"
"42.0000","1.3974","857.2569"
"42.1000","1.4008","858.8063"
"42.2000","1.4039","860.1277"
"42.3000","1.4075","861.8857"
"42.4000","1.4109","863.4327"
"42.5000","1.4142","864.8953"
"42.6000","1.4175","866.4412"
"42.7000","1.4209","868.0078"
"42.8000","1.4241","869.4710"
"42.9000","1.4272","870.7796"
"43.0000","1.4308","872.4677"
"43.1000","1.4341","873.9950"
"43.2000","1.4374","875.4742"
"43.3000","1.4409","877.1188"
"43.4000","1.4442","878.5466"
"43.5000","1.4476","880.0831"
"43.6000","1.4506","881.3361"
"43.7000","1.4542","883.0046"
"43.8000","1.4575","884.5228"
"43.9000","1.4607","885.9186"
"44.0000","1.4643","887.6661"
"44.1000","1.4676","889.0997"
"44.2000","1.4709","890.6481"
"44.3000","1.4741","891.9785"
"44.4000","1.4773","893.4086"
"44.5000","1.4808","895.0541"
"44.6000","1.4840","896.3618"
"44.7000","1.4876","898.1026"
"44.8000","1.4909","899.5618"
"44.9000","1.4943","901.0825"
"45.0000","1.4974","902.4332"
"45.1000","1.5007","903.8449"
"45.2000","1.5041","905.3917"
"45.3000","1.5072","906.6921"
"45.4000","1.5109","908.4215"
"45.5000","1.5143","909.9617"
"45.6000","1.5175","911.3857"
"45.7000","1.5209","912.9111"
"45.8000","1.5241","914.2338"
"45.9000","1.5276","915.8304"
"46.0000","1.5306","917.0106"
"46.1000","1.5341","918.6918"
"46.2000","1.5375","920.1500"
"46.3000","1.5408","921.6338"
"46.4000","1.5443","923.1846"
"46.5000","1.5476","924.6166"
"46.6000","1.5509","926.0452"
"46.7000","1.5539","927.2703"
"46.8000","1.5574","928.8412"
"46.9000","1.5607","930.3156"
"47.0000","1.5641","931.7557"
"47.1000","1.5677","933.4382"
"47.2000","1.5709","934.7770"
"47.3000","1.5743","936.2996"
"47.4000","1.5774","937.5745"
"47.5000","1.5808","938.9911"
"47.6000","1.5841","940.4006"
"47.7000","1.5873","941.7570"
"47.8000","1.5909","943.4563"
"47.9000","1.5943","944.8889"
"48.0000","1.5976","946.2637"
"48.1000","1.6009","947.7028"
